Sample ID	Run #	Position	Sample Timestamp	Tray Timestamp	Volume	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift	MM drift time	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Bkg #1 time	Bkg #2 time	MS mean	MS corr	MS std dev	# MS averaged	MS drift	MS drift time	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	IRM Gauss	Temp C	Offline Comment	Meas. type	Data type	Orientation	Leader length	Trailer length	Settling time	Drift corrected	Tray corrected	X calib	Y calib	Z calib	X responce	Y responce	Z responce	X filter	Y filter	Z filter	X range	Y range	Z range	X slew	Y slew	Z slew	X feedback	Y feedback	Z feedback
A5_NRM_21_02_23_smallsrm_EB	39781	8.0	21/02/20 2321	21/02/20 2255	1.00	8.00	-76.18	-76.18	-76.18	227.87	227.87	227.87	7.4037E-5	0.00	90.00	0.00	0.00	0.00	-1.1867E-5	-4.8729E-1	-1.1863E-5	-1.1867E-5	0.0000E+0	-1.3121E-5	-5.4088E-1	-1.3125E-5	-1.3121E-5	0.0000E+0	-7.1892E-5	-4.1958E+0	-7.1869E-5	-7.1892E-5	0.0000E+0	1	-4.2507E-9	2.1175E-10	-1.9453E-9	82950	7.2990E-9	2.4330E-9	1.4302E-8	1.4544E-8	-5.6529E-9	-7.8798E-9	0	94957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
A5_NRM_21_02_23_smallsrm_EB	39782	8.0	21/02/20 2321	21/02/20 2255	1.00	8.00	-76.01	-76.01	-76.01	228.47	228.47	228.47	6.8771E-5	0.00	90.00	0.00	0.00	0.00	-1.1024E-5	-6.6360E-1	-1.1021E-5	-1.1024E-5	0.0000E+0	-1.2446E-5	-5.1406E-1	-1.2449E-5	-1.2446E-5	0.0000E+0	-6.6731E-5	-3.8942E+0	-6.6702E-5	-6.6731E-5	0.0000E+0	1	-5.0997E-9	2.1170E-9	4.4881E-9	82837	-5.1241E-6	-5.1300E-6	-1.1878E-8	-9.4536E-9	-5.4816E-9	-3.4260E-10	0	94850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	25	25	25	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
A5_NRM_21_02_23_smallsrm_EB	39783	8.0	21/02/20 2321	21/02/20 2255	1.00	8.00	-76.12	-76.12	-76.12	229.52	229.52	229.52	6.2568E-5	0.00	90.00	0.00	0.00	0.00	-9.7454E-6	-3.4388E-1	-9.7395E-6	-9.7454E-6	0.0000E+0	-1.1420E-5	-4.7069E-1	-1.1427E-5	-1.1420E-5	0.0000E+0	-6.0740E-5	-3.5442E+0	-6.0708E-5	-6.0740E-5	0.0000E+0	1	-2.1240E-9	-2.7509E-9	6.2808E-9	82689	1.3729E-6	1.3705E-6	1.7938E-8	1.4786E-8	-4.6251E-9	2.5695E-9	0	94720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	50	50	50	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
A5_NRM_21_02_23_smallsrm_EB	39784	8.0	21/02/20 2321	21/02/20 2255	1.00	8.00	-76.68	-76.68	-76.68	229.73	229.73	229.73	5.6095E-5	0.00	90.00	0.00	0.00	0.00	-8.3536E-6	-2.3050E-1	-8.3449E-6	-8.3536E-6	0.0000E+0	-9.8594E-6	-4.0599E-1	-9.8657E-6	-9.8594E-6	0.0000E+0	-5.4586E-5	-3.1853E+0	-5.4563E-5	-5.4586E-5	0.0000E+0	1	6.3702E-10	-1.4809E-9	-2.3920E-9	82558	2.7369E-6	2.7376E-6	2.4482E-8	2.2786E-8	-1.1991E-9	-3.9399E-9	0	94595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	100	100	100	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
A5_NRM_21_02_23_smallsrm_EB	39785	8.0	21/02/20 2321	21/02/20 2255	1.00	8.00	-76.72	-76.72	-76.72	232.06	232.06	232.06	5.0193E-5	0.00	90.00	0.00	0.00	0.00	-7.0875E-6	3.6920E-2	-7.0788E-6	-7.0875E-6	0.0000E+0	-9.0902E-6	-3.7322E-1	-9.0927E-6	-9.0902E-6	0.0000E+0	-4.8852E-5	-2.8509E+0	-4.8835E-5	-4.8852E-5	0.0000E+0	1	6.3704E-10	2.3272E-9	-8.0734E-9	82559	7.9771E-6	7.9778E-6	4.5814E-8	4.8480E-8	-6.8520E-10	-9.9354E-9	0	94593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	150	150	150	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
A5_NRM_21_02_23_smallsrm_EB	39786	8.0	21/02/20 2321	21/02/20 2255	1.00	8.00	-77.67	-77.67	-77.67	231.41	231.41	231.41	4.5600E-5	0.00	90.00	0.00	0.00	0.00	-6.0717E-6	7.4120E-2	-6.0645E-6	-6.0717E-6	0.0000E+0	-7.6091E-6	-3.1217E-1	-7.6157E-6	-7.6091E-6	0.0000E+0	-4.4549E-5	-2.5999E+0	-4.4527E-5	-4.4549E-5	0.0000E+0	1	-8.4952E-10	-1.9043E-9	-2.8411E-9	81790	7.8678E-6	7.8669E-6	4.8722E-8	4.6541E-8	-8.9076E-9	-1.2162E-8	0	93698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	200	200	200	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
A5_NRM_21_02_23_smallsrm_EB	39788	8.0	21/02/20 2351	21/02/20 2255	1.00	8.00	-77.66	-77.66	-77.66	231.25	231.25	231.25	4.5604E-5	0.00	90.00	0.00	0.00	0.00	-6.1012E-6	1.2031E-1	-6.0927E-6	-6.1012E-6	0.0000E+0	-7.6017E-6	-3.1156E-1	-7.6092E-6	-7.6017E-6	0.0000E+0	-4.4550E-5	-2.5998E+0	-4.4524E-5	-4.4550E-5	0.0000E+0	1	4.2494E-10	-2.7519E-9	1.3463E-9	82048	9.0199E-6	9.0203E-6	5.6964E-8	5.3813E-8	-1.0792E-8	-9.2502E-9	0	93954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
A5_NRM_21_02_23_smallsrm_EB	39789	8.0	21/02/20 2351	21/02/20 2255	1.00	8.00	-77.75	-77.75	-77.75	233.53	233.53	233.53	4.0233E-5	0.00	90.00	0.00	0.00	0.00	-5.0756E-6	1.5801E-1	-5.0755E-6	-5.0756E-6	0.0000E+0	-6.8659E-6	-2.8130E-1	-6.8691E-6	-6.8659E-6	0.0000E+0	-3.9316E-5	-2.2945E+0	-3.9307E-5	-3.9316E-5	0.0000E+0	1	-7.8627E-9	1.4820E-9	-1.6159E-8	82169	8.9199E-6	8.9109E-6	5.0419E-8	5.2116E-8	2.5695E-9	-1.5931E-8	0	94076	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	250	250	250	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
A5_NRM_21_02_23_smallsrm_EB	39790	8.0	21/02/20 2351	21/02/20 2255	1.00	8.00	-76.27	-76.27	-76.27	232.00	232.00	232.00	3.3822E-5	0.00	90.00	0.00	0.00	0.00	-4.9425E-6	2.6345E-1	-4.3792E-6	-4.9425E-6	0.0000E+0	-6.3262E-6	-2.5866E-1	-6.3293E-6	-6.3262E-6	0.0000E+0	-3.2855E-5	-1.9175E+0	-3.2838E-5	-3.2855E-5	0.0000E+0	1	5.5529E-7	1.6931E-9	-8.0765E-9	81921	1.0789E-5	1.1425E-5	5.9388E-8	6.1327E-8	-8.0511E-9	-1.7301E-8	0	93826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	300	300	300	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
A5_NRM_21_02_23_smallsrm_EB	39791	8.0	21/02/20 2351	21/02/20 2255	1.00	8.00	-75.47	-75.47	-75.47	232.58	232.58	232.58	2.4969E-5	0.00	90.00	0.00	0.00	0.00	-3.8072E-6	3.0241E-1	-4.1585E-6	-3.8072E-6	0.0000E+0	-4.9768E-6	-2.0287E-1	-4.9784E-6	-4.9768E-6	0.0000E+0	-2.4170E-5	-1.4101E+0	-2.4150E-5	-2.4170E-5	0.0000E+0	1	-3.5929E-7	3.1734E-9	-4.4852E-9	82559	1.1516E-5	1.1104E-5	6.0842E-8	6.4478E-8	-4.4538E-9	-9.5928E-9	0	94594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	400	400	400	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
