Sample ID	Run #	Position	Sample Timestamp	Tray Timestamp	Volume	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift	MM drift time	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Bkg #1 time	Bkg #2 time	MS mean	MS corr	MS std dev	# MS averaged	MS drift	MS drift time	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	IRM Gauss	Temp C	Offline Comment	Meas. type	Data type	Orientation	Leader length	Trailer length	Settling time	Drift corrected	Tray corrected	X calib	Y calib	Z calib	X responce	Y responce	Z responce	X filter	Y filter	Z filter	X range	Y range	Z range	X slew	Y slew	Z slew	X feedback	Y feedback	Z feedback
A7_ARM_21_02_23_smallsrm_EB	39826	NA	21/02/20 1516	21/02/20 2255	1.00	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A7_ARM_21_02_23_smallsrm_EB	39828	7.0	21/02/20 1522	21/02/20 2255	1.00	7.00	-89.24	-89.24	-89.24	154.55	154.55	154.55	6.7948E-4	0.00	90.00	0.00	0.00	0.00	-8.1389E-6	1.7562E-1	4.2539E-6	-8.1389E-6	0.0000E+0	3.8740E-6	1.5435E-1	3.7507E-6	3.8740E-6	0.0000E+0	-6.7942E-4	-3.9661E+1	-6.7936E-4	-6.7942E-4	0.0000E+0	1	1.2401E-5	-1.1402E-7	5.0115E-8	73228	1.8977E-8	1.6127E-5	-9.2112E-9	-1.5732E-7	-3.8029E-8	2.7065E-8	0	95116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
A7_ARM_21_02_23_smallsrm_EB	39829	7.0	21/02/20 1522	21/02/20 2255	1.00	7.00	-89.10	-89.10	-89.10	163.66	163.66	163.66	6.6251E-4	0.00	90.00	0.00	0.00	0.00	-1.0029E-5	-1.9762E-1	-5.3981E-6	-1.0029E-5	0.0000E+0	2.9401E-6	1.1350E-1	2.8652E-6	2.9401E-6	0.0000E+0	-6.6243E-4	-3.8669E+1	-6.6238E-4	-6.6243E-4	0.0000E+0	1	4.6389E-6	-6.5613E-8	3.4743E-8	73345	5.9000E-7	6.6054E-6	-1.1393E-7	-1.9901E-7	-2.5181E-8	1.9871E-8	0	95108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	25	25	25	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
A7_ARM_21_02_23_smallsrm_EB	39830	7.0	21/02/20 1522	21/02/20 2255	1.00	7.00	-89.18	-89.18	-89.18	164.39	164.39	164.39	6.2529E-4	0.00	90.00	0.00	0.00	0.00	-8.5803E-6	1.0162E-1	7.4019E-6	-8.5803E-6	0.0000E+0	2.3970E-6	8.3800E-2	2.3445E-6	2.3970E-6	0.0000E+0	-6.2523E-4	-3.6497E+1	-6.2519E-4	-6.2523E-4	0.0000E+0	1	1.5991E-5	-4.3193E-8	3.5149E-8	73859	-4.9295E-6	1.5800E-5	-3.1318E-7	-3.6918E-7	-1.3019E-8	3.2547E-8	0	95748	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	50	50	50	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
A7_ARM_21_02_23_smallsrm_EB	39831	7.0	21/02/20 1522	21/02/20 2255	1.00	7.00	-88.95	-88.95	-88.95	171.75	171.75	171.75	5.5613E-4	0.00	90.00	0.00	0.00	0.00	-1.0094E-5	-1.0499E+0	-1.6640E-5	-1.0094E-5	0.0000E+0	1.4634E-6	3.6800E-2	1.2629E-6	1.4634E-6	0.0000E+0	-5.5603E-4	-3.2457E+1	-5.5599E-4	-5.5603E-4	0.0000E+0	1	-6.5379E-6	-1.9116E-7	3.1398E-8	73343	-8.9041E-6	-1.7393E-5	-3.7087E-7	-6.1909E-7	2.3982E-9	4.3168E-8	0	95233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	100	100	100	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
A7_ARM_21_02_23_smallsrm_EB	39832	7.0	21/02/20 1522	21/02/20 2255	1.00	7.00	-89.12	-89.12	-89.12	169.66	169.66	169.66	4.9164E-4	0.00	90.00	0.00	0.00	0.00	-7.4152E-6	-2.6200E-2	-7.6136E-6	-7.4152E-6	0.0000E+0	1.3535E-6	3.0850E-2	1.2547E-6	1.3535E-6	0.0000E+0	-4.9158E-4	-2.8694E+1	-4.9155E-4	-4.9158E-4	0.0000E+0	1	-1.8999E-7	-8.9507E-8	2.4165E-8	73212	6.9761E-6	6.7297E-6	-5.0686E-7	-6.2297E-7	2.0042E-8	5.1390E-8	0	94972	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	150	150	150	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
A7_ARM_21_02_23_smallsrm_EB	39833	7.0	21/02/20 1522	21/02/20 2255	1.00	7.00	-89.21	-89.21	-89.21	178.00	178.00	178.00	4.2928E-4	0.00	90.00	0.00	0.00	0.00	-5.8789E-6	-6.6170E-1	-6.5175E-6	-5.8789E-6	0.0000E+0	2.0481E-7	-1.5230E-2	1.0423E-7	2.0481E-7	0.0000E+0	-4.2924E-4	-2.5054E+1	-4.2921E-4	-4.2924E-4	0.0000E+0	1	-6.3015E-7	-9.1288E-8	1.6623E-8	73344	-9.5816E-6	-1.0400E-5	-4.7341E-7	-5.9194E-7	3.0663E-8	5.2247E-8	0	95234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	200	200	200	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
A7_ARM_21_02_23_smallsrm_EB	39834	7.0	21/02/20 1522	21/02/20 2255	1.00	7.00	-89.79	-89.79	-89.79	173.58	173.58	173.58	3.6224E-4	0.00	90.00	0.00	0.00	0.00	-1.3270E-6	-6.1060E-1	-5.6502E-6	-1.3270E-6	0.0000E+0	1.4937E-7	-1.9290E-2	1.1514E-7	1.4937E-7	0.0000E+0	-3.6224E-4	-2.1143E+1	-3.6221E-4	-3.6224E-4	0.0000E+0	1	-4.3148E-6	-2.4943E-8	2.2133E-8	73086	-9.2057E-6	-1.4783E-5	-5.8273E-7	-6.1497E-7	2.9806E-8	5.8413E-8	0	94465	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	250	250	250	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
A7_ARM_21_02_23_smallsrm_EB	39835	7.0	21/02/20 1522	21/02/20 2255	1.00	7.00	-89.25	-89.25	-89.25	171.05	171.05	171.05	2.9569E-4	0.00	90.00	0.00	0.00	0.00	-3.8167E-6	-6.0746E-1	-2.6510E-6	-3.8167E-6	0.0000E+0	6.0104E-7	-1.3000E-4	5.9606E-7	6.0104E-7	0.0000E+0	-2.9567E-4	-1.7256E+1	-2.9564E-4	-2.9567E-4	0.0000E+0	1	1.1741E-6	4.3049E-9	1.8253E-8	72448	-1.2129E-5	-1.0608E-5	-5.9921E-7	-5.9364E-7	4.5566E-8	6.9205E-8	0	93827	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	300	300	300	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
A7_ARM_21_02_23_smallsrm_EB	39836	7.0	21/02/20 1522	21/02/20 2255	1.00	7.00	-88.99	-88.99	-88.99	176.65	176.65	176.65	2.0192E-4	0.00	90.00	0.00	0.00	0.00	-3.5444E-6	-4.1058E-1	-3.5519E-6	-3.5444E-6	0.0000E+0	2.0728E-7	-1.5400E-2	2.0192E-7	2.0728E-7	0.0000E+0	-2.0189E-4	-1.1781E+1	-2.0188E-4	-2.0189E-4	0.0000E+0	1	9.3853E-10	3.9273E-9	3.9648E-9	72188	-6.4375E-6	-6.4363E-6	-5.7522E-7	-5.7012E-7	6.4237E-8	6.9376E-8	0	93568	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	400	400	400	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
