0,  179.4,   8.9,   6.4519,   -6.3745,   0.0675,   0.9946, 
5,  187.7,   7.8,   5.6688,   -5.5656,  -0.7528,   0.7696, 
10,  187.5,  10.3,   4.9181,   -4.7976,  -0.6275,   0.8816, 
15,  193.7,   9.2,   4.3974,   -4.2170,  -1.0316,   0.6999, 
20,  181.2,  12.2,   4.0933,   -4.0007,  -0.0812,   0.8617, 
25,  190.9,  19.0,   3.2767,   -3.0432,  -0.5861,   1.0643, 
30,  189.6,  19.6,   1.9708,   -1.8301,  -0.3088,   0.6626, 
35,  193.0,  12.4,   1.6272,   -1.5485,  -0.3584,   0.3483, 
40,  187.7,   6.6,   1.9413,   -1.9108,  -0.2598,   0.2241, 
45,  209.5,  50.4,   0.7821,   -0.4336,  -0.2451,   0.6030, 
50,  168.0,   8.6,   0.4727,   -0.4570,   0.0975,   0.0711, 
65,  226.9,  -10.7,   0.5667,   -0.3802,  -0.4069,  -0.1054, 
80,  179.2,  -1.0,   0.5617,   -0.5616,   0.0076,  -0.0098, 
100,  331.4,  14.0,   1.9306,    1.6439,  -0.8976,   0.4682, 
