Sample ID	Run #	Position	Sample Timestamp	Tray Timestamp	Volume	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift	MM drift time	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Bkg #1 time	Bkg #2 time	MS mean	MS corr	MS std dev	# MS averaged	MS drift	MS drift time	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	IRM Gauss	Temp C	Offline Comment	Meas. type	Data type	Orientation	Leader length	Trailer length	Settling time	Drift corrected	Tray corrected	X calib	Y calib	Z calib	X responce	Y responce	Z responce	X filter	Y filter	Z filter	X range	Y range	Z range	X slew	Y slew	Z slew	X feedback	Y feedback	Z feedback
B6_ARM_21_02_23_smallsrm_EB	39823	NA	21/02/20 1516	21/02/20 2255	1.00	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B6_ARM_21_02_23_smallsrm_EB	39825	4.0	21/02/20 1522	21/02/20 2255	1.00	4.00	-89.72	-89.72	-89.72	130.05	130.05	130.05	7.8989E-4	0.00	90.00	0.00	0.00	0.00	-2.5282E-6	2.0259E-1	4.9100E-6	-2.5282E-6	0.0000E+0	3.0072E-6	1.2060E-1	2.9326E-6	3.0072E-6	0.0000E+0	-7.8988E-4	-4.6112E+1	-7.8986E-4	-7.8988E-4	0.0000E+0	1	7.5014E-6	-6.8972E-8	3.0314E-8	44295	1.8977E-8	1.6127E-5	-9.2112E-9	-1.5732E-7	-3.8029E-8	2.7065E-8	0	95116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
B6_ARM_21_02_23_smallsrm_EB	39826	4.0	21/02/20 1522	21/02/20 2255	1.00	4.00	-89.38	-89.38	-89.38	161.35	161.35	161.35	7.6946E-4	0.00	90.00	0.00	0.00	0.00	-7.8778E-6	-1.8633E-1	-5.1234E-6	-7.8778E-6	0.0000E+0	2.6593E-6	1.0313E-1	2.6138E-6	2.6593E-6	0.0000E+0	-7.6942E-4	-4.4917E+1	-7.6941E-4	-7.6942E-4	0.0000E+0	1	2.8176E-6	-3.9852E-8	2.1102E-8	44548	5.9000E-7	6.6054E-6	-1.1393E-7	-1.9901E-7	-2.5181E-8	1.9871E-8	0	95108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	25	25	25	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
B6_ARM_21_02_23_smallsrm_EB	39827	4.0	21/02/20 1522	21/02/20 2255	1.00	4.00	-89.77	-89.77	-89.77	121.72	121.72	121.72	7.2823E-4	0.00	90.00	0.00	0.00	0.00	-1.5574E-6	1.2830E-1	8.0510E-6	-1.5574E-6	0.0000E+0	2.5198E-6	8.9720E-2	2.4880E-6	2.5198E-6	0.0000E+0	-7.2823E-4	-4.2512E+1	-7.2822E-4	-7.2823E-4	0.0000E+0	1	9.6716E-6	-2.6125E-8	2.1259E-8	44672	-4.9295E-6	1.5800E-5	-3.1318E-7	-3.6918E-7	-1.3019E-8	3.2547E-8	0	95748	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	50	50	50	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
B6_ARM_21_02_23_smallsrm_EB	39828	4.0	21/02/20 1522	21/02/20 2255	1.00	4.00	-88.89	-88.89	-88.89	170.91	170.91	170.91	6.5302E-4	0.00	90.00	0.00	0.00	0.00	-1.2475E-5	-1.0440E+0	-1.6497E-5	-1.2475E-5	0.0000E+0	1.9959E-6	6.2030E-2	1.8745E-6	1.9959E-6	0.0000E+0	-6.5289E-4	-3.8114E+1	-6.5289E-4	-6.5289E-4	0.0000E+0	1	-3.9590E-6	-1.1576E-7	1.9013E-8	44413	-8.9041E-6	-1.7393E-5	-3.7087E-7	-6.1909E-7	2.3982E-9	4.3168E-8	0	95233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	100	100	100	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
B6_ARM_21_02_23_smallsrm_EB	39829	4.0	21/02/20 1522	21/02/20 2255	1.00	4.00	-89.24	-89.24	-89.24	160.63	160.63	160.63	5.7783E-4	0.00	90.00	0.00	0.00	0.00	-7.2212E-6	-1.7390E-2	-7.3992E-6	-7.2212E-6	0.0000E+0	2.5393E-6	8.1380E-2	2.4795E-6	2.5393E-6	0.0000E+0	-5.7778E-4	-3.3728E+1	-5.7777E-4	-5.7778E-4	0.0000E+0	1	-1.1493E-7	-5.4145E-8	1.4618E-8	44288	6.9761E-6	6.7297E-6	-5.0686E-7	-6.2297E-7	2.0042E-8	5.1390E-8	0	94972	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	150	150	150	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
B6_ARM_21_02_23_smallsrm_EB	39830	4.0	21/02/20 1522	21/02/20 2255	1.00	4.00	-89.28	-89.28	-89.28	155.98	155.98	155.98	5.0493E-4	0.00	90.00	0.00	0.00	0.00	-5.8102E-6	-6.5091E-1	-6.2550E-6	-5.8102E-6	0.0000E+0	2.5892E-6	8.4770E-2	2.5282E-6	2.5892E-6	0.0000E+0	-5.0489E-4	-2.9472E+1	-5.0489E-4	-5.0489E-4	0.0000E+0	1	-3.8161E-7	-5.5283E-8	1.0066E-8	44416	-9.5816E-6	-1.0400E-5	-4.7341E-7	-5.9194E-7	3.0663E-8	5.2247E-8	0	95234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	200	200	200	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
B6_ARM_21_02_23_smallsrm_EB	39831	4.0	21/02/20 1522	21/02/20 2255	1.00	4.00	-89.45	-89.45	-89.45	149.35	149.35	149.35	4.3050E-4	0.00	90.00	0.00	0.00	0.00	-3.5230E-6	-6.3354E-1	-6.2083E-6	-3.5230E-6	0.0000E+0	2.0880E-6	6.1240E-2	2.0672E-6	2.0880E-6	0.0000E+0	-4.3048E-4	-2.5128E+1	-4.3048E-4	-4.3048E-4	0.0000E+0	1	-2.6222E-6	-1.5158E-8	1.3451E-8	44416	-9.2057E-6	-1.4783E-5	-5.8273E-7	-6.1497E-7	2.9806E-8	5.8413E-8	0	94465	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	250	250	250	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
B6_ARM_21_02_23_smallsrm_EB	39832	4.0	21/02/20 1522	21/02/20 2255	1.00	4.00	-89.13	-89.13	-89.13	165.54	165.54	165.54	3.5120E-4	0.00	90.00	0.00	0.00	0.00	-5.1359E-6	-6.8303E-1	-4.4896E-6	-5.1359E-6	0.0000E+0	1.3242E-6	2.9780E-2	1.3211E-6	1.3242E-6	0.0000E+0	-3.5116E-4	-2.0497E+1	-3.5116E-4	-3.5116E-4	0.0000E+0	1	7.0946E-7	2.6012E-9	1.1029E-8	43776	-1.2129E-5	-1.0608E-5	-5.9921E-7	-5.9364E-7	4.5566E-8	6.9205E-8	0	93827	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	300	300	300	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
B6_ARM_21_02_23_smallsrm_EB	39833	4.0	21/02/20 1522	21/02/20 2255	1.00	4.00	-88.95	-88.95	-88.95	156.61	156.61	156.61	2.3869E-4	0.00	90.00	0.00	0.00	0.00	-4.0049E-6	-4.3177E-1	-4.0675E-6	-4.0049E-6	0.0000E+0	1.7319E-6	4.7580E-2	1.7286E-6	1.7319E-6	0.0000E+0	-2.3865E-4	-1.3928E+1	-2.3866E-4	-2.3865E-4	0.0000E+0	1	5.6748E-10	2.3746E-9	2.3973E-9	43648	-6.4375E-6	-6.4363E-6	-5.7522E-7	-5.7012E-7	6.4237E-8	6.9376E-8	0	93568	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	400	400	400	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
