Sample ID	Run #	Position	Sample Timestamp	Tray Timestamp	Volume	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift	MM drift time	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Bkg #1 time	Bkg #2 time	MS mean	MS corr	MS std dev	# MS averaged	MS drift	MS drift time	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	IRM Gauss	Temp C	Offline Comment	Meas. type	Data type	Orientation	Leader length	Trailer length	Settling time	Drift corrected	Tray corrected	X calib	Y calib	Z calib	X responce	Y responce	Z responce	X filter	Y filter	Z filter	X range	Y range	Z range	X slew	Y slew	Z slew	X feedback	Y feedback	Z feedback
B8_NRM_21_02_23_smallsrm_EB	39810	5.0	21/02/20 1414	21/02/20 2255	1.00	5.00	-71.91	-71.91	-71.91	182.21	182.21	182.21	1.0122E-4	0.00	90.00	0.00	0.00	0.00	-3.1405E-5	-1.3212E+0	-3.2155E-5	-3.1405E-5	0.0000E+0	-1.2122E-6	-5.1470E-2	-1.2471E-6	-1.2122E-6	0.0000E+0	-9.6218E-5	-5.6165E+0	-9.6225E-5	-9.6218E-5	0.0000E+0	1	-7.1223E-7	-1.3773E-10	-4.7693E-9	53897	9.2454E-9	-1.2442E-6	-4.8480E-10	-7.2720E-10	1.4732E-8	6.3381E-9	0	94856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
B8_NRM_21_02_23_smallsrm_EB	39811	5.0	21/02/20 1414	21/02/20 2255	1.00	5.00	-70.10	-70.10	-70.10	182.26	182.26	182.26	9.6775E-5	0.00	90.00	0.00	0.00	0.00	-3.2921E-5	-1.8561E+0	-3.6068E-5	-3.2921E-5	0.0000E+0	-1.2985E-6	-5.9150E-2	-1.4268E-6	-1.2985E-6	0.0000E+0	-9.0994E-5	-5.3114E+0	-9.0995E-5	-9.0994E-5	0.0000E+0	1	-3.1089E-6	-9.3480E-8	-2.9187E-10	54017	-9.0924E-6	-1.4566E-5	-7.0296E-9	-1.7162E-7	1.1477E-8	1.0963E-8	0	95107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	25	25	25	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
B8_NRM_21_02_23_smallsrm_EB	39812	5.0	21/02/20 1414	21/02/20 2255	1.00	5.00	-65.21	-65.21	-65.21	181.21	181.21	181.21	9.2266E-5	0.00	90.00	0.00	0.00	0.00	-3.8679E-5	-1.7338E+0	-4.1774E-5	-3.8679E-5	0.0000E+0	-8.1994E-7	-3.7840E-2	-9.4609E-7	-8.1994E-7	0.0000E+0	-8.3764E-5	-4.8893E+0	-8.3768E-5	-8.3764E-5	0.0000E+0	1	-3.0571E-6	-9.1313E-8	-2.6279E-9	54398	-4.0947E-7	-5.7901E-6	2.8846E-8	-1.3187E-7	1.3533E-8	8.9076E-9	0	95741	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	50	50	50	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
B8_NRM_21_02_23_smallsrm_EB	39813	5.0	21/02/20 1414	21/02/20 2255	1.00	5.00	-68.22	-68.22	-68.22	180.71	180.71	180.71	8.1845E-5	0.00	90.00	0.00	0.00	0.00	-3.0368E-5	-1.6614E+0	-3.5562E-5	-3.0368E-5	0.0000E+0	-3.7660E-7	-2.3300E-2	-4.2905E-7	-3.7660E-7	0.0000E+0	-7.6001E-5	-4.4364E+0	-7.6003E-5	-7.6001E-5	0.0000E+0	1	-5.1563E-6	-1.7615E-8	-5.8351E-10	54297	-4.8585E-6	-1.3941E-5	-1.3574E-7	-1.6677E-7	8.2224E-9	7.1946E-9	0	95639	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	100	100	100	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
B8_NRM_21_02_23_smallsrm_EB	39814	5.0	21/02/20 1414	21/02/20 2255	1.00	5.00	-71.32	-71.32	-71.32	181.29	181.29	181.29	7.5006E-5	0.00	90.00	0.00	0.00	0.00	-2.4020E-5	-1.3825E+0	-2.4371E-5	-2.4020E-5	0.0000E+0	-5.4232E-7	-2.4160E-2	-5.7715E-7	-5.4232E-7	0.0000E+0	-7.1054E-5	-4.1475E+0	-7.1055E-5	-7.1054E-5	0.0000E+0	1	-3.1351E-7	0.0000E+0	2.9288E-10	54277	-9.2641E-6	-9.8142E-6	-8.4840E-9	-8.4840E-9	8.7363E-9	9.2502E-9	0	95237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	150	150	150	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
B8_NRM_21_02_23_smallsrm_EB	39815	5.0	21/02/20 1414	21/02/20 2255	1.00	5.00	-77.99	-77.99	-77.99	182.51	182.51	182.51	6.3462E-5	0.00	90.00	0.00	0.00	0.00	-1.3190E-5	-8.7847E-1	-2.0804E-5	-1.3190E-5	0.0000E+0	-5.7855E-7	-1.9340E-2	-5.6503E-7	-5.7855E-7	0.0000E+0	-6.2073E-5	-3.6224E+0	-6.2066E-5	-6.2073E-5	0.0000E+0	1	-7.5760E-6	4.8350E-8	8.6637E-9	53889	-5.6884E-7	-1.3900E-5	9.6233E-8	1.8132E-7	1.4218E-8	2.9464E-8	0	94830	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	200	200	200	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
B8_NRM_21_02_23_smallsrm_EB	39816	5.0	21/02/20 1414	21/02/20 2255	1.00	5.00	-63.07	-63.07	-63.07	180.97	180.97	180.97	6.1016E-5	0.00	90.00	0.00	0.00	0.00	-2.7630E-5	-1.4567E+0	-2.6231E-5	-2.7630E-5	0.0000E+0	-4.6860E-7	-2.3650E-2	-4.1499E-7	-4.6860E-7	0.0000E+0	-5.4400E-5	-3.1754E+0	-5.4406E-5	-5.4400E-5	0.0000E+0	1	1.4363E-6	8.8447E-8	-4.7631E-9	53892	-9.2109E-6	-6.6798E-6	-1.5829E-7	-2.4240E-9	1.1648E-8	3.2547E-9	0	94970	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	250	250	250	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
B8_NRM_21_02_23_smallsrm_EB	39817	5.0	21/02/20 1414	21/02/20 2255	1.00	5.00	-69.64	-69.64	-69.64	181.87	181.87	181.87	4.8680E-5	0.00	90.00	0.00	0.00	0.00	-1.6927E-5	-1.0196E+0	-1.9012E-5	-1.6927E-5	0.0000E+0	-5.5304E-7	-2.4260E-2	-6.5400E-7	-5.5304E-7	0.0000E+0	-4.5639E-5	-2.6639E+0	-4.5648E-5	-4.5639E-5	0.0000E+0	1	-2.0475E-6	-6.6123E-8	-6.9118E-9	53760	-5.7956E-6	-9.3984E-6	6.5933E-8	-5.0419E-8	1.5760E-8	3.5973E-9	0	94598	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	300	300	300	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
B8_NRM_21_02_23_smallsrm_EB	39818	5.0	21/02/20 1414	21/02/20 2255	1.00	5.00	-82.59	-82.59	-82.59	182.26	182.26	182.26	3.2861E-5	0.00	90.00	0.00	0.00	0.00	-4.2351E-6	2.2860E-2	3.5614E-6	-4.2351E-6	0.0000E+0	-1.6693E-7	-9.4000E-4	-2.5210E-7	-1.6693E-7	0.0000E+0	-3.2586E-5	-1.9019E+0	-3.2592E-5	-3.2586E-5	0.0000E+0	1	7.8344E-6	-5.0334E-8	-4.6777E-9	53886	-3.0052E-6	1.0766E-5	2.2931E-7	1.4083E-7	1.2847E-8	4.6251E-9	0	94720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	400	400	400	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
B8_NRM_21_02_23_smallsrm_EB	39819	5.0	21/02/20 1414	21/02/20 2255	1.00	5.00	-85.39	-85.39	-85.39	273.00	273.00	273.00	2.0329E-5	0.00	90.00	0.00	0.00	0.00	8.5354E-8	3.5849E-1	8.5822E-6	8.5354E-8	0.0000E+0	-1.6301E-6	-6.1230E-2	-1.6847E-6	-1.6301E-6	0.0000E+0	-2.0264E-5	-1.1833E+0	-2.0264E-5	-2.0264E-5	0.0000E+0	1	8.5347E-6	-1.9701E-8	1.2657E-9	53763	1.3990E-7	1.5157E-5	2.0046E-7	1.6580E-7	-5.4816E-9	-3.2547E-9	0	94595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	500	500	500	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
