Sample ID	Run #	Position	Sample Timestamp	Tray Timestamp	Volume	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift	MM drift time	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Bkg #1 time	Bkg #2 time	MS mean	MS corr	MS std dev	# MS averaged	MS drift	MS drift time	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	IRM Gauss	Temp C	Offline Comment	Meas. type	Data type	Orientation	Leader length	Trailer length	Settling time	Drift corrected	Tray corrected	X calib	Y calib	Z calib	X responce	Y responce	Z responce	X filter	Y filter	Z filter	X range	Y range	Z range	X slew	Y slew	Z slew	X feedback	Y feedback	Z feedback
C7_ARM_23_02_23_smallsrm_EB	40063	NA	23/02/20 1744	23/02/20 2215	1.00	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C7_ARM_23_02_23_smallsrm_EB	40065	2.0	23/02/20 1749	23/02/20 2215	1.00	2.00	-88.26	-88.26	-88.26	141.83	141.83	141.83	4.4801E-4	0.00	90.00	0.00	0.00	0.00	-1.0703E-5	-5.0963E-1	-1.2427E-5	-1.0703E-5	0.0000E+0	8.4134E-6	3.4239E-1	8.3003E-6	8.4134E-6	0.0000E+0	-4.4780E-4	-2.6143E+1	-4.4776E-4	-4.4780E-4	0.0000E+0	1	-9.1291E-7	-3.4428E-9	2.1716E-8	24808	2.7979E-8	-3.4429E-6	-7.2720E-10	-1.3817E-8	-6.7150E-8	1.5417E-8	0	94321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
C7_ARM_23_02_23_smallsrm_EB	40066	2.0	23/02/20 1749	23/02/20 2215	1.00	2.00	-88.69	-88.69	-88.69	140.82	140.82	140.82	4.3187E-4	0.00	90.00	0.00	0.00	0.00	-7.6386E-6	-3.7706E-1	-1.6122E-5	-7.6386E-6	0.0000E+0	6.2246E-6	2.4901E-1	6.1090E-6	6.2246E-6	0.0000E+0	-4.3176E-4	-2.5206E+1	-4.3172E-4	-4.3176E-4	0.0000E+0	1	-7.6720E-6	-5.9403E-9	1.9184E-8	24824	6.9477E-6	-2.2167E-5	-7.2962E-8	-9.5506E-8	-5.5330E-8	1.7473E-8	0	94206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	25	25	25	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
C7_ARM_23_02_23_smallsrm_EB	40067	2.0	23/02/20 1749	23/02/20 2215	1.00	2.00	-89.15	-89.15	-89.15	89.29	89.29	89.29	4.0274E-4	0.00	90.00	0.00	0.00	0.00	7.4268E-8	4.7088E-1	6.9214E-6	7.4268E-8	0.0000E+0	5.9649E-6	2.3361E-1	5.8600E-6	5.9649E-6	0.0000E+0	-4.0270E-4	-2.3509E+1	-4.0266E-4	-4.0270E-4	0.0000E+0	1	7.6581E-6	4.8604E-9	1.7400E-8	24955	4.5351E-6	3.3562E-5	-1.9731E-7	-1.7889E-7	-4.6936E-8	1.9014E-8	0	94587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	50	50	50	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
C7_ARM_23_02_23_smallsrm_EB	40068	2.0	23/02/20 1749	23/02/20 2215	1.00	2.00	-88.12	-88.12	-88.12	162.83	162.83	162.83	3.5080E-4	0.00	90.00	0.00	0.00	0.00	-1.1016E-5	-5.6544E-1	-1.9549E-5	-1.1016E-5	0.0000E+0	3.4026E-6	1.3133E-1	3.2879E-6	3.4026E-6	0.0000E+0	-3.5061E-4	-2.0467E+1	-3.5057E-4	-3.5061E-4	0.0000E+0	1	-7.7221E-6	-4.9887E-9	1.5955E-8	24958	5.7915E-6	-2.3475E-5	-1.0447E-7	-1.2338E-7	-2.4325E-8	3.6144E-8	0	94591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	100	100	100	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
C7_ARM_23_02_23_smallsrm_EB	40069	2.0	23/02/20 1749	23/02/20 2215	1.00	2.00	-88.95	-88.95	-88.95	42.11	42.11	42.11	3.0260E-4	0.00	90.00	0.00	0.00	0.00	4.1221E-6	8.7329E-1	1.6147E-5	4.1221E-6	0.0000E+0	3.7260E-6	1.4061E-1	3.6156E-6	3.7260E-6	0.0000E+0	-3.0255E-4	-1.7660E+1	-3.0251E-4	-3.0255E-4	0.0000E+0	1	1.2836E-5	-7.0356E-10	1.4373E-8	24958	5.0998E-6	5.3747E-5	-2.0725E-7	-2.0992E-7	-8.0511E-9	4.6422E-8	0	94588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	150	150	150	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
C7_ARM_23_02_23_smallsrm_EB	40070	2.0	23/02/20 1749	23/02/20 2215	1.00	2.00	-87.46	-87.46	-87.46	171.77	171.77	171.77	2.5385E-4	0.00	90.00	0.00	0.00	0.00	-1.1155E-5	-4.7168E-1	-7.9700E-6	-1.1155E-5	0.0000E+0	1.6126E-6	4.8760E-2	1.5155E-6	1.6126E-6	0.0000E+0	-2.5360E-4	-1.4802E+1	-2.5356E-4	-2.5360E-4	0.0000E+0	1	3.9961E-6	1.2601E-8	1.6228E-8	24962	-3.5060E-6	1.1638E-5	-3.3354E-7	-2.8579E-7	-6.8520E-10	6.0812E-8	0	94595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	200	200	200	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
C7_ARM_23_02_23_smallsrm_EB	40071	2.0	23/02/20 1749	23/02/20 2215	1.00	2.00	-88.09	-88.09	-88.09	14.42	14.42	14.42	2.1007E-4	0.00	90.00	0.00	0.00	0.00	6.7941E-6	-2.7180E-2	2.7629E-6	6.7941E-6	0.0000E+0	1.7467E-6	5.3490E-2	1.6527E-6	1.7467E-6	0.0000E+0	-2.0995E-4	-1.2253E+1	-2.0992E-4	-2.0995E-4	0.0000E+0	1	-3.2202E-6	1.5669E-8	6.5536E-9	24959	-3.4242E-6	-1.5629E-5	-3.5609E-7	-2.9670E-7	2.1413E-8	4.6251E-8	0	94596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	250	250	250	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
C7_ARM_23_02_23_smallsrm_EB	40072	2.0	23/02/20 1749	23/02/20 2215	1.00	2.00	-86.71	-86.71	-86.71	174.38	174.38	174.38	1.6552E-4	0.00	90.00	0.00	0.00	0.00	-9.4430E-6	3.4215E-1	9.4539E-6	-9.4430E-6	0.0000E+0	9.3004E-7	1.7540E-2	8.5228E-7	9.3004E-7	0.0000E+0	-1.6525E-4	-9.6436E+0	-1.6522E-4	-1.6525E-4	0.0000E+0	1	1.9708E-5	3.1931E-8	7.8978E-9	25090	-1.1294E-6	7.3675E-5	-4.2711E-7	-3.0591E-7	1.9528E-8	4.9506E-8	0	95233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	300	300	300	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
C7_ARM_23_02_23_smallsrm_EB	40073	2.0	23/02/20 1749	23/02/20 2215	1.00	2.00	-77.64	-77.64	-77.64	4.86	4.86	4.86	1.1101E-4	0.00	90.00	0.00	0.00	0.00	2.3684E-5	9.0405E-1	1.4857E-5	2.3684E-5	0.0000E+0	2.0130E-6	6.3100E-2	1.9176E-6	2.0130E-6	0.0000E+0	-1.0844E-4	-6.3267E+0	-1.0841E-4	-1.0844E-4	0.0000E+0	1	-8.0160E-6	1.4333E-8	3.7364E-9	24959	7.1384E-6	-2.3365E-5	-3.8808E-7	-3.3354E-7	3.4260E-8	4.8478E-8	0	94976	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	400	400	400	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
