Sample ID	Run #	Position	Sample Timestamp	Tray Timestamp	Volume	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift	MM drift time	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Bkg #1 time	Bkg #2 time	MS mean	MS corr	MS std dev	# MS averaged	MS drift	MS drift time	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	IRM Gauss	Temp C	Offline Comment	Meas. type	Data type	Orientation	Leader length	Trailer length	Settling time	Drift corrected	Tray corrected	X calib	Y calib	Z calib	X responce	Y responce	Z responce	X filter	Y filter	Z filter	X range	Y range	Z range	X slew	Y slew	Z slew	X feedback	Y feedback	Z feedback
C7_NRM_23_02_23_smallsrm_EB	40045	2.0	23/02/20 1632	23/02/20 2215	1.00	2.00	-51.16	-51.16	-51.16	281.24	281.24	281.24	5.1028E-5	0.00	90.00	0.00	0.00	0.00	6.2404E-6	1.7584E-1	4.3760E-6	6.2404E-6	0.0000E+0	-3.1387E-5	-1.2995E+0	-3.1503E-5	-3.1387E-5	0.0000E+0	-3.9746E-5	-2.3186E+0	-3.9725E-5	-3.9746E-5	0.0000E+0	1	-1.0535E-6	-5.3812E-9	-1.4940E-9	24730	-9.7807E-8	-4.0840E-6	2.9088E-9	-1.7453E-8	6.3381E-9	6.8520E-10	0	93574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
C7_NRM_23_02_23_smallsrm_EB	40046	2.0	23/02/20 1632	23/02/20 2215	1.00	2.00	-46.53	-46.53	-46.53	272.22	272.22	272.22	5.1010E-5	0.00	90.00	0.00	0.00	0.00	1.3621E-6	-3.5162E-1	3.1048E-6	1.3621E-6	0.0000E+0	-3.5068E-5	-1.1857E+0	-2.8801E-5	-3.5068E-5	0.0000E+0	-3.7020E-5	-2.1596E+0	-3.6996E-5	-3.7020E-5	0.0000E+0	1	2.5536E-6	6.3760E-6	1.3947E-9	24707	-1.1660E-5	-1.9369E-6	5.9388E-8	2.4336E-5	2.7408E-9	8.0511E-9	0	94071	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	25	25	25	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
C7_NRM_23_02_23_smallsrm_EB	40047	2.0	23/02/20 1632	23/02/20 2215	1.00	2.00	-50.09	-50.09	-50.09	267.37	267.37	267.37	4.1491E-5	0.00	90.00	0.00	0.00	0.00	-1.2213E-6	3.9842E-1	3.1249E-6	-1.2213E-6	0.0000E+0	-2.6593E-5	-1.0962E+0	-2.6709E-5	-2.6593E-5	0.0000E+0	-3.1825E-5	-1.8563E+0	-3.1804E-5	-3.1825E-5	0.0000E+0	1	5.1572E-6	-5.9604E-9	-2.0381E-9	24705	6.5686E-6	2.6074E-5	1.3599E-7	1.1344E-7	5.1390E-9	-2.5695E-9	0	93438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	50	50	50	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
C7_NRM_23_02_23_smallsrm_EB	40048	2.0	23/02/20 1632	23/02/20 2215	1.00	2.00	-49.65	-49.65	-49.65	254.42	254.42	254.42	3.5385E-5	0.00	90.00	0.00	0.00	0.00	-6.1516E-6	-6.2000E-4	-7.2117E-6	-6.1516E-6	0.0000E+0	-2.2070E-5	-9.0921E-1	-2.2181E-5	-2.2070E-5	0.0000E+0	-2.6966E-5	-1.5728E+0	-2.6945E-5	-2.6966E-5	0.0000E+0	1	-2.4906E-7	-1.0892E-9	-1.5394E-9	24697	7.1966E-6	6.2543E-6	1.4132E-7	1.3720E-7	3.7686E-9	-2.0556E-9	0	93438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	100	100	100	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
C7_NRM_23_02_23_smallsrm_EB	40050	2.0	23/02/20 1648	23/02/20 2215	1.00	2.00	-50.52	-50.52	-50.52	263.96	263.96	263.96	3.4827E-5	0.00	90.00	0.00	0.00	0.00	-2.3301E-6	1.5187E-1	3.6806E-6	-2.3301E-6	0.0000E+0	-2.2019E-5	-9.1282E-1	-2.2127E-5	-2.2019E-5	0.0000E+0	-2.6882E-5	-1.5680E+0	-2.6861E-5	-2.6882E-5	0.0000E+0	1	6.8216E-6	1.6025E-9	-1.4496E-9	24710	1.4355E-8	2.5811E-5	7.2720E-10	6.7872E-9	5.1390E-10	-4.9677E-9	0	93443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
C7_NRM_23_02_23_smallsrm_EB	40051	2.0	23/02/20 1648	23/02/20 2215	1.00	2.00	-47.55	-47.55	-47.55	285.74	285.74	285.74	3.0972E-5	0.00	90.00	0.00	0.00	0.00	5.6723E-6	5.5459E-1	7.1664E-6	5.6723E-6	0.0000E+0	-2.0120E-5	-8.2864E-1	-2.0220E-5	-2.0120E-5	0.0000E+0	-2.2854E-5	-1.3329E+0	-2.2832E-5	-2.2854E-5	0.0000E+0	1	2.3051E-6	9.8699E-9	-2.7175E-10	24707	6.3268E-6	1.5045E-5	1.3332E-7	1.7065E-7	-1.7130E-10	-1.1991E-9	0	93446	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	150	150	150	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
C7_NRM_23_02_23_smallsrm_EB	40052	2.0	23/02/20 1648	23/02/20 2215	1.00	2.00	-44.45	-44.45	-44.45	241.24	241.24	241.24	3.0868E-5	0.00	90.00	0.00	0.00	0.00	-1.0602E-5	-7.5075E-1	-1.2684E-5	-1.0602E-5	0.0000E+0	-1.9318E-5	-7.9844E-1	-1.9431E-5	-1.9318E-5	0.0000E+0	-2.1617E-5	-1.2607E+0	-2.1594E-5	-2.1617E-5	0.0000E+0	1	-1.2711E-6	-3.3324E-9	9.0576E-11	24704	-5.5820E-6	-1.0390E-5	7.6598E-8	6.3994E-8	-6.8520E-10	-3.4260E-10	0	93442	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	200	200	200	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
C7_NRM_23_02_23_smallsrm_EB	40054	2.0	23/02/20 1702	23/02/20 2215	1.00	2.00	-48.24	-48.24	-48.24	268.72	268.72	268.72	2.8952E-5	0.00	90.00	0.00	0.00	0.00	-4.3065E-7	-3.2220E-1	-7.8462E-6	-4.3065E-7	0.0000E+0	-1.9277E-5	-8.0009E-1	-1.9397E-5	-1.9277E-5	0.0000E+0	-2.1597E-5	-1.2593E+0	-2.1576E-5	-2.1597E-5	0.0000E+0	1	-6.6046E-6	-1.0174E-8	-5.8418E-10	24580	7.0557E-9	-2.5170E-5	2.9088E-9	-3.5875E-8	3.0834E-9	8.5650E-10	0	93699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
C7_NRM_23_02_23_smallsrm_EB	40055	2.0	23/02/20 1702	23/02/20 2215	1.00	2.00	-39.33	-39.33	-39.33	5.92	5.92	5.92	2.8507E-5	0.00	90.00	0.00	0.00	0.00	2.1932E-5	8.8944E-1	1.5548E-5	2.1932E-5	0.0000E+0	2.2751E-6	3.4828E-1	8.5502E-6	2.2751E-6	0.0000E+0	-1.8067E-5	-1.0528E+0	-1.8049E-5	-1.8067E-5	0.0000E+0	1	-5.5736E-6	6.3847E-6	-4.1047E-9	24705	6.0922E-6	-1.5075E-5	-1.0787E-7	2.4139E-5	1.4218E-8	-1.3704E-9	0	93822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	250	250	250	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
C7_NRM_23_02_23_smallsrm_EB	40056	2.0	23/02/20 1702	23/02/20 2215	1.00	2.00	-75.54	-75.54	-75.54	35.40	35.40	35.40	2.8870E-5	0.00	90.00	0.00	0.00	0.00	5.8775E-6	5.9612E-1	2.8775E-6	5.8775E-6	0.0000E+0	4.1767E-6	4.2378E-1	1.0464E-5	4.1767E-6	0.0000E+0	-2.7955E-5	-1.8934E+0	-3.2444E-5	-2.7955E-5	0.0000E+0	1	-2.1891E-6	6.3966E-6	-4.5111E-6	24828	1.1626E-5	3.3091E-6	-1.9125E-7	2.4112E-5	1.0963E-8	-1.7128E-5	0	94329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	300	300	300	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
