Sample ID	Run #	Position	Sample Timestamp	Tray Timestamp	Volume	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift	MM drift time	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Bkg #1 time	Bkg #2 time	MS mean	MS corr	MS std dev	# MS averaged	MS drift	MS drift time	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	IRM Gauss	Temp C	Offline Comment	Meas. type	Data type	Orientation	Leader length	Trailer length	Settling time	Drift corrected	Tray corrected	X calib	Y calib	Z calib	X responce	Y responce	Z responce	X filter	Y filter	Z filter	X range	Y range	Z range	X slew	Y slew	Z slew	X feedback	Y feedback	Z feedback
D1_ARM_23_02_23_smallsrm_EB	40069	NA	23/02/20 1744	23/02/20 2215	1.00	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
D1_ARM_23_02_23_smallsrm_EB	40071	8.0	23/02/20 1749	23/02/20 2215	1.00	8.00	-89.00	-89.00	-89.00	166.72	166.72	166.72	8.3357E-4	0.00	90.00	0.00	0.00	0.00	-1.4162E-5	-7.1098E-1	-1.7326E-5	-1.4162E-5	0.0000E+0	3.3433E-6	1.3641E-1	3.3073E-6	3.3433E-6	0.0000E+0	-8.3345E-4	-4.8656E+1	-8.3341E-4	-8.3345E-4	0.0000E+0	1	-3.0325E-6	-1.1436E-8	7.2138E-8	82408	2.7979E-8	-3.4429E-6	-7.2720E-10	-1.3817E-8	-6.7150E-8	1.5417E-8	0	94321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
D1_ARM_23_02_23_smallsrm_EB	40072	8.0	23/02/20 1749	23/02/20 2215	1.00	8.00	-88.75	-88.75	-88.75	175.39	175.39	175.39	8.1348E-4	0.00	90.00	0.00	0.00	0.00	-1.7704E-5	-1.4929E+0	-4.3269E-5	-1.7704E-5	0.0000E+0	1.4272E-6	5.4040E-2	1.3829E-6	1.4272E-6	0.0000E+0	-8.1328E-4	-4.7479E+1	-8.1326E-4	-8.1328E-4	0.0000E+0	1	-2.5434E-5	-1.9693E-8	6.3598E-8	82296	6.9477E-6	-2.2167E-5	-7.2962E-8	-9.5506E-8	-5.5330E-8	1.7473E-8	0	94206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	25	25	25	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
D1_ARM_23_02_23_smallsrm_EB	40073	8.0	23/02/20 1749	23/02/20 2215	1.00	8.00	-89.18	-89.18	-89.18	170.08	170.08	170.08	7.6663E-4	0.00	90.00	0.00	0.00	0.00	-1.0809E-5	7.7806E-1	1.4395E-5	-1.0809E-5	0.0000E+0	1.8900E-6	6.9480E-2	1.8815E-6	1.8900E-6	0.0000E+0	-7.6655E-4	-4.4750E+1	-7.6653E-4	-7.6655E-4	0.0000E+0	1	2.5335E-5	1.6080E-8	5.7563E-8	82558	4.5351E-6	3.3562E-5	-1.9731E-7	-1.7889E-7	-4.6936E-8	1.9014E-8	0	94587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	50	50	50	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
D1_ARM_23_02_23_smallsrm_EB	40074	8.0	23/02/20 1749	23/02/20 2215	1.00	8.00	-88.67	-88.67	-88.67	177.99	177.99	177.99	6.7982E-4	0.00	90.00	0.00	0.00	0.00	-1.5736E-5	-1.4640E+0	-4.1411E-5	-1.5736E-5	0.0000E+0	5.5182E-7	1.6760E-2	5.1074E-7	5.5182E-7	0.0000E+0	-6.7963E-4	-3.9676E+1	-6.7962E-4	-6.7963E-4	0.0000E+0	1	-2.5543E-5	-1.6502E-8	5.2776E-8	82557	5.7915E-6	-2.3475E-5	-1.0447E-7	-1.2338E-7	-2.4325E-8	3.6144E-8	0	94591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	100	100	100	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
D1_ARM_23_02_23_smallsrm_EB	40075	8.0	23/02/20 1749	23/02/20 2215	1.00	8.00	-89.45	-89.45	-89.45	177.01	177.01	177.01	6.0159E-4	0.00	90.00	0.00	0.00	0.00	-5.7949E-6	1.7113E+0	3.6536E-5	-5.7949E-6	0.0000E+0	3.0300E-7	2.8400E-3	2.7609E-7	3.0300E-7	0.0000E+0	-6.0156E-4	-3.5117E+1	-6.0155E-4	-6.0156E-4	0.0000E+0	1	4.2462E-5	-2.3274E-9	4.7547E-8	82561	5.0998E-6	5.3747E-5	-2.0725E-7	-2.0992E-7	-8.0511E-9	4.6422E-8	0	94588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	150	150	150	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
D1_ARM_23_02_23_smallsrm_EB	40076	8.0	23/02/20 1749	23/02/20 2215	1.00	8.00	-87.59	-87.59	-87.59	184.06	184.06	184.06	5.1982E-4	0.00	90.00	0.00	0.00	0.00	-2.1771E-5	-5.0108E-1	-8.6853E-6	-2.1771E-5	0.0000E+0	-1.5449E-6	-7.6790E-2	-1.5278E-6	-1.5449E-6	0.0000E+0	-5.1936E-4	-3.0318E+1	-5.1934E-4	-5.1936E-4	0.0000E+0	1	1.3217E-5	4.1679E-8	5.3675E-8	82563	-3.5060E-6	1.1638E-5	-3.3354E-7	-2.8579E-7	-6.8520E-10	6.0812E-8	0	94595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	200	200	200	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
D1_ARM_23_02_23_smallsrm_EB	40077	8.0	23/02/20 1749	23/02/20 2215	1.00	8.00	-89.80	-89.80	-89.80	234.44	234.44	234.44	4.3592E-4	0.00	90.00	0.00	0.00	0.00	-8.8265E-7	-6.2023E-1	-1.1666E-5	-8.8265E-7	0.0000E+0	-1.2349E-6	-6.4510E-2	-1.2076E-6	-1.2349E-6	0.0000E+0	-4.3591E-4	-2.5447E+1	-4.3593E-4	-4.3591E-4	0.0000E+0	1	-1.0652E-5	5.1832E-8	2.1678E-8	82561	-3.4242E-6	-1.5629E-5	-3.5609E-7	-2.9670E-7	2.1413E-8	4.6251E-8	0	94596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	250	250	250	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
D1_ARM_23_02_23_smallsrm_EB	40078	8.0	23/02/20 1749	23/02/20 2215	1.00	8.00	-87.91	-87.91	-87.91	188.30	188.30	188.30	3.5376E-4	0.00	90.00	0.00	0.00	0.00	-1.2777E-5	2.1091E+0	5.2445E-5	-1.2777E-5	0.0000E+0	-1.8634E-6	-9.1140E-2	-1.7821E-6	-1.8634E-6	0.0000E+0	-3.5353E-4	-2.0637E+1	-3.5354E-4	-3.5353E-4	0.0000E+0	1	6.5353E-5	1.0589E-7	2.6190E-8	83200	-1.1294E-6	7.3675E-5	-4.2711E-7	-3.0591E-7	1.9528E-8	4.9506E-8	0	95233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	300	300	300	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
D1_ARM_23_02_23_smallsrm_EB	40079	8.0	23/02/20 1749	23/02/20 2215	1.00	8.00	-89.45	-89.45	-89.45	336.14	336.14	336.14	2.4124E-4	0.00	90.00	0.00	0.00	0.00	2.1205E-6	-7.1804E-1	-2.4608E-5	2.1205E-6	0.0000E+0	-9.3779E-7	-5.3750E-2	-9.1482E-7	-9.3779E-7	0.0000E+0	-2.4123E-4	-1.4082E+1	-2.4125E-4	-2.4123E-4	0.0000E+0	1	-2.6598E-5	4.7557E-8	1.2398E-8	82816	7.1384E-6	-2.3365E-5	-3.8808E-7	-3.3354E-7	3.4260E-8	4.8478E-8	0	94976	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	400	400	400	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
