Sample ID	Run #	Position	Sample Timestamp	Tray Timestamp	Volume	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift	MM drift time	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Bkg #1 time	Bkg #2 time	MS mean	MS corr	MS std dev	# MS averaged	MS drift	MS drift time	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	IRM Gauss	Temp C	Offline Comment	Meas. type	Data type	Orientation	Leader length	Trailer length	Settling time	Drift corrected	Tray corrected	X calib	Y calib	Z calib	X responce	Y responce	Z responce	X filter	Y filter	Z filter	X range	Y range	Z range	X slew	Y slew	Z slew	X feedback	Y feedback	Z feedback
D1_NRM_23_02_23_smallsrm_EB	40051	8.0	23/02/20 1632	23/02/20 2215	1.00	8.00	-64.17	-64.17	-64.17	252.06	252.06	252.06	1.2794E-4	0.00	90.00	0.00	0.00	0.00	-1.7176E-5	-8.5841E-1	-2.0787E-5	-1.7176E-5	0.0000E+0	-5.3040E-5	-2.1898E+0	-5.3082E-5	-5.3040E-5	0.0000E+0	-1.1516E-4	-6.7248E+0	-1.1520E-4	-1.1516E-4	0.0000E+0	1	-3.4799E-6	-1.7775E-8	-4.9349E-9	81689	-9.7807E-8	-4.0840E-6	2.9088E-9	-1.7453E-8	6.3381E-9	6.8520E-10	0	93574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
D1_NRM_23_02_23_smallsrm_EB	40052	8.0	23/02/20 1632	23/02/20 2215	1.00	8.00	-65.66	-65.66	-65.66	252.40	252.40	252.40	1.2058E-4	0.00	90.00	0.00	0.00	0.00	-1.5029E-5	-7.5327E-1	-6.6674E-6	-1.5029E-5	0.0000E+0	-4.7364E-5	-1.0777E+0	-2.6183E-5	-4.7364E-5	0.0000E+0	-1.0986E-4	-6.4151E+0	-1.0989E-4	-1.0986E-4	0.0000E+0	1	8.4931E-6	2.1206E-5	4.6387E-9	82174	-1.1660E-5	-1.9369E-6	5.9388E-8	2.4336E-5	2.7408E-9	8.0511E-9	0	94071	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	25	25	25	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
D1_NRM_23_02_23_smallsrm_EB	40053	8.0	23/02/20 1632	23/02/20 2215	1.00	8.00	-66.52	-66.52	-66.52	253.19	253.19	253.19	1.1414E-4	0.00	90.00	0.00	0.00	0.00	-1.3149E-5	4.2375E-1	3.7412E-6	-1.3149E-5	0.0000E+0	-4.3529E-5	-1.7919E+0	-4.3573E-5	-4.3529E-5	0.0000E+0	-1.0469E-4	-6.1137E+0	-1.0473E-4	-1.0469E-4	0.0000E+0	1	1.7021E-5	-1.9672E-8	-6.7268E-9	81539	6.5686E-6	2.6074E-5	1.3599E-7	1.1344E-7	5.1390E-9	-2.5695E-9	0	93438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	50	50	50	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
D1_NRM_23_02_23_smallsrm_EB	40054	8.0	23/02/20 1632	23/02/20 2215	1.00	8.00	-66.03	-66.03	-66.03	247.25	247.25	247.25	1.0141E-4	0.00	90.00	0.00	0.00	0.00	-1.5928E-5	-3.9806E-1	-1.6881E-5	-1.5928E-5	0.0000E+0	-3.7989E-5	-1.5625E+0	-3.8017E-5	-3.7989E-5	0.0000E+0	-9.2663E-5	-5.4117E+0	-9.2706E-5	-9.2663E-5	0.0000E+0	1	-8.2223E-7	-3.5957E-9	-5.0821E-9	81532	7.1966E-6	6.2543E-6	1.4132E-7	1.3720E-7	3.7686E-9	-2.0556E-9	0	93438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	100	100	100	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
D1_NRM_23_02_23_smallsrm_EB	40056	8.0	23/02/20 1648	23/02/20 2215	1.00	8.00	-66.90	-66.90	-66.90	253.64	253.64	253.64	1.0073E-4	0.00	90.00	0.00	0.00	0.00	-1.1132E-5	4.6289E-1	1.1248E-5	-1.1132E-5	0.0000E+0	-3.7918E-5	-1.5650E+0	-3.7937E-5	-3.7918E-5	0.0000E+0	-9.2658E-5	-5.4116E+0	-9.2701E-5	-9.2658E-5	0.0000E+0	1	2.2511E-5	5.2881E-9	-4.7834E-9	81541	1.4355E-8	2.5811E-5	7.2720E-10	6.7872E-9	5.1390E-10	-4.9677E-9	0	93443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
D1_NRM_23_02_23_smallsrm_EB	40057	8.0	23/02/20 1648	23/02/20 2215	1.00	8.00	-66.42	-66.42	-66.42	248.16	248.16	248.16	9.1684E-5	0.00	90.00	0.00	0.00	0.00	-1.3648E-5	6.3500E-3	-6.1723E-6	-1.3648E-5	0.0000E+0	-3.4049E-5	-1.3988E+0	-3.4041E-5	-3.4049E-5	0.0000E+0	-8.4026E-5	-4.9075E+0	-8.4065E-5	-8.4026E-5	0.0000E+0	1	7.6068E-6	3.2571E-8	-8.9678E-10	81534	6.3268E-6	1.5045E-5	1.3332E-7	1.7065E-7	-1.7130E-10	-1.1991E-9	0	93446	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	150	150	150	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
D1_NRM_23_02_23_smallsrm_EB	40058	8.0	23/02/20 1648	23/02/20 2215	1.00	8.00	-65.51	-65.51	-65.51	243.02	243.02	243.02	8.2037E-5	0.00	90.00	0.00	0.00	0.00	-1.5430E-5	-1.0415E+0	-1.9757E-5	-1.5430E-5	0.0000E+0	-3.0306E-5	-1.2486E+0	-3.0342E-5	-3.0306E-5	0.0000E+0	-7.4655E-5	-4.3604E+0	-7.4693E-5	-7.4655E-5	0.0000E+0	1	-4.1953E-6	-1.0999E-8	2.9895E-10	81537	-5.5820E-6	-1.0390E-5	7.6598E-8	6.3994E-8	-6.8520E-10	-3.4260E-10	0	93442	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	200	200	200	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
D1_NRM_23_02_23_smallsrm_EB	40060	8.0	23/02/20 1702	23/02/20 2215	1.00	8.00	-65.66	-65.66	-65.66	243.18	243.18	243.18	8.2030E-5	0.00	90.00	0.00	0.00	0.00	-1.5253E-5	-1.5354E+0	-3.7364E-5	-1.5253E-5	0.0000E+0	-3.0174E-5	-1.2471E+0	-3.0233E-5	-3.0174E-5	0.0000E+0	-7.4738E-5	-4.3651E+0	-7.4778E-5	-7.4738E-5	0.0000E+0	1	-2.1980E-5	-3.3859E-8	-1.9441E-9	81801	7.0557E-9	-2.5170E-5	2.9088E-9	-3.5875E-8	3.0834E-9	8.5650E-10	0	93699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
D1_NRM_23_02_23_smallsrm_EB	40061	8.0	23/02/20 1702	23/02/20 2215	1.00	8.00	-68.71	-68.71	-68.71	250.11	250.11	250.11	6.8483E-5	0.00	90.00	0.00	0.00	0.00	-8.4623E-6	-8.6244E-1	-2.7075E-5	-8.4623E-6	0.0000E+0	-2.3387E-5	-9.6850E-2	-2.2398E-6	-2.3387E-5	0.0000E+0	-6.3808E-5	-3.7271E+0	-6.3859E-5	-6.3808E-5	0.0000E+0	1	-1.8482E-5	2.1172E-5	-1.3611E-8	81921	6.0922E-6	-1.5075E-5	-1.0787E-7	2.4139E-5	1.4218E-8	-1.3704E-9	0	93822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	250	250	250	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
D1_NRM_23_02_23_smallsrm_EB	40062	8.0	23/02/20 1702	23/02/20 2215	1.00	8.00	-69.64	-69.64	-69.64	244.27	244.27	244.27	5.9909E-5	0.00	90.00	0.00	0.00	0.00	-9.0497E-6	-1.9821E-1	-1.6449E-5	-9.0497E-6	0.0000E+0	-1.8781E-5	9.2400E-2	2.4310E-6	-1.8781E-5	0.0000E+0	-5.6164E-5	-4.1546E+0	-7.1179E-5	-5.6164E-5	0.0000E+0	1	-7.2677E-6	2.1237E-5	-1.4977E-5	82428	1.1626E-5	3.3091E-6	-1.9125E-7	2.4112E-5	1.0963E-8	-1.7128E-5	0	94329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	300	300	300	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
