Sample ID	Run #	Position	Sample Timestamp	Tray Timestamp	Volume	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift	MM drift time	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Bkg #1 time	Bkg #2 time	MS mean	MS corr	MS std dev	# MS averaged	MS drift	MS drift time	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	IRM Gauss	Temp C	Offline Comment	Meas. type	Data type	Orientation	Leader length	Trailer length	Settling time	Drift corrected	Tray corrected	X calib	Y calib	Z calib	X responce	Y responce	Z responce	X filter	Y filter	Z filter	X range	Y range	Z range	X slew	Y slew	Z slew	X feedback	Y feedback	Z feedback
E12_NRM_21_02_23_smallsrm_EB	39779	6.0	21/02/20 2321	21/02/20 2255	1.00	6.00	-72.71	-72.71	-72.71	265.86	265.86	265.86	8.0451E-6	0.00	90.00	0.00	0.00	0.00	-1.7257E-7	-7.5800E-3	-1.9172E-7	-1.7257E-7	0.0000E+0	-2.3844E-6	-9.8040E-2	-2.3908E-6	-2.3844E-6	0.0000E+0	-7.6817E-6	-4.4888E-1	-7.6837E-6	-7.6817E-6	0.0000E+0	1	-3.2667E-9	1.6273E-10	-1.4950E-9	63747	7.2990E-9	2.4330E-9	1.4302E-8	1.4544E-8	-5.6529E-9	-7.8798E-9	0	94957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
E12_NRM_21_02_23_smallsrm_EB	39780	6.0	21/02/20 2321	21/02/20 2255	1.00	6.00	-73.88	-73.88	-73.88	277.50	277.50	277.50	6.6253E-6	0.00	90.00	0.00	0.00	0.00	2.4023E-7	-2.0155E-1	2.2043E-7	2.4023E-7	0.0000E+0	-1.8237E-6	-7.5930E-2	-1.8287E-6	-1.8237E-6	0.0000E+0	-6.3648E-6	-3.7171E-1	-6.3619E-6	-6.3648E-6	0.0000E+0	1	-3.9177E-9	1.6263E-9	3.4479E-9	63637	-5.1241E-6	-5.1300E-6	-1.1878E-8	-9.4536E-9	-5.4816E-9	-3.4260E-10	0	94850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	25	25	25	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
E12_NRM_21_02_23_smallsrm_EB	39781	6.0	21/02/20 2321	21/02/20 2255	1.00	6.00	-67.82	-67.82	-67.82	281.23	281.23	281.23	6.2674E-6	0.00	90.00	0.00	0.00	0.00	4.6081E-7	7.4650E-2	4.4329E-7	4.6081E-7	0.0000E+0	-2.3206E-6	-9.5350E-2	-2.3292E-6	-2.3206E-6	0.0000E+0	-5.8037E-6	-3.3882E-1	-5.7994E-6	-5.8037E-6	0.0000E+0	1	-1.6307E-9	-2.1121E-9	4.8223E-9	63487	1.3729E-6	1.3705E-6	1.7938E-8	1.4786E-8	-4.6251E-9	2.5695E-9	0	94720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	50	50	50	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
E12_NRM_21_02_23_smallsrm_EB	39782	6.0	21/02/20 2321	21/02/20 2255	1.00	6.00	-71.73	-71.73	-71.73	294.55	294.55	294.55	5.2718E-6	0.00	90.00	0.00	0.00	0.00	6.8666E-7	1.4008E-1	6.7126E-7	6.8666E-7	0.0000E+0	-1.5034E-6	-6.1330E-2	-1.5111E-6	-1.5034E-6	0.0000E+0	-5.0060E-6	-2.9244E-1	-5.0083E-6	-5.0060E-6	0.0000E+0	1	4.8887E-10	-1.1365E-9	-1.8357E-9	63358	2.7369E-6	2.7376E-6	2.4482E-8	2.2786E-8	-1.1991E-9	-3.9399E-9	0	94595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	100	100	100	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
E12_NRM_21_02_23_smallsrm_EB	39783	6.0	21/02/20 2321	21/02/20 2255	1.00	6.00	-75.21	-75.21	-75.21	274.84	274.84	274.84	3.5185E-6	0.00	90.00	0.00	0.00	0.00	7.5733E-8	3.3035E-1	6.0338E-8	7.5733E-8	0.0000E+0	-8.9479E-7	-3.5220E-2	-8.9955E-7	-8.9479E-7	0.0000E+0	-3.4020E-6	-1.9903E-1	-3.4087E-6	-3.4020E-6	0.0000E+0	1	4.8890E-10	1.7860E-9	-6.1959E-9	63360	7.9771E-6	7.9778E-6	4.5814E-8	4.8480E-8	-6.8520E-10	-9.9354E-9	0	94593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	150	150	150	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
E12_NRM_21_02_23_smallsrm_EB	39784	6.0	21/02/20 2321	21/02/20 2255	1.00	6.00	-72.42	-72.42	-72.42	293.78	293.78	293.78	4.0736E-6	0.00	90.00	0.00	0.00	0.00	4.9608E-7	3.4309E-1	4.7954E-7	4.9608E-7	0.0000E+0	-1.1257E-6	-4.4760E-2	-1.1337E-6	-1.1257E-6	0.0000E+0	-3.8834E-6	-2.2738E-1	-3.8861E-6	-3.8834E-6	0.0000E+0	1	-6.5143E-10	-1.4603E-9	-2.1786E-9	62719	7.8678E-6	7.8669E-6	4.8722E-8	4.6541E-8	-8.9076E-9	-1.2162E-8	0	93698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	200	200	200	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
E12_NRM_21_02_23_smallsrm_EB	39786	6.0	21/02/20 2351	21/02/20 2255	1.00	6.00	-72.18	-72.18	-72.18	295.98	295.98	295.98	4.1561E-6	0.00	90.00	0.00	0.00	0.00	5.5714E-7	3.9299E-1	5.4159E-7	5.5714E-7	0.0000E+0	-1.1432E-6	-4.5170E-2	-1.1519E-6	-1.1432E-6	0.0000E+0	-3.9567E-6	-2.3158E-1	-3.9562E-6	-3.9567E-6	0.0000E+0	1	3.2550E-10	-2.1079E-9	1.0313E-9	62849	9.0199E-6	9.0203E-6	5.6964E-8	5.3813E-8	-1.0792E-8	-9.2502E-9	0	93954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
E12_NRM_21_02_23_smallsrm_EB	39787	6.0	21/02/20 2351	21/02/20 2255	1.00	6.00	-54.10	-54.10	-54.10	302.54	302.54	302.54	4.1046E-6	0.00	90.00	0.00	0.00	0.00	1.2946E-6	4.1893E-1	1.2727E-6	1.2946E-6	0.0000E+0	-2.0288E-6	-8.1840E-2	-2.0342E-6	-2.0288E-6	0.0000E+0	-3.3251E-6	-1.9471E-1	-3.3380E-6	-3.3251E-6	0.0000E+0	1	-6.0258E-9	1.1358E-9	-1.2384E-8	62972	8.9199E-6	8.9109E-6	5.0419E-8	5.2116E-8	2.5695E-9	-1.5931E-8	0	94076	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	250	250	250	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
E12_NRM_21_02_23_smallsrm_EB	39788	6.0	21/02/20 2351	21/02/20 2255	1.00	6.00	-41.93	-41.93	-41.93	322.04	322.04	322.04	4.7092E-6	0.00	90.00	0.00	0.00	0.00	2.7623E-6	5.7383E-1	3.1724E-6	2.7623E-6	0.0000E+0	-2.1548E-6	-8.6660E-2	-2.1600E-6	-2.1548E-6	0.0000E+0	-3.1469E-6	-1.8457E-1	-3.1536E-6	-3.1469E-6	0.0000E+0	1	4.2601E-7	1.2990E-9	-6.1962E-9	62849	1.0789E-5	1.1425E-5	5.9388E-8	6.1327E-8	-8.0511E-9	-1.7301E-8	0	93826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	300	300	300	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
E12_NRM_21_02_23_smallsrm_EB	39789	6.0	21/02/20 2351	21/02/20 2255	1.00	6.00	-45.72	-45.72	-45.72	28.77	28.77	28.77	4.0422E-6	0.00	90.00	0.00	0.00	0.00	2.4738E-6	5.6302E-1	2.1822E-6	2.4738E-6	0.0000E+0	1.3584E-6	5.8380E-2	1.3543E-6	1.3584E-6	0.0000E+0	-2.8939E-6	-1.6943E-1	-2.8979E-6	-2.8939E-6	0.0000E+0	1	-2.7573E-7	2.4354E-9	-3.4421E-9	63359	1.1516E-5	1.1104E-5	6.0842E-8	6.4478E-8	-4.4538E-9	-9.5928E-9	0	94594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	400	400	400	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
