0,  75.5,  -83.7, 1432.5450,   39.3706, 152.7169, -1423.8374, 
5,  55.0,  -82.8, 922.6946,   66.1764,  94.6202, -915.4414, 
10,  52.9,  -85.6, 669.9674,   31.2634,  41.3548, -667.9586, 
15,  61.6,  -85.5, 474.4196,   17.7698,  32.8134, -472.9498, 
20,  65.5,  -86.0, 357.2254,   10.3992,  22.7770, -356.3468, 
25,  61.0,  -84.6, 280.5669,   12.8725,  23.2662, -279.3041, 
30,  70.5,  -85.6, 225.6338,    5.7767,  16.3078, -224.9696, 
35,  39.8,  -85.9, 191.1555,   10.4651,   8.7228, -190.6694, 
40,  65.6,  -87.0, 166.8418,    3.6661,   8.0687, -166.6063, 
65,  41.0,  -83.1, 117.8319,   10.7234,   9.3329, -116.9712, 
80,  71.0,  -86.7, 104.7140,    1.9457,   5.6393, -104.5439, 
100,  54.9,  -86.5,  94.7339,    3.2978,   4.6994, -94.5597, 
