Sample ID	Run #	Position	Sample Timestamp	Tray Timestamp	Volume	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift	MM drift time	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Bkg #1 time	Bkg #2 time	MS mean	MS corr	MS std dev	# MS averaged	MS drift	MS drift time	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	IRM Gauss	Temp C	Offline Comment	Meas. type	Data type	Orientation	Leader length	Trailer length	Settling time	Drift corrected	Tray corrected	X calib	Y calib	Z calib	X responce	Y responce	Z responce	X filter	Y filter	Z filter	X range	Y range	Z range	X slew	Y slew	Z slew	X feedback	Y feedback	Z feedback
E9_ARM_21_02_23_smallsrm_EB	39792	NA	21/02/20 1245	21/02/20 2255	1.00	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E9_ARM_21_02_23_smallsrm_EB	39794	3.0	21/02/20 1250	21/02/20 2255	1.00	3.00	-87.81	-87.81	-87.81	174.11	174.11	174.11	2.2842E-4	0.00	90.00	0.00	0.00	0.00	-8.6690E-6	-3.5719E-1	-8.7033E-6	-8.6690E-6	0.0000E+0	8.9395E-7	3.8430E-2	9.0997E-7	8.9395E-7	0.0000E+0	-2.2826E-4	-1.3327E+1	-2.2823E-4	-2.2826E-4	0.0000E+0	1	-4.3525E-8	-3.1038E-9	3.3653E-8	34185	1.2895E-8	-1.0608E-7	2.1574E-8	1.3090E-8	-6.3552E-8	2.8436E-8	0	93443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
E9_ARM_21_02_23_smallsrm_EB	39795	3.0	21/02/20 1250	21/02/20 2255	1.00	3.00	-88.22	-88.22	-88.22	172.68	172.68	172.68	2.1573E-4	0.00	90.00	0.00	0.00	0.00	-6.6437E-6	-7.8595E-1	-6.6170E-6	-6.6437E-6	0.0000E+0	8.5397E-7	3.4370E-2	8.7070E-7	8.5397E-7	0.0000E+0	-2.1563E-4	-1.2590E+1	-2.1561E-4	-2.1563E-4	0.0000E+0	1	1.7440E-8	-2.3935E-9	2.9381E-8	34172	-1.2505E-5	-1.2457E-5	-3.7572E-8	-4.4117E-8	-5.5330E-8	2.5010E-8	0	93439	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	25	25	25	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
E9_ARM_21_02_23_smallsrm_EB	39796	3.0	21/02/20 1250	21/02/20 2255	1.00	3.00	-88.15	-88.15	-88.15	185.34	185.34	185.34	2.0271E-4	0.00	90.00	0.00	0.00	0.00	-6.5271E-6	9.9700E-2	-6.3956E-6	-6.5271E-6	0.0000E+0	-6.1058E-7	-2.6430E-2	-5.9703E-7	-6.1058E-7	0.0000E+0	-2.0260E-4	-1.1829E+1	-2.0259E-4	-2.0260E-4	0.0000E+0	1	1.2226E-7	-5.5769E-9	2.3584E-8	34170	8.8213E-6	9.1561E-6	-4.3632E-8	-5.8903E-8	-3.8885E-8	2.5695E-8	0	93568	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	50	50	50	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
E9_ARM_21_02_23_smallsrm_EB	39797	3.0	21/02/20 1250	21/02/20 2255	1.00	3.00	-89.03	-89.03	-89.03	238.56	238.56	238.56	1.7470E-4	0.00	90.00	0.00	0.00	0.00	-1.5497E-6	-3.0845E-1	-1.5442E-6	-1.5497E-6	0.0000E+0	-2.5353E-6	-1.0278E-1	-2.5210E-6	-2.5353E-6	0.0000E+0	-1.7467E-4	-1.0197E+1	-1.7466E-4	-1.7467E-4	0.0000E+0	1	-3.7371E-9	-4.7871E-9	2.1049E-8	34174	-5.9604E-6	-5.9706E-6	2.9573E-8	1.6483E-8	-2.0213E-8	3.7343E-8	0	93444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	100	100	100	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
E9_ARM_21_02_23_smallsrm_EB	39798	3.0	21/02/20 1250	21/02/20 2255	1.00	3.00	-86.98	-86.98	-86.98	281.94	281.94	281.94	1.4402E-4	0.00	90.00	0.00	0.00	0.00	1.5685E-6	6.9326E-1	6.9049E-6	1.5685E-6	0.0000E+0	-7.4186E-6	-3.0409E-1	-7.4713E-6	-7.4186E-6	0.0000E+0	-1.4382E-4	-8.3951E+0	-1.4381E-4	-1.4382E-4	0.0000E+0	1	5.3272E-6	-7.1790E-8	1.6599E-8	34177	9.9622E-6	2.4586E-5	1.0011E-7	-9.6960E-8	0.0000E+0	4.5566E-8	0	93820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	150	150	150	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
E9_ARM_21_02_23_smallsrm_EB	39799	3.0	21/02/20 1250	21/02/20 2255	1.00	3.00	-83.52	-83.52	-83.52	327.80	327.80	327.80	1.2036E-4	0.00	90.00	0.00	0.00	0.00	1.1494E-5	3.8141E-1	6.3392E-6	1.1494E-5	0.0000E+0	-7.2376E-6	-2.9765E-1	-7.2439E-6	-7.2376E-6	0.0000E+0	-1.1959E-4	-6.9804E+0	-1.1959E-4	-1.1959E-4	0.0000E+0	1	-5.1640E-6	-2.5401E-8	1.3260E-8	34304	2.9405E-6	-1.1203E-5	2.8846E-8	-4.0723E-8	1.3533E-8	4.9848E-8	0	93951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	200	200	200	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
E9_ARM_21_02_23_smallsrm_EB	39800	3.0	21/02/20 1250	21/02/20 2255	1.00	3.00	-83.59	-83.59	-83.59	359.77	359.77	359.77	1.0005E-4	0.00	90.00	0.00	0.00	0.00	1.1168E-5	8.8195E-1	1.8784E-5	1.1168E-5	0.0000E+0	-4.4719E-8	-2.9600E-3	6.3024E-9	-4.4719E-8	0.0000E+0	-9.9425E-5	-5.8030E+0	-9.9424E-5	-9.9425E-5	0.0000E+0	1	7.6069E-6	3.1896E-8	9.4543E-9	34434	2.6739E-6	2.3486E-5	-7.8053E-8	9.2112E-9	1.8329E-8	4.4195E-8	0	94209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	250	250	250	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
E9_ARM_21_02_23_smallsrm_EB	39801	3.0	21/02/20 1250	21/02/20 2255	1.00	3.00	-85.58	-85.58	-85.58	212.77	212.77	212.77	7.5220E-5	0.00	90.00	0.00	0.00	0.00	-4.8716E-6	-8.3748E-1	-8.8532E-6	-4.8716E-6	0.0000E+0	-3.1357E-6	-1.2659E-1	-3.1337E-6	-3.1357E-6	0.0000E+0	-7.4996E-5	-4.3759E+0	-7.5000E-5	-7.4996E-5	0.0000E+0	1	-3.9908E-6	-1.7181E-8	4.8190E-9	34558	-1.1523E-5	-2.2446E-5	6.5206E-8	1.8180E-8	4.0084E-8	5.3274E-8	0	94588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	300	300	300	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
E9_ARM_21_02_23_smallsrm_EB	39802	3.0	21/02/20 1250	21/02/20 2255	1.00	3.00	-79.36	-79.36	-79.36	291.49	291.49	291.49	5.8194E-5	0.00	90.00	0.00	0.00	0.00	3.9358E-6	-2.3623E-1	4.1884E-6	3.9358E-6	0.0000E+0	-9.9983E-6	-4.0563E-1	-1.0020E-5	-9.9983E-6	0.0000E+0	-5.7194E-5	-3.3367E+0	-5.7198E-5	-5.7194E-5	0.0000E+0	1	2.4340E-7	-4.0476E-8	3.9432E-9	34563	-9.9359E-6	-9.2697E-6	1.8713E-7	7.6356E-8	4.0769E-8	5.1561E-8	0	94594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	400	400	400	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
