Sample ID	Run #	Position	Sample Timestamp	Tray Timestamp	Volume	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift	MM drift time	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Bkg #1 time	Bkg #2 time	MS mean	MS corr	MS std dev	# MS averaged	MS drift	MS drift time	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	IRM Gauss	Temp C	Offline Comment	Meas. type	Data type	Orientation	Leader length	Trailer length	Settling time	Drift corrected	Tray corrected	X calib	Y calib	Z calib	X responce	Y responce	Z responce	X filter	Y filter	Z filter	X range	Y range	Z range	X slew	Y slew	Z slew	X feedback	Y feedback	Z feedback
F4_NRM_21_02_23_smallsrm_EB	39837	2.0	21/02/20 1626	21/02/20 2255	1.00	2.00	-58.60	-58.60	-58.60	347.35	347.35	347.35	9.7715E-5	0.00	90.00	0.00	0.00	0.00	4.9678E-5	2.1317E+0	5.1753E-5	4.9678E-5	0.0000E+0	-1.1152E-5	-4.6054E-1	-1.1168E-5	-1.1152E-5	0.0000E+0	-8.3402E-5	-4.8680E+0	-8.3402E-5	-8.3402E-5	0.0000E+0	1	2.0839E-6	-2.0150E-8	-5.4247E-10	24963	1.0997E-7	8.0068E-6	4.3632E-9	-7.1993E-8	1.2847E-8	1.0792E-8	0	94594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
F4_NRM_21_02_23_smallsrm_EB	39838	2.0	21/02/20 1626	21/02/20 2255	1.00	2.00	-64.22	-64.22	-64.22	343.88	343.88	343.88	8.9549E-5	0.00	90.00	0.00	0.00	0.00	3.7417E-5	1.9709E+0	3.5525E-5	3.7417E-5	0.0000E+0	-1.0813E-5	-4.4498E-1	-1.0847E-5	-1.0813E-5	0.0000E+0	-8.0636E-5	-4.7065E+0	-8.0636E-5	-8.0636E-5	0.0000E+0	1	-1.8824E-6	-3.8006E-8	-8.1252E-10	24960	1.2426E-5	5.2823E-6	6.0600E-8	-8.3628E-8	1.4047E-8	1.0963E-8	0	94720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	25	25	25	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
F4_NRM_21_02_23_smallsrm_EB	39839	2.0	21/02/20 1626	21/02/20 2255	1.00	2.00	-55.09	-55.09	-55.09	349.30	349.30	349.30	9.0367E-5	0.00	90.00	0.00	0.00	0.00	5.0821E-5	1.7011E+0	5.5563E-5	5.0821E-5	0.0000E+0	-9.6072E-6	-3.9560E-1	-9.6400E-6	-9.6072E-6	0.0000E+0	-7.4103E-5	-4.3253E+0	-7.4101E-5	-7.4103E-5	0.0000E+0	1	4.7512E-6	-3.6687E-8	1.8099E-10	24959	-1.4175E-5	3.8125E-6	5.0662E-8	-8.8234E-8	9.4215E-9	1.0107E-8	0	94493	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	50	50	50	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
F4_NRM_21_02_23_smallsrm_EB	39840	2.0	21/02/20 1626	21/02/20 2255	1.00	2.00	-62.47	-62.47	-62.47	345.75	345.75	345.75	7.1412E-5	0.00	90.00	0.00	0.00	0.00	3.1994E-5	1.3469E+0	3.2147E-5	3.1994E-5	0.0000E+0	-8.1264E-6	-3.4351E-1	-8.1243E-6	-8.1264E-6	0.0000E+0	-6.3325E-5	-3.6957E+0	-6.3325E-5	-6.3325E-5	0.0000E+0	1	1.6207E-7	-1.7963E-9	-1.2694E-9	24830	6.2285E-7	1.2352E-6	-2.0240E-7	-2.0919E-7	1.7644E-8	1.2847E-8	0	93821	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	100	100	100	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
F4_NRM_21_02_23_smallsrm_EB	39841	2.0	21/02/20 1626	21/02/20 2255	1.00	2.00	-60.31	-60.31	-60.31	346.31	346.31	346.31	6.4030E-5	0.00	90.00	0.00	0.00	0.00	3.0819E-5	1.6448E+0	2.7651E-5	3.0819E-5	0.0000E+0	-7.5045E-6	-3.1197E-1	-7.5549E-6	-7.5045E-6	0.0000E+0	-5.5622E-5	-3.2462E+0	-5.5622E-5	-5.5622E-5	0.0000E+0	1	-3.1592E-6	-5.4320E-8	-9.4951E-10	24833	1.2367E-5	3.9804E-7	-7.2720E-9	-2.1307E-7	1.3533E-8	9.9354E-9	0	94082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	150	150	150	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
F4_NRM_21_02_23_smallsrm_EB	39842	2.0	21/02/20 1626	21/02/20 2255	1.00	2.00	-57.87	-57.87	-57.87	346.00	346.00	346.00	5.6986E-5	0.00	90.00	0.00	0.00	0.00	2.9409E-5	6.9672E-1	2.3082E-5	2.9409E-5	0.0000E+0	-7.3347E-6	-2.9667E-1	-7.3135E-6	-7.3347E-6	0.0000E+0	-4.8256E-5	-2.8168E+0	-4.8255E-5	-4.8256E-5	0.0000E+0	1	-6.3187E-6	1.7312E-8	4.0630E-10	24728	-6.1307E-6	-3.0107E-5	1.2217E-7	1.8786E-7	3.0834E-9	4.6251E-9	0	93830	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	200	200	200	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
F4_NRM_21_02_23_smallsrm_EB	39843	2.0	21/02/20 1626	21/02/20 2255	1.00	2.00	-48.52	-48.52	-48.52	350.16	350.16	350.16	5.4237E-5	0.00	90.00	0.00	0.00	0.00	3.5396E-5	1.1972E+0	3.5881E-5	3.5396E-5	0.0000E+0	-6.1398E-6	-2.4805E-1	-6.1373E-6	-6.1398E-6	0.0000E+0	-4.0633E-5	-2.3716E+0	-4.0635E-5	-4.0633E-5	0.0000E+0	1	4.9354E-7	-1.4722E-9	-2.3974E-9	24707	-6.7535E-6	-4.8845E-6	1.2459E-7	1.1902E-7	1.0107E-8	1.0278E-9	0	93566	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	250	250	250	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
F4_NRM_21_02_23_smallsrm_EB	39844	2.0	21/02/20 1626	21/02/20 2255	1.00	2.00	-35.50	-35.50	-35.50	353.81	353.81	353.81	5.5180E-5	0.00	90.00	0.00	0.00	0.00	4.4661E-5	2.5960E+0	6.6693E-5	4.4661E-5	0.0000E+0	-4.8453E-6	-1.8434E-1	-4.8116E-6	-4.8453E-6	0.0000E+0	-3.2042E-5	-1.8704E+0	-3.2043E-5	-3.2042E-5	0.0000E+0	1	2.2040E-5	2.9735E-8	-2.0379E-9	24703	-3.5322E-6	7.9834E-5	3.4324E-7	4.5571E-7	2.7408E-9	-4.9677E-9	0	93439	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	300	300	300	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
F4_NRM_21_02_23_smallsrm_EB	39845	2.0	21/02/20 1626	21/02/20 2255	1.00	2.00	-38.15	-38.15	-38.15	354.79	354.79	354.79	3.2970E-5	0.00	90.00	0.00	0.00	0.00	2.5820E-5	8.9129E-1	2.0855E-5	2.5820E-5	0.0000E+0	-2.3543E-6	-7.3160E-2	-2.3578E-6	-2.3543E-6	0.0000E+0	-2.0367E-5	-1.1888E+0	-2.0370E-5	-2.0367E-5	0.0000E+0	1	-4.9559E-6	-7.4780E-9	-3.6134E-9	24706	8.2965E-7	-1.7966E-5	5.8443E-7	5.5607E-7	5.4816E-9	-8.2224E-9	0	93699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	400	400	400	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
F4_NRM_21_02_23_smallsrm_EB	39846	2.0	21/02/20 1626	21/02/20 2255	1.00	2.00	-38.66	-38.66	-38.66	353.43	353.43	353.43	1.9467E-5	0.00	90.00	0.00	0.00	0.00	1.5102E-5	8.9654E-1	1.4228E-5	1.5102E-5	0.0000E+0	-1.7399E-6	-5.2070E-2	-1.7319E-6	-1.7399E-6	0.0000E+0	-1.2161E-5	-7.0945E-1	-1.2163E-5	-1.2161E-5	0.0000E+0	1	-8.6464E-7	3.9828E-9	-3.4047E-9	24831	7.5844E-6	4.3217E-6	4.6977E-7	4.8480E-7	1.0449E-8	-2.3982E-9	0	93698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	500	500	500	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
