Sample ID	Run #	Position	Sample Timestamp	Tray Timestamp	Volume	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift	MM drift time	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Bkg #1 time	Bkg #2 time	MS mean	MS corr	MS std dev	# MS averaged	MS drift	MS drift time	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	IRM Gauss	Temp C	Offline Comment	Meas. type	Data type	Orientation	Leader length	Trailer length	Settling time	Drift corrected	Tray corrected	X calib	Y calib	Z calib	X responce	Y responce	Z responce	X filter	Y filter	Z filter	X range	Y range	Z range	X slew	Y slew	Z slew	X feedback	Y feedback	Z feedback
F7_ARM_23_02_23_smallsrm_EB	39965	NA	23/02/20 2233	23/02/20 2215	1.00	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F7_ARM_23_02_23_smallsrm_EB	39967	4.0	23/02/20 2236	23/02/20 2215	1.00	4.00	-89.00	-89.00	-89.00	122.56	122.56	122.56	5.6691E-4	0.00	90.00	0.00	0.00	0.00	-5.3116E-6	-2.5024E-1	-6.1197E-6	-5.3116E-6	0.0000E+0	8.3180E-6	3.3927E-1	8.2241E-6	8.3180E-6	0.0000E+0	-5.6682E-4	-3.3092E+1	-5.6681E-4	-5.6682E-4	0.0000E+0	1	-1.5800E-7	1.2335E-8	4.1747E-8	44163	3.1386E-8	-3.0704E-7	-2.4240E-10	2.6179E-8	-6.3552E-8	2.5866E-8	0	94594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
F7_ARM_23_02_23_smallsrm_EB	39968	4.0	23/02/20 2236	23/02/20 2215	1.00	4.00	-89.17	-89.17	-89.17	97.42	97.42	97.42	5.5187E-4	0.00	90.00	0.00	0.00	0.00	-1.0359E-6	-2.4223E-1	-2.6739E-6	-1.0359E-6	0.0000E+0	7.9597E-6	3.2352E-1	7.8630E-6	7.9597E-6	0.0000E+0	-5.5181E-4	-3.2215E+1	-5.5180E-4	-5.5181E-4	0.0000E+0	1	-9.8779E-7	9.5052E-9	3.8784E-8	44159	-3.2196E-6	-5.3356E-6	-2.0846E-8	-4.8480E-10	-5.4987E-8	2.8093E-8	0	94595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	25	25	25	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
F7_ARM_23_02_23_smallsrm_EB	39969	4.0	23/02/20 2236	23/02/20 2215	1.00	4.00	-87.67	-87.67	-87.67	74.44	74.44	74.44	5.1974E-4	0.00	90.00	0.00	0.00	0.00	5.6802E-6	1.5200E-3	1.7951E-6	5.6802E-6	0.0000E+0	2.0398E-5	1.3036E+0	3.1573E-5	2.0398E-5	0.0000E+0	-5.1931E-4	-3.0318E+1	-5.1930E-4	-5.1931E-4	0.0000E+0	1	-3.2350E-6	1.1281E-5	3.3506E-8	44156	-1.7581E-6	-8.6880E-6	2.6906E-8	2.4192E-5	-4.5566E-8	2.6209E-8	0	94589	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	50	50	50	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
F7_ARM_23_02_23_smallsrm_EB	39970	4.0	23/02/20 2236	23/02/20 2215	1.00	4.00	-87.75	-87.75	-87.75	155.71	155.71	155.71	4.5727E-4	0.00	90.00	0.00	0.00	0.00	-1.6389E-5	5.5740E-1	7.1944E-6	-1.6389E-5	0.0000E+0	7.3978E-6	2.9859E-1	7.2771E-6	7.3978E-6	0.0000E+0	-4.5691E-4	-2.6675E+1	-4.5692E-4	-4.5691E-4	0.0000E+0	1	2.4233E-5	-1.4468E-8	2.3164E-8	44287	6.3672E-6	5.8337E-5	-3.9269E-8	-7.0296E-8	-1.9528E-8	3.0149E-8	0	94977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	100	100	100	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
F7_ARM_23_02_23_smallsrm_EB	39971	4.0	23/02/20 2236	23/02/20 2215	1.00	4.00	-88.84	-88.84	-88.84	68.18	68.18	68.18	3.9886E-4	0.00	90.00	0.00	0.00	0.00	3.0139E-6	-1.2644E-1	-5.1799E-7	3.0139E-6	0.0000E+0	7.5281E-6	3.0140E-1	7.3881E-6	7.5281E-6	0.0000E+0	-3.9877E-4	-2.3280E+1	-3.9878E-4	-3.9877E-4	0.0000E+0	1	-2.8817E-6	-3.3759E-8	2.2022E-8	44418	-2.5583E-6	-8.7452E-6	-8.2174E-8	-1.5465E-7	-9.4215E-9	3.7857E-8	0	95362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	150	150	150	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
F7_ARM_23_02_23_smallsrm_EB	39972	4.0	23/02/20 2236	23/02/20 2215	1.00	4.00	-87.01	-87.01	-87.01	22.79	22.79	22.79	3.4180E-4	0.00	90.00	0.00	0.00	0.00	1.6436E-5	1.5590E+0	2.8114E-5	1.6436E-5	0.0000E+0	6.9054E-6	2.7424E-1	6.7804E-6	6.9054E-6	0.0000E+0	-3.4134E-4	-1.9926E+1	-3.4135E-4	-3.4134E-4	0.0000E+0	1	1.2329E-5	-1.8763E-8	1.4777E-8	44287	9.8164E-6	3.6256E-5	-1.3284E-7	-1.7307E-7	1.3019E-8	4.4709E-8	0	94976	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	200	200	200	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
F7_ARM_23_02_23_smallsrm_EB	39973	4.0	23/02/20 2236	23/02/20 2215	1.00	4.00	-88.47	-88.47	-88.47	54.10	54.10	54.10	2.8576E-4	0.00	90.00	0.00	0.00	0.00	4.4692E-6	-8.2580E-2	3.2736E-6	4.4692E-6	0.0000E+0	6.1741E-6	2.4466E-1	6.0610E-6	6.1741E-6	0.0000E+0	-2.8566E-4	-1.6676E+1	-2.8567E-4	-2.8566E-4	0.0000E+0	1	-5.4540E-7	-6.8969E-9	1.4782E-8	44538	-5.2828E-6	-6.4521E-6	-1.3041E-7	-1.4520E-7	1.3704E-8	4.5395E-8	0	95486	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	250	250	250	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
F7_ARM_23_02_23_smallsrm_EB	39974	4.0	23/02/20 2236	23/02/20 2215	1.00	4.00	-88.62	-88.62	-88.62	68.36	68.36	68.36	2.3158E-4	0.00	90.00	0.00	0.00	0.00	2.0621E-6	1.1576E-1	4.9049E-7	2.0621E-6	0.0000E+0	5.1965E-6	2.0784E-1	5.0330E-6	5.1965E-6	0.0000E+0	-2.3151E-4	-1.3515E+1	-2.3153E-4	-2.3151E-4	0.0000E+0	1	-9.2149E-7	-5.7345E-8	1.3029E-8	44676	2.3259E-6	3.5108E-7	5.0904E-9	-1.1781E-7	2.0899E-8	4.8821E-8	0	95746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	300	300	300	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
F7_ARM_23_02_23_smallsrm_EB	39975	4.0	23/02/20 2236	23/02/20 2215	1.00	4.00	-87.62	-87.62	-87.62	146.66	146.66	146.66	1.5635E-4	0.00	90.00	0.00	0.00	0.00	-5.4255E-6	-1.0628E+0	-1.2676E-5	-5.4255E-6	0.0000E+0	3.5695E-6	1.4410E-1	3.4123E-6	3.5695E-6	0.0000E+0	-1.5621E-4	-9.1182E+0	-1.5624E-4	-1.5621E-4	0.0000E+0	1	-6.6005E-6	-5.0976E-8	4.6535E-9	44544	-1.3182E-5	-2.7275E-5	8.0719E-8	-2.8118E-8	4.1626E-8	5.1561E-8	0	95104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	400	400	400	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
