Sample ID	Run #	Position	Sample Timestamp	Tray Timestamp	Volume	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift	MM drift time	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Bkg #1 time	Bkg #2 time	MS mean	MS corr	MS std dev	# MS averaged	MS drift	MS drift time	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	IRM Gauss	Temp C	Offline Comment	Meas. type	Data type	Orientation	Leader length	Trailer length	Settling time	Drift corrected	Tray corrected	X calib	Y calib	Z calib	X responce	Y responce	Z responce	X filter	Y filter	Z filter	X range	Y range	Z range	X slew	Y slew	Z slew	X feedback	Y feedback	Z feedback
G6_ARM_23_02_23_smallsrm_EB	40066	NA	23/02/20 1744	23/02/20 2215	1.00	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G6_ARM_23_02_23_smallsrm_EB	40068	5.0	23/02/20 1749	23/02/20 2215	1.00	5.00	-88.57	-88.57	-88.57	142.58	142.58	142.58	5.7973E-4	0.00	90.00	0.00	0.00	0.00	-1.1490E-5	-5.7313E-1	-1.3972E-5	-1.1490E-5	0.0000E+0	8.7918E-6	3.5901E-1	8.7031E-6	8.7918E-6	0.0000E+0	-5.7955E-4	-3.3834E+1	-5.7951E-4	-5.7955E-4	0.0000E+0	1	-1.9691E-6	-7.4258E-9	4.6841E-8	53509	2.7979E-8	-3.4429E-6	-7.2720E-10	-1.3817E-8	-6.7150E-8	1.5417E-8	0	94321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
G6_ARM_23_02_23_smallsrm_EB	40069	5.0	23/02/20 1749	23/02/20 2215	1.00	5.00	-89.19	-89.19	-89.19	98.56	98.56	98.56	5.6694E-4	0.00	90.00	0.00	0.00	0.00	-1.1935E-6	-4.6261E-1	-1.8203E-5	-1.1935E-6	0.0000E+0	7.9300E-6	3.2026E-1	7.8361E-6	7.9300E-6	0.0000E+0	-5.6688E-4	-3.3094E+1	-5.6685E-4	-5.6688E-4	0.0000E+0	1	-1.6497E-5	-1.2773E-8	4.1251E-8	53378	6.9477E-6	-2.2167E-5	-7.2962E-8	-9.5506E-8	-5.5330E-8	1.7473E-8	0	94206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	25	25	25	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
G6_ARM_23_02_23_smallsrm_EB	40070	5.0	23/02/20 1749	23/02/20 2215	1.00	5.00	-89.15	-89.15	-89.15	110.60	110.60	110.60	5.3319E-4	0.00	90.00	0.00	0.00	0.00	-2.7842E-6	7.2892E-1	1.3200E-5	-2.7842E-6	0.0000E+0	7.4084E-6	2.9457E-1	7.3377E-6	7.4084E-6	0.0000E+0	-5.3313E-4	-3.1124E+1	-5.3311E-4	-5.3313E-4	0.0000E+0	1	1.6496E-5	1.0470E-8	3.7481E-8	53756	4.5351E-6	3.3562E-5	-1.9731E-7	-1.7889E-7	-4.6936E-8	1.9014E-8	0	94587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	50	50	50	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
G6_ARM_23_02_23_smallsrm_EB	40071	5.0	23/02/20 1749	23/02/20 2215	1.00	5.00	-88.93	-88.93	-88.93	125.36	125.36	125.36	4.6976E-4	0.00	90.00	0.00	0.00	0.00	-5.0860E-6	-6.7570E-1	-2.2231E-5	-5.0860E-6	0.0000E+0	7.1676E-6	2.8759E-1	7.0757E-6	7.1676E-6	0.0000E+0	-4.6968E-4	-2.7418E+1	-4.6965E-4	-4.6968E-4	0.0000E+0	1	-1.6633E-5	-1.0745E-8	3.4365E-8	53757	5.7915E-6	-2.3475E-5	-1.0447E-7	-1.2338E-7	-2.4325E-8	3.6144E-8	0	94591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	100	100	100	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
G6_ARM_23_02_23_smallsrm_EB	40072	5.0	23/02/20 1749	23/02/20 2215	1.00	5.00	-88.75	-88.75	-88.75	134.06	134.06	134.06	4.1470E-4	0.00	90.00	0.00	0.00	0.00	-6.2984E-6	1.0660E+0	2.0836E-5	-6.2984E-6	0.0000E+0	6.5080E-6	2.5652E-1	6.4253E-6	6.5080E-6	0.0000E+0	-4.1460E-4	-2.4202E+1	-4.1458E-4	-4.1460E-4	0.0000E+0	1	2.7647E-5	-1.5154E-9	3.0958E-8	53756	5.0998E-6	5.3747E-5	-2.0725E-7	-2.0992E-7	-8.0511E-9	4.6422E-8	0	94588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	150	150	150	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
G6_ARM_23_02_23_smallsrm_EB	40073	5.0	23/02/20 1749	23/02/20 2215	1.00	5.00	-86.94	-86.94	-86.94	160.40	160.40	160.40	3.5771E-4	0.00	90.00	0.00	0.00	0.00	-1.8011E-5	-5.5169E-1	-9.9167E-6	-1.8011E-5	0.0000E+0	6.4122E-6	2.4854E-1	6.3582E-6	6.4122E-6	0.0000E+0	-3.5719E-4	-2.0851E+1	-3.5717E-4	-3.5719E-4	0.0000E+0	1	8.6068E-6	2.7140E-8	3.4952E-8	53763	-3.5060E-6	1.1638E-5	-3.3354E-7	-2.8579E-7	-6.8520E-10	6.0812E-8	0	94595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	200	200	200	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
G6_ARM_23_02_23_smallsrm_EB	40074	5.0	23/02/20 1749	23/02/20 2215	1.00	5.00	-86.15	-86.15	-86.15	15.72	15.72	15.72	3.0117E-4	0.00	90.00	0.00	0.00	0.00	1.9461E-5	3.5297E-1	1.2012E-5	1.9461E-5	0.0000E+0	5.4760E-6	2.0926E-1	5.4285E-6	5.4760E-6	0.0000E+0	-3.0049E-4	-1.7540E+1	-3.0049E-4	-3.0049E-4	0.0000E+0	1	-6.9362E-6	3.3751E-8	1.4116E-8	53760	-3.4242E-6	-1.5629E-5	-3.5609E-7	-2.9670E-7	2.1413E-8	4.6251E-8	0	94596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	250	250	250	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
G6_ARM_23_02_23_smallsrm_EB	40075	5.0	23/02/20 1749	23/02/20 2215	1.00	5.00	-85.42	-85.42	-85.42	167.79	167.79	167.79	2.4659E-4	0.00	90.00	0.00	0.00	0.00	-1.9251E-5	8.9343E-1	2.2867E-5	-1.9251E-5	0.0000E+0	4.1654E-6	1.5372E-1	4.1533E-6	4.1654E-6	0.0000E+0	-2.4580E-4	-1.4347E+1	-2.4579E-4	-2.4580E-4	0.0000E+0	1	4.2630E-5	6.9070E-8	1.7084E-8	54272	-1.1294E-6	7.3675E-5	-4.2711E-7	-3.0591E-7	1.9528E-8	4.9506E-8	0	95233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	300	300	300	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
G6_ARM_23_02_23_smallsrm_EB	40076	5.0	23/02/20 1749	23/02/20 2215	1.00	5.00	-84.26	-84.26	-84.26	5.41	5.41	5.41	1.6901E-4	0.00	90.00	0.00	0.00	0.00	1.6835E-5	2.5285E-1	-9.8658E-7	1.6835E-5	0.0000E+0	1.5941E-6	4.7680E-2	1.5438E-6	1.5941E-6	0.0000E+0	-1.6817E-4	-9.8152E+0	-1.6817E-4	-1.6817E-4	0.0000E+0	1	-1.7309E-5	3.0948E-8	8.0678E-9	53893	7.1384E-6	-2.3365E-5	-3.8808E-7	-3.3354E-7	3.4260E-8	4.8478E-8	0	94976	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	400	400	400	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
