Sample ID	Run #	Position	Sample Timestamp	Tray Timestamp	Volume	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift	MM drift time	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Bkg #1 time	Bkg #2 time	MS mean	MS corr	MS std dev	# MS averaged	MS drift	MS drift time	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	IRM Gauss	Temp C	Offline Comment	Meas. type	Data type	Orientation	Leader length	Trailer length	Settling time	Drift corrected	Tray corrected	X calib	Y calib	Z calib	X responce	Y responce	Z responce	X filter	Y filter	Z filter	X range	Y range	Z range	X slew	Y slew	Z slew	X feedback	Y feedback	Z feedback
G6_NRM_23_02_23_smallsrm_EB	40048	5.0	23/02/20 1632	23/02/20 2215	1.00	5.00	-63.57	-63.57	-63.57	208.75	208.75	208.75	6.7460E-5	0.00	90.00	0.00	0.00	0.00	-2.6324E-5	-1.2003E+0	-2.9106E-5	-2.6324E-5	0.0000E+0	-1.4439E-5	-5.9939E-1	-1.4532E-5	-1.4439E-5	0.0000E+0	-6.0410E-5	-3.5270E+0	-6.0424E-5	-6.0410E-5	0.0000E+0	1	-2.2692E-6	-1.1591E-8	-3.2179E-9	53267	-9.7807E-8	-4.0840E-6	2.9088E-9	-1.7453E-8	6.3381E-9	6.8520E-10	0	93574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
G6_NRM_23_02_23_smallsrm_EB	40049	5.0	23/02/20 1632	23/02/20 2215	1.00	5.00	-70.19	-70.19	-70.19	188.52	188.52	188.52	6.1143E-5	0.00	90.00	0.00	0.00	0.00	-2.0493E-5	-1.1158E+0	-1.5488E-5	-2.0493E-5	0.0000E+0	-3.0701E-6	4.4074E-1	1.0624E-5	-3.0701E-6	0.0000E+0	-5.7524E-5	-3.3584E+0	-5.7533E-5	-5.7524E-5	0.0000E+0	1	5.5171E-6	1.3775E-5	3.0133E-9	53380	-1.1660E-5	-1.9369E-6	5.9388E-8	2.4336E-5	2.7408E-9	8.0511E-9	0	94071	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	25	25	25	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
G6_NRM_23_02_23_smallsrm_EB	40050	5.0	23/02/20 1632	23/02/20 2215	1.00	5.00	-62.77	-62.77	-62.77	206.31	206.31	206.31	6.0696E-5	0.00	90.00	0.00	0.00	0.00	-2.4897E-5	-3.1863E-1	-1.4321E-5	-2.4897E-5	0.0000E+0	-1.2313E-5	-5.0622E-1	-1.2407E-5	-1.2313E-5	0.0000E+0	-5.3969E-5	-3.1511E+0	-5.3984E-5	-5.3969E-5	0.0000E+0	1	1.1089E-5	-1.2816E-8	-4.3823E-9	53120	6.5686E-6	2.6074E-5	1.3599E-7	1.1344E-7	5.1390E-9	-2.5695E-9	0	93438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	50	50	50	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
G6_NRM_23_02_23_smallsrm_EB	40051	5.0	23/02/20 1632	23/02/20 2215	1.00	5.00	-47.09	-47.09	-47.09	194.55	194.55	194.55	6.2040E-5	0.00	90.00	0.00	0.00	0.00	-4.0888E-5	-1.4279E+0	-4.1937E-5	-4.0888E-5	0.0000E+0	-1.0614E-5	-4.3550E-1	-1.0698E-5	-1.0614E-5	0.0000E+0	-4.5436E-5	-2.6531E+0	-4.5451E-5	-4.5436E-5	0.0000E+0	1	-5.3567E-7	-2.3426E-9	-3.3109E-9	53117	7.1966E-6	6.2543E-6	1.4132E-7	1.3720E-7	3.7686E-9	-2.0556E-9	0	93438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	100	100	100	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
G6_NRM_23_02_23_smallsrm_EB	40053	5.0	23/02/20 1648	23/02/20 2215	1.00	5.00	-65.47	-65.47	-65.47	210.80	210.80	210.80	4.9900E-5	0.00	90.00	0.00	0.00	0.00	-1.7797E-5	-1.4913E-1	-3.6427E-6	-1.7797E-5	0.0000E+0	-1.0610E-5	-4.4089E-1	-1.0688E-5	-1.0610E-5	0.0000E+0	-4.5395E-5	-2.6508E+0	-4.5409E-5	-4.5395E-5	0.0000E+0	1	1.4667E-5	3.4456E-9	-3.1167E-9	53130	1.4355E-8	2.5811E-5	7.2720E-10	6.7872E-9	5.1390E-10	-4.9677E-9	0	93443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
G6_NRM_23_02_23_smallsrm_EB	40054	5.0	23/02/20 1648	23/02/20 2215	1.00	5.00	-56.03	-56.03	-56.03	202.13	202.13	202.13	4.9253E-5	0.00	90.00	0.00	0.00	0.00	-2.5490E-5	-6.0500E-1	-2.1046E-5	-2.5490E-5	0.0000E+0	-1.0367E-5	-4.2467E-1	-1.0427E-5	-1.0367E-5	0.0000E+0	-4.0848E-5	-2.3853E+0	-4.0860E-5	-4.0848E-5	0.0000E+0	1	4.9564E-6	2.1222E-8	-5.8431E-10	53125	6.3268E-6	1.5045E-5	1.3332E-7	1.7065E-7	-1.7130E-10	-1.1991E-9	0	93446	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	150	150	150	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
G6_NRM_23_02_23_smallsrm_EB	40055	5.0	23/02/20 1648	23/02/20 2215	1.00	5.00	-44.14	-44.14	-44.14	192.98	192.98	192.98	5.2883E-5	0.00	90.00	0.00	0.00	0.00	-3.6984E-5	-1.8829E+0	-4.0230E-5	-3.6984E-5	0.0000E+0	-8.5224E-6	-3.5207E-1	-8.6108E-6	-8.5224E-6	0.0000E+0	-3.6826E-5	-2.1505E+0	-3.6837E-5	-3.6826E-5	0.0000E+0	1	-2.7332E-6	-7.1656E-9	1.9476E-10	53120	-5.5820E-6	-1.0390E-5	7.6598E-8	6.3994E-8	-6.8520E-10	-3.4260E-10	0	93442	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	200	200	200	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
G6_NRM_23_02_23_smallsrm_EB	40057	5.0	23/02/20 1702	23/02/20 2215	1.00	5.00	-58.41	-58.41	-58.41	202.07	202.07	202.07	4.3187E-5	0.00	90.00	0.00	0.00	0.00	-2.0966E-5	-1.4693E+0	-3.5754E-5	-2.0966E-5	0.0000E+0	-8.4986E-6	-3.5474E-1	-8.6018E-6	-8.4986E-6	0.0000E+0	-3.6788E-5	-2.1481E+0	-3.6800E-5	-3.6788E-5	0.0000E+0	1	-1.4276E-5	-2.1991E-8	-1.2627E-9	53129	7.0557E-9	-2.5170E-5	2.9088E-9	-3.5875E-8	3.0834E-9	8.5650E-10	0	93699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
G6_NRM_23_02_23_smallsrm_EB	40058	5.0	23/02/20 1702	23/02/20 2215	1.00	5.00	-72.74	-72.74	-72.74	158.67	158.67	158.67	3.2909E-5	0.00	90.00	0.00	0.00	0.00	-9.0930E-6	-6.3936E-1	-2.1648E-5	-9.0930E-6	0.0000E+0	3.5512E-6	7.0779E-1	1.7265E-5	3.5512E-6	0.0000E+0	-3.1428E-5	-1.8350E+0	-3.1448E-5	-3.1428E-5	0.0000E+0	1	-1.2042E-5	1.3795E-5	-8.8685E-9	53377	6.0922E-6	-1.5075E-5	-1.0787E-7	2.4139E-5	1.4218E-8	-1.3704E-9	0	93822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	250	250	250	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
G6_NRM_23_02_23_smallsrm_EB	40059	5.0	23/02/20 1702	23/02/20 2215	1.00	5.00	-70.53	-70.53	-70.53	159.88	159.88	159.88	3.5082E-5	0.00	90.00	0.00	0.00	0.00	-1.0979E-5	-1.8884E-1	-1.6221E-5	-1.0979E-5	0.0000E+0	4.0218E-6	7.2468E-1	1.7757E-5	4.0218E-6	0.0000E+0	-3.3076E-5	-2.4998E+0	-4.2832E-5	-3.3076E-5	0.0000E+0	1	-4.7285E-6	1.3817E-5	-9.7441E-6	53629	1.1626E-5	3.3091E-6	-1.9125E-7	2.4112E-5	1.0963E-8	-1.7128E-5	0	94329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	300	300	300	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
