Sample ID	Run #	Position	Sample Timestamp	Tray Timestamp	Volume	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift	MM drift time	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Bkg #1 time	Bkg #2 time	MS mean	MS corr	MS std dev	# MS averaged	MS drift	MS drift time	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	IRM Gauss	Temp C	Offline Comment	Meas. type	Data type	Orientation	Leader length	Trailer length	Settling time	Drift corrected	Tray corrected	X calib	Y calib	Z calib	X responce	Y responce	Z responce	X filter	Y filter	Z filter	X range	Y range	Z range	X slew	Y slew	Z slew	X feedback	Y feedback	Z feedback
H6_ARM_23_02_23_smallsrm_EB	39996	NA	23/02/20 1254	23/02/20 2215	1.00	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
H6_ARM_23_02_23_smallsrm_EB	39998	3.0	23/02/20 1258	23/02/20 2215	1.00	3.00	-88.90	-88.90	-88.90	166.54	166.54	166.54	8.2986E-4	0.00	90.00	0.00	0.00	0.00	-1.5556E-5	-6.9965E-1	-1.7047E-5	-1.5556E-5	0.0000E+0	3.7231E-6	1.4952E-1	3.6258E-6	3.7231E-6	0.0000E+0	-8.2970E-4	-4.8438E+1	-8.2969E-4	-8.2970E-4	0.0000E+0	1	-8.1439E-7	-3.1951E-9	2.9039E-8	34305	2.4573E-8	-2.1997E-6	-1.4544E-9	-1.0181E-8	-5.5501E-8	2.3811E-8	0	93693	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
H6_ARM_23_02_23_smallsrm_EB	39999	3.0	23/02/20 1258	23/02/20 2215	1.00	3.00	-89.17	-89.17	-89.17	164.06	164.06	164.06	8.1057E-4	0.00	90.00	0.00	0.00	0.00	-1.1332E-5	-7.9120E-1	-1.2300E-5	-1.1332E-5	0.0000E+0	3.2372E-6	1.2827E-1	3.1422E-6	3.2372E-6	0.0000E+0	-8.1048E-4	-4.7316E+1	-8.1048E-4	-8.1048E-4	0.0000E+0	1	-2.9115E-7	-8.8708E-10	2.4261E-8	34429	-6.9501E-6	-7.7457E-6	-3.2966E-8	-3.5390E-8	-4.6422E-8	1.9871E-8	0	94079	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	25	25	25	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
H6_ARM_23_02_23_smallsrm_EB	40000	3.0	23/02/20 1258	23/02/20 2215	1.00	3.00	-88.82	-88.82	-88.82	168.64	168.64	168.64	7.6362E-4	0.00	90.00	0.00	0.00	0.00	-1.5413E-5	-1.2664E+0	-1.6221E-5	-1.5413E-5	0.0000E+0	3.0977E-6	1.2134E-1	3.0053E-6	3.0977E-6	0.0000E+0	-7.6345E-4	-4.4570E+1	-7.6345E-4	-7.6345E-4	0.0000E+0	1	-1.3130E-7	1.6772E-9	2.2207E-8	34307	-1.4590E-5	-1.4950E-5	-6.3994E-8	-5.9388E-8	-3.5630E-8	2.5352E-8	0	94209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	50	50	50	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
H6_ARM_23_02_23_smallsrm_EB	40001	3.0	23/02/20 1258	23/02/20 2215	1.00	3.00	-88.73	-88.73	-88.73	169.12	169.12	169.12	6.7545E-4	0.00	90.00	0.00	0.00	0.00	-1.4714E-5	-6.4335E-1	-1.7083E-5	-1.4714E-5	0.0000E+0	2.8275E-6	1.0857E-1	2.7275E-6	2.8275E-6	0.0000E+0	-6.7529E-4	-3.9422E+1	-6.7529E-4	-6.7529E-4	0.0000E+0	1	-1.6918E-6	-5.8376E-9	1.5689E-8	34564	1.4304E-6	-3.2062E-6	-9.5748E-8	-1.1175E-7	-1.3875E-8	2.9121E-8	0	94726	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	100	100	100	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
H6_ARM_23_02_23_smallsrm_EB	40002	3.0	23/02/20 1258	23/02/20 2215	1.00	3.00	-88.75	-88.75	-88.75	166.50	166.50	166.50	5.9443E-4	0.00	90.00	0.00	0.00	0.00	-1.2598E-5	-9.1851E-1	-1.3871E-5	-1.2598E-5	0.0000E+0	3.0240E-6	1.1521E-1	2.9284E-6	3.0240E-6	0.0000E+0	-5.9429E-4	-3.4693E+1	-5.9430E-4	-5.9429E-4	0.0000E+0	1	-5.9593E-7	-1.4170E-9	9.9512E-9	34561	-8.4763E-6	-1.0107E-5	-1.3574E-7	-1.3962E-7	2.3982E-9	2.9635E-8	0	94594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	150	150	150	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
H6_ARM_23_02_23_smallsrm_EB	40003	3.0	23/02/20 1258	23/02/20 2215	1.00	3.00	-88.96	-88.96	-88.96	164.97	164.97	164.97	5.1293E-4	0.00	90.00	0.00	0.00	0.00	-8.9900E-6	-2.4564E-1	-9.1357E-6	-8.9900E-6	0.0000E+0	2.4142E-6	8.8150E-2	2.3232E-6	2.4142E-6	0.0000E+0	-5.1285E-4	-2.9938E+1	-5.1286E-4	-5.1285E-4	0.0000E+0	1	5.3147E-7	3.1028E-9	8.4574E-9	34556	3.1593E-6	4.6125E-6	-1.8641E-7	-1.7792E-7	1.7301E-8	4.0427E-8	0	94488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	200	200	200	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
H6_ARM_23_02_23_smallsrm_EB	40004	3.0	23/02/20 1258	23/02/20 2215	1.00	3.00	-88.90	-88.90	-88.90	160.98	160.98	160.98	4.3196E-4	0.00	90.00	0.00	0.00	0.00	-7.8377E-6	-6.1835E-1	-8.9768E-6	-7.8377E-6	0.0000E+0	2.7016E-6	9.9120E-2	2.5920E-6	2.7016E-6	0.0000E+0	-4.3188E-4	-2.5211E+1	-4.3190E-4	-4.3188E-4	0.0000E+0	1	-4.6193E-7	-1.5479E-8	5.5633E-9	34564	-6.0677E-6	-7.3335E-6	-1.8931E-7	-2.3173E-7	2.5695E-8	4.0941E-8	0	94720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	250	250	250	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
H6_ARM_23_02_23_smallsrm_EB	40005	3.0	23/02/20 1258	23/02/20 2215	1.00	3.00	-88.91	-88.91	-88.91	20.11	20.11	20.11	3.5659E-4	0.00	90.00	0.00	0.00	0.00	6.3750E-6	-1.7750E-2	7.9822E-6	6.3750E-6	0.0000E+0	2.3343E-6	8.7450E-2	2.2502E-6	2.3343E-6	0.0000E+0	-3.5652E-4	-2.0446E+1	-3.5028E-4	-3.5652E-4	0.0000E+0	1	2.2843E-6	1.0003E-8	6.2565E-6	34532	-8.4140E-6	-2.1586E-6	-1.3041E-7	-1.0302E-7	3.9913E-8	1.7173E-5	0	94563	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	300	300	300	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
H6_ARM_23_02_23_smallsrm_EB	40006	3.0	23/02/20 1258	23/02/20 2215	1.00	3.00	-86.62	-86.62	-86.62	9.28	9.28	9.28	2.3795E-4	0.00	90.00	0.00	0.00	0.00	1.3842E-5	1.0309E+0	2.4394E-5	1.3842E-5	0.0000E+0	2.2624E-6	8.2060E-2	2.1258E-6	2.2624E-6	0.0000E+0	-2.3754E-4	-1.3866E+1	-2.3754E-4	-2.3754E-4	0.0000E+0	1	1.1229E-5	-4.2409E-8	1.1838E-8	34175	6.8854E-7	3.1561E-5	-1.3671E-7	-2.5331E-7	2.4325E-8	5.6872E-8	0	93956	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	400	400	400	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
