Sample ID	Run #	Position	Sample Timestamp	Tray Timestamp	Volume	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift	MM drift time	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Bkg #1 time	Bkg #2 time	MS mean	MS corr	MS std dev	# MS averaged	MS drift	MS drift time	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	IRM Gauss	Temp C	Offline Comment	Meas. type	Data type	Orientation	Leader length	Trailer length	Settling time	Drift corrected	Tray corrected	X calib	Y calib	Z calib	X responce	Y responce	Z responce	X filter	Y filter	Z filter	X range	Y range	Z range	X slew	Y slew	Z slew	X feedback	Y feedback	Z feedback
H8_NRM_21_02_23_smallsrm_EB	39843	8.0	21/02/20 1626	21/02/20 2255	1.00	8.00	-65.41	-65.41	-65.41	104.56	104.56	104.56	1.1756E-4	0.00	90.00	0.00	0.00	0.00	-1.2294E-5	-2.1714E-1	-5.3930E-6	-1.2294E-5	0.0000E+0	4.7345E-5	1.9504E+0	4.7274E-5	4.7345E-5	0.0000E+0	-1.0690E-4	-6.2384E+0	-1.0688E-4	-1.0690E-4	0.0000E+0	1	6.8928E-6	-6.6648E-8	-1.7942E-9	82567	1.0997E-7	8.0068E-6	4.3632E-9	-7.1993E-8	1.2847E-8	1.0792E-8	0	94594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
H8_NRM_21_02_23_smallsrm_EB	39844	8.0	21/02/20 1626	21/02/20 2255	1.00	8.00	-64.92	-64.92	-64.92	107.62	107.62	107.62	1.1103E-4	0.00	90.00	0.00	0.00	0.00	-1.4242E-5	-3.3063E-1	-2.0470E-5	-1.4242E-5	0.0000E+0	4.4851E-5	1.8474E+0	4.4720E-5	4.4851E-5	0.0000E+0	-1.0057E-4	-5.8688E+0	-1.0055E-4	-1.0057E-4	0.0000E+0	1	-6.2360E-6	-1.2591E-7	-2.6918E-9	82689	1.2426E-5	5.2823E-6	6.0600E-8	-8.3628E-8	1.4047E-8	1.0963E-8	0	94720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	25	25	25	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
H8_NRM_21_02_23_smallsrm_EB	39845	8.0	21/02/20 1626	21/02/20 2255	1.00	8.00	-65.21	-65.21	-65.21	103.91	103.91	103.91	1.0204E-4	0.00	90.00	0.00	0.00	0.00	-1.0285E-5	-3.5909E-1	5.4385E-6	-1.0285E-5	0.0000E+0	4.1528E-5	1.7101E+0	4.1402E-5	4.1528E-5	0.0000E+0	-9.2638E-5	-5.4059E+0	-9.2613E-5	-9.2638E-5	0.0000E+0	1	1.5716E-5	-1.2135E-7	5.9866E-10	82558	-1.4175E-5	3.8125E-6	5.0662E-8	-8.8234E-8	9.4215E-9	1.0107E-8	0	94493	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	50	50	50	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
H8_NRM_21_02_23_smallsrm_EB	39846	8.0	21/02/20 1626	21/02/20 2255	1.00	8.00	-64.93	-64.93	-64.93	106.81	106.81	106.81	9.0740E-5	0.00	90.00	0.00	0.00	0.00	-1.1118E-5	-4.0905E-1	-1.0575E-5	-1.1118E-5	0.0000E+0	3.6804E-5	1.5095E+0	3.6793E-5	3.6804E-5	0.0000E+0	-8.2193E-5	-4.7959E+0	-8.2172E-5	-8.2193E-5	0.0000E+0	1	5.3471E-7	-5.9263E-9	-4.1880E-9	81921	6.2285E-7	1.2352E-6	-2.0240E-7	-2.0919E-7	1.7644E-8	1.2847E-8	0	93821	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	100	100	100	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
H8_NRM_21_02_23_smallsrm_EB	39847	8.0	21/02/20 1626	21/02/20 2255	1.00	8.00	-64.94	-64.94	-64.94	109.12	109.12	109.12	8.1969E-5	0.00	90.00	0.00	0.00	0.00	-1.1371E-5	-3.8779E-1	-2.1802E-5	-1.1371E-5	0.0000E+0	3.2803E-5	1.3454E+0	3.2619E-5	3.2803E-5	0.0000E+0	-7.4254E-5	-4.3327E+0	-7.4232E-5	-7.4254E-5	0.0000E+0	1	-1.0438E-5	-1.7948E-7	-3.1373E-9	82052	1.2367E-5	3.9804E-7	-7.2720E-9	-2.1307E-7	1.3533E-8	9.9354E-9	0	94082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	150	150	150	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
H8_NRM_21_02_23_smallsrm_EB	39848	8.0	21/02/20 1626	21/02/20 2255	1.00	8.00	-57.33	-57.33	-57.33	43.01	43.01	43.01	7.7824E-5	0.00	90.00	0.00	0.00	0.00	3.0718E-5	1.5050E-1	9.7923E-6	3.0718E-5	0.0000E+0	2.8659E-5	1.1895E+0	2.8711E-5	2.8659E-5	0.0000E+0	-6.5511E-5	-3.8226E+0	-6.5485E-5	-6.5511E-5	0.0000E+0	1	-2.0934E-5	5.7355E-8	1.3461E-9	81924	-6.1307E-6	-3.0107E-5	1.2217E-7	1.8786E-7	3.0834E-9	4.6251E-9	0	93830	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	200	200	200	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
H8_NRM_21_02_23_smallsrm_EB	39849	8.0	21/02/20 1626	21/02/20 2255	1.00	8.00	-64.82	-64.82	-64.82	77.00	77.00	77.00	6.3132E-5	0.00	90.00	0.00	0.00	0.00	6.0408E-6	3.8080E-2	7.6800E-6	6.0408E-6	0.0000E+0	2.6170E-5	1.0844E+0	2.6161E-5	2.6170E-5	0.0000E+0	-5.7134E-5	-3.3337E+0	-5.7117E-5	-5.7134E-5	0.0000E+0	1	1.6312E-6	-4.8657E-9	-7.9235E-9	81659	-6.7535E-6	-4.8845E-6	1.2459E-7	1.1902E-7	1.0107E-8	1.0278E-9	0	93566	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	250	250	250	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
H8_NRM_21_02_23_smallsrm_EB	39850	8.0	21/02/20 1626	21/02/20 2255	1.00	8.00	-65.87	-65.87	-65.87	78.43	78.43	78.43	5.2254E-5	0.00	90.00	0.00	0.00	0.00	4.2841E-6	3.0211E+0	7.7036E-5	4.2841E-6	0.0000E+0	2.0924E-5	8.8123E-1	2.1018E-5	2.0924E-5	0.0000E+0	-4.7690E-5	-2.7828E+0	-4.7672E-5	-4.7690E-5	0.0000E+0	1	7.2744E-5	9.8142E-8	-6.7263E-9	81533	-3.5322E-6	7.9834E-5	3.4324E-7	4.5571E-7	2.7408E-9	-4.9677E-9	0	93439	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	300	300	300	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
H8_NRM_21_02_23_smallsrm_EB	39851	8.0	21/02/20 1626	21/02/20 2255	1.00	8.00	-51.81	-51.81	-51.81	33.18	33.18	33.18	4.3615E-5	0.00	90.00	0.00	0.00	0.00	2.2571E-5	2.8772E-1	6.1706E-6	2.2571E-5	0.0000E+0	1.4757E-5	6.3170E-1	1.4728E-5	1.4757E-5	0.0000E+0	-3.4279E-5	-2.0000E+0	-3.4265E-5	-3.4279E-5	0.0000E+0	1	-1.6408E-5	-2.4758E-8	-1.1963E-8	81796	8.2965E-7	-1.7966E-5	5.8443E-7	5.5607E-7	5.4816E-9	-8.2224E-9	0	93699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	400	400	400	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
H8_NRM_21_02_23_smallsrm_EB	39852	8.0	21/02/20 1626	21/02/20 2255	1.00	8.00	-57.43	-57.43	-57.43	37.15	37.15	37.15	2.6593E-5	0.00	90.00	0.00	0.00	0.00	1.1412E-5	6.6404E-1	8.5717E-6	1.1412E-5	0.0000E+0	8.6458E-6	3.7640E-1	8.6542E-6	8.6458E-6	0.0000E+0	-2.2410E-5	-1.3068E+0	-2.2396E-5	-2.2410E-5	0.0000E+0	1	-2.8480E-6	1.3119E-8	-1.1215E-8	81790	7.5844E-6	4.3217E-6	4.6977E-7	4.8480E-7	1.0449E-8	-2.3982E-9	0	93698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	500	500	500	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
