Sample ID	Run #	Position	Sample Timestamp	Tray Timestamp	Volume	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift	MM drift time	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Bkg #1 time	Bkg #2 time	MS mean	MS corr	MS std dev	# MS averaged	MS drift	MS drift time	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	IRM Gauss	Temp C	Offline Comment	Meas. type	Data type	Orientation	Leader length	Trailer length	Settling time	Drift corrected	Tray corrected	X calib	Y calib	Z calib	X responce	Y responce	Z responce	X filter	Y filter	Z filter	X range	Y range	Z range	X slew	Y slew	Z slew	X feedback	Y feedback	Z feedback
K1_ARM_23_02_23_smallsrm_EB	40028	NA	23/02/20 1518	23/02/20 2215	1.00	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K1_ARM_23_02_23_smallsrm_EB	40030	1.0	23/02/20 1523	23/02/20 2215	1.00	1.00	-88.41	-88.41	-88.41	145.46	145.46	145.46	8.1971E-4	0.00	90.00	0.00	0.00	0.00	-1.8768E-5	-6.8629E-1	-1.6717E-5	-1.8768E-5	0.0000E+0	1.2917E-5	5.3474E-1	1.2962E-5	1.2917E-5	0.0000E+0	-8.1940E-4	-4.7838E+1	-8.1941E-4	-8.1940E-4	0.0000E+0	1	1.8734E-6	9.0422E-9	1.2278E-8	15493	1.9707E-8	1.1520E-5	0.0000E+0	5.5510E-8	-5.2075E-8	2.3297E-8	0	95111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
K1_ARM_23_02_23_smallsrm_EB	40031	1.0	23/02/20 1523	23/02/20 2215	1.00	1.00	-89.06	-89.06	-89.06	71.75	71.75	71.75	8.0078E-4	0.00	90.00	0.00	0.00	0.00	4.1238E-6	-1.8754E-1	5.1482E-6	4.1238E-6	0.0000E+0	1.2506E-5	5.1572E-1	1.2546E-5	1.2506E-5	0.0000E+0	-8.0067E-4	-4.6744E+1	-8.0069E-4	-8.0067E-4	0.0000E+0	1	8.4707E-7	4.6465E-9	1.0018E-8	15488	-9.7111E-6	-4.4967E-6	-4.5329E-8	-1.6726E-8	-3.7857E-8	2.3811E-8	0	95341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	25	25	25	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
K1_ARM_23_02_23_smallsrm_EB	40032	1.0	23/02/20 1523	23/02/20 2215	1.00	1.00	-88.72	-88.72	-88.72	136.25	136.25	136.25	7.5280E-4	0.00	90.00	0.00	0.00	0.00	-1.2192E-5	-9.7054E-1	-1.6625E-5	-1.2192E-5	0.0000E+0	1.1673E-5	4.7734E-1	1.1706E-5	1.1673E-5	0.0000E+0	-7.5261E-4	-4.3938E+1	-7.5263E-4	-7.5261E-4	0.0000E+0	1	-4.6103E-6	-2.4930E-9	9.2843E-9	15504	-6.9883E-6	-3.5229E-5	-1.3574E-7	-1.5102E-7	-3.1177E-8	2.5695E-8	0	94971	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	50	50	50	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
K1_ARM_23_02_23_smallsrm_EB	40033	1.0	23/02/20 1523	23/02/20 2215	1.00	1.00	-88.27	-88.27	-88.27	151.06	151.06	151.06	6.6437E-4	0.00	90.00	0.00	0.00	0.00	-1.7546E-5	-4.2639E-1	-1.3669E-5	-1.7546E-5	0.0000E+0	9.7015E-6	3.8637E-1	9.7542E-6	9.7015E-6	0.0000E+0	-6.6406E-4	-3.8768E+1	-6.6408E-4	-6.6406E-4	0.0000E+0	1	3.6994E-6	1.6733E-8	9.9606E-9	15363	3.2948E-6	2.6072E-5	-3.8857E-7	-2.8555E-7	-1.0449E-8	5.0876E-8	0	94587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	100	100	100	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
K1_ARM_23_02_23_smallsrm_EB	40034	1.0	23/02/20 1523	23/02/20 2215	1.00	1.00	-87.71	-87.71	-87.71	168.90	168.90	168.90	5.8127E-4	0.00	90.00	0.00	0.00	0.00	-2.2833E-5	-8.1546E-1	-1.4845E-5	-2.2833E-5	0.0000E+0	4.4781E-6	3.2691E-1	8.4556E-6	4.4781E-6	0.0000E+0	-5.8080E-4	-3.3906E+1	-5.8082E-4	-5.8080E-4	0.0000E+0	1	7.8098E-6	3.9416E-6	5.2970E-9	15231	-4.9947E-6	4.3244E-5	-5.3134E-7	2.3815E-5	8.0511E-9	4.0769E-8	0	94078	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	150	150	150	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
K1_ARM_23_02_23_smallsrm_EB	40035	1.0	23/02/20 1523	23/02/20 2215	1.00	1.00	-88.43	-88.43	-88.43	148.14	148.14	148.14	4.9913E-4	0.00	90.00	0.00	0.00	0.00	-1.1623E-5	6.8150E-2	-1.1626E-5	-1.1623E-5	0.0000E+0	7.2232E-6	2.8175E-1	7.2749E-6	7.2232E-6	0.0000E+0	-4.9894E-4	-2.9127E+1	-4.9896E-4	-4.9894E-4	0.0000E+0	1	-1.8115E-7	1.5740E-8	5.9917E-9	15235	1.3284E-5	1.2166E-5	-4.4529E-7	-3.4809E-7	1.7130E-8	5.4131E-8	0	94082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	200	200	200	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
K1_ARM_23_02_23_smallsrm_EB	40036	1.0	23/02/20 1523	23/02/20 2215	1.00	1.00	-86.44	-86.44	-86.44	167.70	167.70	167.70	4.1570E-4	0.00	90.00	0.00	0.00	0.00	-2.5189E-5	-8.2916E-1	-2.4861E-5	-2.5189E-5	0.0000E+0	5.4922E-6	2.2163E-1	5.5078E-6	5.4922E-6	0.0000E+0	-4.1490E-4	-2.4220E+1	-4.1492E-4	-4.1490E-4	0.0000E+0	1	1.5060E-7	-2.0310E-8	4.0332E-9	15235	4.6877E-6	5.6151E-6	-1.3550E-7	-2.6058E-7	3.2376E-8	5.7214E-8	0	93826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	250	250	250	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
K1_ARM_23_02_23_smallsrm_EB	40037	1.0	23/02/20 1523	23/02/20 2215	1.00	1.00	-88.16	-88.16	-88.16	162.95	162.95	162.95	3.3477E-4	0.00	90.00	0.00	0.00	0.00	-1.0264E-5	2.5608E-1	-4.4375E-6	-1.0264E-5	0.0000E+0	3.1489E-6	1.1243E-1	3.1936E-6	3.1489E-6	0.0000E+0	-3.3459E-4	-1.9531E+1	-3.3462E-4	-3.3459E-4	0.0000E+0	1	5.6495E-6	8.8104E-9	1.6752E-9	15355	1.0668E-5	4.5330E-5	-4.6832E-7	-4.1426E-7	4.6422E-8	5.6700E-8	0	94209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	300	300	300	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
K1_ARM_23_02_23_smallsrm_EB	40038	1.0	23/02/20 1523	23/02/20 2215	1.00	1.00	-88.49	-88.49	-88.49	161.09	161.09	161.09	2.2469E-4	0.00	90.00	0.00	0.00	0.00	-5.6015E-6	-1.0110E-1	-1.2165E-7	-5.6015E-6	0.0000E+0	1.9186E-6	6.3670E-2	1.9630E-6	1.9186E-6	0.0000E+0	-2.2461E-4	-1.3111E+1	-2.2463E-4	-2.2461E-4	0.0000E+0	1	5.3025E-6	8.4058E-9	1.8685E-9	15234	-2.3381E-6	3.0231E-5	-4.1959E-7	-3.6796E-7	4.5052E-8	5.6529E-8	0	93572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	400	400	400	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
