Sample ID	Run #	Position	Sample Timestamp	Tray Timestamp	Volume	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift	MM drift time	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Bkg #1 time	Bkg #2 time	MS mean	MS corr	MS std dev	# MS averaged	MS drift	MS drift time	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	IRM Gauss	Temp C	Offline Comment	Meas. type	Data type	Orientation	Leader length	Trailer length	Settling time	Drift corrected	Tray corrected	X calib	Y calib	Z calib	X responce	Y responce	Z responce	X filter	Y filter	Z filter	X range	Y range	Z range	X slew	Y slew	Z slew	X feedback	Y feedback	Z feedback
K6_NRM_23_02_23_smallsrm_EB	40013	4.0	23/02/20 1409	23/02/20 2215	1.00	4.00	-62.29	-62.29	-62.29	348.23	348.23	348.23	1.2004E-4	0.00	90.00	0.00	0.00	0.00	5.4636E-5	2.1627E+0	5.2617E-5	5.4636E-5	0.0000E+0	-1.1383E-5	-4.7338E-1	-1.1473E-5	-1.1383E-5	0.0000E+0	-1.0627E-4	-6.2052E+0	-1.0630E-4	-1.0627E-4	0.0000E+0	1	-1.3690E-6	1.5603E-8	3.1161E-9	44423	2.1897E-9	-2.9327E-6	-1.4544E-9	3.1997E-8	1.1991E-9	7.8798E-9	0	95239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
K6_NRM_23_02_23_smallsrm_EB	40014	4.0	23/02/20 1409	23/02/20 2215	1.00	4.00	-68.58	-68.58	-68.58	344.90	344.90	344.90	1.0927E-4	0.00	90.00	0.00	0.00	0.00	3.8520E-5	9.0099E-1	3.0873E-5	3.8520E-5	0.0000E+0	-1.0395E-5	-4.3392E-1	-1.0481E-5	-1.0395E-5	0.0000E+0	-1.0172E-4	-5.9402E+0	-1.0175E-4	-1.0172E-4	0.0000E+0	1	-6.9967E-6	2.0155E-8	9.5483E-10	44413	-8.9517E-6	-2.4014E-5	-3.7572E-8	5.8176E-9	-7.5372E-9	-5.4816E-9	0	95614	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	25	25	25	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
K6_NRM_23_02_23_smallsrm_EB	40016	4.0	23/02/20 1419	23/02/20 2215	1.00	4.00	-63.42	-63.42	-63.42	348.18	348.18	348.18	1.1362E-4	0.00	90.00	0.00	0.00	0.00	4.9764E-5	1.6957E+0	4.1250E-5	4.9764E-5	0.0000E+0	-1.0415E-5	-4.3327E-1	-1.0503E-5	-1.0415E-5	0.0000E+0	-1.0161E-4	-5.9331E+0	-1.0163E-4	-1.0161E-4	0.0000E+0	1	-7.8643E-6	1.8176E-8	1.1967E-9	44296	5.1093E-9	-1.6881E-5	4.8480E-10	3.9511E-8	-2.9121E-9	-3.4260E-10	0	95110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
K6_NRM_23_02_23_smallsrm_EB	40017	4.0	23/02/20 1419	23/02/20 2215	1.00	4.00	-61.56	-61.56	-61.56	349.58	349.58	349.58	1.0812E-4	0.00	90.00	0.00	0.00	0.00	5.0644E-5	2.3997E+0	4.9162E-5	5.0644E-5	0.0000E+0	-9.3144E-6	-3.9581E-1	-9.4231E-6	-9.3144E-6	0.0000E+0	-9.5066E-5	-5.5511E+0	-9.5092E-5	-9.5066E-5	0.0000E+0	1	-8.3206E-7	-2.4911E-9	7.2018E-10	44547	9.2228E-6	7.4416E-6	-1.7138E-7	-1.7671E-7	1.0278E-9	2.5695E-9	0	95362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	50	50	50	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
K6_NRM_23_02_23_smallsrm_EB	40018	4.0	23/02/20 1419	23/02/20 2215	1.00	4.00	-57.87	-57.87	-57.87	351.16	351.16	351.16	1.0030E-4	0.00	90.00	0.00	0.00	0.00	5.2713E-5	1.9096E+0	5.2287E-5	5.2713E-5	0.0000E+0	-8.2026E-6	-3.5246E-1	-8.3034E-6	-8.2026E-6	0.0000E+0	-8.4941E-5	-4.9601E+0	-8.4963E-5	-8.4941E-5	0.0000E+0	1	2.2383E-7	5.4198E-9	5.0270E-9	44181	-5.8270E-6	-5.3465E-6	-2.4022E-7	-2.2858E-7	-4.7964E-9	5.9955E-9	0	94847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	100	100	100	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
K6_NRM_23_02_23_smallsrm_EB	40019	4.0	23/02/20 1419	23/02/20 2215	1.00	4.00	-66.87	-66.87	-66.87	348.19	348.19	348.19	8.2735E-5	0.00	90.00	0.00	0.00	0.00	3.1807E-5	1.2856E+0	3.3599E-5	3.1807E-5	0.0000E+0	-6.6530E-6	-2.9756E-1	-6.8127E-6	-6.6530E-6	0.0000E+0	-7.6086E-5	-4.4433E+0	-7.6108E-5	-7.6086E-5	0.0000E+0	1	2.4422E-6	-5.3426E-8	5.1194E-9	44171	-2.3206E-6	2.9094E-6	-4.0020E-7	-5.1462E-7	-6.3381E-9	4.6251E-9	0	94593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	150	150	150	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
K6_NRM_23_02_23_smallsrm_EB	40020	4.0	23/02/20 1419	23/02/20 2215	1.00	4.00	-65.97	-65.97	-65.97	348.18	348.18	348.18	7.3052E-5	0.00	90.00	0.00	0.00	0.00	2.9118E-5	2.0936E+0	4.3122E-5	2.9118E-5	0.0000E+0	-6.0948E-6	-2.8213E-1	-6.2336E-6	-6.0948E-6	0.0000E+0	-6.6721E-5	-3.8963E+0	-6.6743E-5	-6.6721E-5	0.0000E+0	1	1.4655E-5	-3.2592E-8	4.3985E-9	44161	7.8143E-6	3.9205E-5	-6.0527E-7	-6.7508E-7	-5.1390E-10	8.9076E-9	0	94593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	200	200	200	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
K6_NRM_23_02_23_smallsrm_EB	40022	4.0	23/02/20 1437	23/02/20 2215	1.00	4.00	-61.32	-61.32	-61.32	350.98	350.98	350.98	7.6052E-5	0.00	90.00	0.00	0.00	0.00	3.6052E-5	2.0990E+0	4.6809E-5	3.6052E-5	0.0000E+0	-5.7254E-6	-2.6623E-1	-5.8295E-6	-5.7254E-6	0.0000E+0	-6.6719E-5	-3.8962E+0	-6.6743E-5	-6.6719E-5	0.0000E+0	1	1.1407E-5	2.1499E-9	2.5588E-9	44157	4.2607E-6	2.8697E-5	-6.2394E-7	-6.1933E-7	6.8520E-10	6.1668E-9	0	94594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
K6_NRM_23_02_23_smallsrm_EB	40023	4.0	23/02/20 1437	23/02/20 2215	1.00	4.00	-63.98	-63.98	-63.98	346.67	346.67	346.67	6.2998E-5	0.00	90.00	0.00	0.00	0.00	2.6891E-5	1.1868E+0	4.0375E-5	2.6891E-5	0.0000E+0	-6.3729E-6	-2.8758E-1	-6.5305E-6	-6.3729E-6	0.0000E+0	-5.6613E-5	-3.3067E+0	-5.6639E-5	-5.6613E-5	0.0000E+0	1	1.4134E-5	-5.1375E-8	7.9969E-10	44159	-1.1499E-5	1.8776E-5	-4.4044E-7	-5.5049E-7	-4.4538E-9	-2.7408E-9	0	94592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	250	250	250	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
K6_NRM_23_02_23_smallsrm_EB	40024	4.0	23/02/20 1437	23/02/20 2215	1.00	4.00	-65.98	-65.98	-65.98	348.28	348.28	348.28	5.0800E-5	0.00	90.00	0.00	0.00	0.00	2.0248E-5	6.4446E-1	2.1104E-5	2.0248E-5	0.0000E+0	-4.2018E-6	-2.0914E-1	-4.2985E-6	-4.2018E-6	0.0000E+0	-4.6401E-5	-2.7101E+0	-4.6430E-5	-4.6401E-5	0.0000E+0	1	1.5061E-6	9.5062E-9	-1.8394E-9	44161	-5.4239E-6	-2.1980E-6	-7.7107E-7	-7.5071E-7	5.6529E-9	1.7130E-9	0	94590	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	300	300	300	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
