Sample ID	Run #	Position	Sample Timestamp	Tray Timestamp	Volume	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift	MM drift time	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Bkg #1 time	Bkg #2 time	MS mean	MS corr	MS std dev	# MS averaged	MS drift	MS drift time	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	IRM Gauss	Temp C	Offline Comment	Meas. type	Data type	Orientation	Leader length	Trailer length	Settling time	Drift corrected	Tray corrected	X calib	Y calib	Z calib	X responce	Y responce	Z responce	X filter	Y filter	Z filter	X range	Y range	Z range	X slew	Y slew	Z slew	X feedback	Y feedback	Z feedback
L10_NRM_03_04_2023_SMALLSRM_EB	41106	3.0	03/04/20 1236	03/04/20 1223	1.00	3.00	22.59	22.59	22.59	203.96	203.96	203.96	2.4566E-4	0.00	90.00	0.00	0.00	0.00	-2.0726E-4	-8.5249E+0	-2.0740E-4	-2.0726E-4	0.0000E+0	-9.2116E-5	-3.8015E+0	-9.2155E-5	-9.2116E-5	0.0000E+0	9.4374E-5	5.5090E+0	9.4360E-5	9.4374E-5	0.0000E+0	1	-1.5236E-7	-2.3054E-9	-4.0102E-9	34181	-6.0825E-9	-4.2261E-7	6.0600E-9	-2.4240E-10	9.2502E-9	-1.7130E-9	0	93444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
L10_NRM_03_04_2023_SMALLSRM_EB	41107	3.0	03/04/20 1236	03/04/20 1223	1.00	3.00	22.61	22.61	22.61	204.02	204.02	204.02	2.4523E-4	0.00	90.00	0.00	0.00	0.00	-2.0678E-4	-8.4815E+0	-2.0677E-4	-2.0678E-4	0.0000E+0	-9.2146E-5	-3.8026E+0	-9.2185E-5	-9.2146E-5	0.0000E+0	9.4290E-5	5.5043E+0	9.4277E-5	9.4290E-5	0.0000E+0	1	-3.5634E-10	-2.8401E-9	-2.1325E-9	34307	4.1531E-7	4.1434E-7	1.0423E-8	2.6664E-9	1.0792E-8	4.9677E-9	0	93697	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	25	25	25	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
L10_NRM_03_04_2023_SMALLSRM_EB	41108	3.0	03/04/20 1236	03/04/20 1223	1.00	3.00	22.87	22.87	22.87	204.08	204.08	204.08	2.4256E-4	0.00	90.00	0.00	0.00	0.00	-2.0404E-4	-8.3517E+0	-2.0403E-4	-2.0404E-4	0.0000E+0	-9.1195E-5	-3.7634E+0	-9.1235E-5	-9.1195E-5	0.0000E+0	9.4287E-5	5.5036E+0	9.4275E-5	9.4287E-5	0.0000E+0	1	8.0012E-10	-3.1001E-9	-1.8778E-9	34565	8.3184E-7	8.3403E-7	1.0423E-8	1.9392E-9	2.5695E-9	-2.5695E-9	0	94594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	50	50	50	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
L10_NRM_03_04_2023_SMALLSRM_EB	41109	3.0	03/04/20 1236	03/04/20 1223	1.00	3.00	24.51	24.51	24.51	204.72	204.72	204.72	2.2635E-4	0.00	90.00	0.00	0.00	0.00	-1.8707E-4	-7.6416E+0	-1.8707E-4	-1.8707E-4	0.0000E+0	-8.6118E-5	-3.5539E+0	-8.6158E-5	-8.6118E-5	0.0000E+0	9.3915E-5	5.4816E+0	9.3903E-5	9.3915E-5	0.0000E+0	1	6.2375E-10	-3.8174E-9	-1.7566E-9	34410	1.1469E-6	1.1486E-6	1.2605E-8	2.1816E-9	-3.4260E-9	-8.2224E-9	0	93954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	100	100	100	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
L10_NRM_03_04_2023_SMALLSRM_EB	41110	3.0	03/04/20 1236	03/04/20 1223	1.00	3.00	26.03	26.03	26.03	206.08	206.08	206.08	1.9895E-4	0.00	90.00	0.00	0.00	0.00	-1.6057E-4	-6.5003E+0	-1.6056E-4	-1.6057E-4	0.0000E+0	-7.8607E-5	-3.2438E+0	-7.8645E-5	-7.8607E-5	0.0000E+0	8.7299E-5	5.0957E+0	8.7289E-5	8.7299E-5	0.0000E+0	1	1.7833E-10	-2.3986E-9	-4.3945E-10	34431	2.4082E-6	2.4087E-6	1.5998E-8	9.4536E-9	0.0000E+0	-1.1991E-9	0	93949	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	150	150	150	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
L10_NRM_03_04_2023_SMALLSRM_EB	41111	3.0	03/04/20 1236	03/04/20 1223	1.00	3.00	26.54	26.54	26.54	207.20	207.20	207.20	1.6863E-4	0.00	90.00	0.00	0.00	0.00	-1.3418E-4	-5.3883E+0	-1.3413E-4	-1.3418E-4	0.0000E+0	-6.8956E-5	-2.8456E+0	-6.8996E-5	-6.8956E-5	0.0000E+0	7.5343E-5	4.3971E+0	7.5333E-5	7.5343E-5	0.0000E+0	1	4.1968E-8	-2.6576E-9	-6.2603E-10	34195	3.0342E-6	3.1490E-6	1.7210E-8	9.9384E-9	-1.0278E-8	-1.1991E-8	0	93568	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	200	200	200	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
L10_NRM_03_04_2023_SMALLSRM_EB	41112	3.0	03/04/20 1236	03/04/20 1223	1.00	3.00	26.71	26.71	26.71	207.80	207.80	207.80	1.3813E-4	0.00	90.00	0.00	0.00	0.00	-1.0915E-4	-4.3522E+0	-1.0903E-4	-1.0915E-4	0.0000E+0	-5.7542E-5	-2.3747E+0	-5.7581E-5	-5.7542E-5	0.0000E+0	6.2081E-5	3.6228E+0	6.2075E-5	6.2081E-5	0.0000E+0	1	1.1325E-7	-2.5664E-9	3.5022E-9	34442	3.1400E-6	3.4502E-6	1.7453E-8	1.0423E-8	-1.5931E-8	-6.3381E-9	0	94339	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	250	250	250	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
L10_NRM_03_04_2023_SMALLSRM_EB	41113	3.0	03/04/20 1236	03/04/20 1223	1.00	3.00	26.93	26.93	26.93	208.92	208.92	208.92	1.0846E-4	0.00	90.00	0.00	0.00	0.00	-8.4643E-5	-3.3972E+0	-8.4631E-5	-8.4643E-5	0.0000E+0	-4.6769E-5	-1.9304E+0	-4.6808E-5	-4.6769E-5	0.0000E+0	4.9118E-5	2.8658E+0	4.9108E-5	4.9118E-5	0.0000E+0	1	5.0736E-9	-1.6849E-9	6.2670E-11	34558	1.9785E-6	1.9924E-6	1.4544E-8	9.9384E-9	-1.7130E-8	-1.6959E-8	0	94460	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	300	300	300	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
L10_NRM_03_04_2023_SMALLSRM_EB	41114	3.0	03/04/20 1236	03/04/20 1223	1.00	3.00	25.47	25.47	25.47	210.39	210.39	210.39	6.8783E-5	0.00	90.00	0.00	0.00	0.00	-5.3565E-5	-2.0678E+0	-5.3443E-5	-5.3565E-5	0.0000E+0	-3.1415E-5	-1.2970E+0	-3.1454E-5	-3.1415E-5	0.0000E+0	2.9581E-5	1.7256E+0	2.9567E-5	2.9581E-5	0.0000E+0	1	1.1582E-7	-2.6567E-9	-3.3794E-9	34558	3.1337E-6	3.4507E-6	1.5514E-8	8.2416E-9	-8.7363E-9	-1.7987E-8	0	94593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	400	400	400	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
L10_NRM_03_04_2023_SMALLSRM_EB	41115	3.0	03/04/20 1236	03/04/20 1223	1.00	3.00	19.92	19.92	19.92	215.44	215.44	215.44	4.0964E-5	0.00	90.00	0.00	0.00	0.00	-3.1376E-5	-1.1557E+0	-3.1256E-5	-3.1376E-5	0.0000E+0	-2.2334E-5	-9.2249E-1	-2.2374E-5	-2.2334E-5	0.0000E+0	1.3958E-5	8.1314E-1	1.3946E-5	1.3958E-5	0.0000E+0	1	1.1351E-7	-3.5424E-9	-2.0027E-9	34558	3.1391E-6	3.4498E-6	1.2605E-8	2.9088E-9	-1.7130E-8	-2.2612E-8	0	94590	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	500	500	500	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
