Sample ID	Run #	Position	Sample Timestamp	Tray Timestamp	Volume	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift	MM drift time	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Bkg #1 time	Bkg #2 time	MS mean	MS corr	MS std dev	# MS averaged	MS drift	MS drift time	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	IRM Gauss	Temp C	Offline Comment	Meas. type	Data type	Orientation	Leader length	Trailer length	Settling time	Drift corrected	Tray corrected	X calib	Y calib	Z calib	X responce	Y responce	Z responce	X filter	Y filter	Z filter	X range	Y range	Z range	X slew	Y slew	Z slew	X feedback	Y feedback	Z feedback
L9_ARM_03_04_2023_SMALLSRM_EB	41119	NA	03/04/20 1417	03/04/20 1223	1.00	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
L9_ARM_03_04_2023_SMALLSRM_EB	41121	2.0	03/04/20 1420	03/04/20 1223	1.00	2.00	-88.23	-88.23	-88.23	158.40	158.40	158.40	1.4510E-4	0.00	90.00	0.00	0.00	0.00	-4.1724E-6	-1.7096E-1	-4.1716E-6	-4.1724E-6	0.0000E+0	1.6522E-6	6.7400E-2	1.6452E-6	1.6522E-6	0.0000E+0	-1.4503E-4	-8.4680E+0	-1.4500E-4	-1.4503E-4	0.0000E+0	1	-4.4950E-10	2.3671E-9	2.1340E-8	24966	1.2165E-8	1.0462E-8	-1.1393E-8	-2.4240E-9	-5.5330E-8	2.5524E-8	0	94594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
L9_ARM_03_04_2023_SMALLSRM_EB	41122	2.0	03/04/20 1420	03/04/20 1223	1.00	2.00	-88.23	-88.23	-88.23	160.67	160.67	160.67	1.4326E-4	0.00	90.00	0.00	0.00	0.00	-4.1771E-6	-1.6688E-1	-4.1765E-6	-4.1771E-6	0.0000E+0	1.4656E-6	5.9630E-2	1.4588E-6	1.4656E-6	0.0000E+0	-1.4319E-4	-8.3598E+0	-1.4316E-4	-1.4319E-4	0.0000E+0	1	-6.4210E-10	2.6229E-9	2.1836E-8	24964	1.1630E-7	1.1386E-7	-1.3332E-8	-3.3936E-9	-4.4024E-8	3.8714E-8	0	94592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	25	25	25	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
L9_ARM_03_04_2023_SMALLSRM_EB	41123	2.0	03/04/20 1420	03/04/20 1223	1.00	2.00	-88.21	-88.21	-88.21	158.44	158.44	158.44	1.3939E-4	0.00	90.00	0.00	0.00	0.00	-4.0440E-6	-1.9494E-1	-4.1259E-6	-4.0440E-6	0.0000E+0	1.5981E-6	6.4900E-2	1.5938E-6	1.5981E-6	0.0000E+0	-1.3932E-4	-8.1332E+0	-1.3929E-4	-1.3932E-4	0.0000E+0	1	-8.3079E-8	5.1173E-9	1.9121E-8	24962	-6.1701E-7	-9.3184E-7	-2.0604E-8	-1.2120E-9	-2.9977E-8	4.2482E-8	0	94594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	50	50	50	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
L9_ARM_03_04_2023_SMALLSRM_EB	41124	2.0	03/04/20 1420	03/04/20 1223	1.00	2.00	-88.21	-88.21	-88.21	165.26	165.26	165.26	1.2434E-4	0.00	90.00	0.00	0.00	0.00	-3.7614E-6	2.9500E-2	-3.7473E-6	-3.7614E-6	0.0000E+0	9.8982E-7	4.0710E-2	9.8390E-7	9.8982E-7	0.0000E+0	-1.2428E-4	-7.2544E+0	-1.2426E-4	-1.2428E-4	0.0000E+0	1	1.2902E-8	3.5175E-9	1.4779E-8	24956	4.4650E-6	4.5139E-6	2.9088E-9	1.6241E-8	-1.2162E-8	4.3853E-8	0	94589	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	100	100	100	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
L9_ARM_03_04_2023_SMALLSRM_EB	41125	2.0	03/04/20 1420	03/04/20 1223	1.00	2.00	-87.82	-87.82	-87.82	169.03	169.03	169.03	1.0805E-4	0.00	90.00	0.00	0.00	0.00	-4.0423E-6	1.8020E-2	-4.0286E-6	-4.0423E-6	0.0000E+0	7.8386E-7	3.2120E-2	7.7762E-7	7.8386E-7	0.0000E+0	-1.0797E-4	-6.3016E+0	-1.0795E-4	-1.0797E-4	0.0000E+0	1	1.2517E-8	3.1975E-9	1.3015E-8	24955	4.4670E-6	4.5144E-6	9.6960E-10	1.3090E-8	3.5973E-9	5.2932E-8	0	94591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	150	150	150	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
L9_ARM_03_04_2023_SMALLSRM_EB	41126	2.0	03/04/20 1420	03/04/20 1223	1.00	2.00	-87.63	-87.63	-87.63	171.37	171.37	171.37	9.1590E-5	0.00	90.00	0.00	0.00	0.00	-3.7504E-6	3.0020E-2	-3.7376E-6	-3.7504E-6	0.0000E+0	5.6899E-7	2.3200E-2	5.6237E-7	5.6899E-7	0.0000E+0	-9.1511E-5	-5.3398E+0	-9.1491E-5	-9.1511E-5	0.0000E+0	1	1.1553E-8	2.8135E-9	1.0122E-8	24952	4.4680E-6	4.5118E-6	0.0000E+0	1.0666E-8	2.0727E-8	5.9098E-8	0	94588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	200	200	200	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
L9_ARM_03_04_2023_SMALLSRM_EB	41127	2.0	03/04/20 1420	03/04/20 1223	1.00	2.00	-87.33	-87.33	-87.33	172.36	172.36	172.36	7.5255E-5	0.00	90.00	0.00	0.00	0.00	-3.4807E-6	4.0820E-2	-3.4661E-6	-3.4807E-6	0.0000E+0	4.6696E-7	1.9230E-2	4.5983E-7	4.6696E-7	0.0000E+0	-7.5173E-5	-4.3857E+0	-7.5153E-5	-7.5173E-5	0.0000E+0	1	1.3415E-8	2.3022E-9	1.0620E-8	24954	4.4592E-6	4.5101E-6	6.3024E-9	1.5029E-8	2.6551E-8	6.6807E-8	0	94589	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	250	250	250	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
L9_ARM_03_04_2023_SMALLSRM_EB	41128	2.0	03/04/20 1420	03/04/20 1223	1.00	2.00	-86.85	-86.85	-86.85	172.69	172.69	172.69	5.8807E-5	0.00	90.00	0.00	0.00	0.00	-3.2071E-6	4.4990E-2	-3.2040E-6	-3.2071E-6	0.0000E+0	4.1115E-7	1.6800E-2	4.0529E-7	4.1115E-7	0.0000E+0	-5.8718E-5	-3.4248E+0	-5.8701E-5	-5.8718E-5	0.0000E+0	1	1.7951E-9	3.5769E-9	6.7256E-9	24959	4.2986E-6	4.3054E-6	1.9392E-9	1.5514E-8	3.4089E-8	5.9612E-8	0	94720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	300	300	300	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
L9_ARM_03_04_2023_SMALLSRM_EB	41129	2.0	03/04/20 1420	03/04/20 1223	1.00	2.00	-85.76	-85.76	-85.76	188.37	188.37	188.37	3.4422E-5	0.00	90.00	0.00	0.00	0.00	-2.5204E-6	7.3290E-2	-2.5189E-6	-2.5204E-6	0.0000E+0	-3.7065E-7	-1.5340E-2	-3.7790E-7	-3.7065E-7	0.0000E+0	-3.4328E-5	-2.0000E+0	-3.4313E-5	-3.4328E-5	0.0000E+0	1	2.5741E-10	2.1799E-9	4.7573E-9	25087	4.3020E-6	4.3030E-6	6.0600E-9	1.4302E-8	5.2932E-8	7.0918E-8	0	94849	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	400	400	400	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
