Sample ID	Run #	Position	Sample Timestamp	Tray Timestamp	Volume	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift	MM drift time	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Bkg #1 time	Bkg #2 time	MS mean	MS corr	MS std dev	# MS averaged	MS drift	MS drift time	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	IRM Gauss	Temp C	Offline Comment	Meas. type	Data type	Orientation	Leader length	Trailer length	Settling time	Drift corrected	Tray corrected	X calib	Y calib	Z calib	X responce	Y responce	Z responce	X filter	Y filter	Z filter	X range	Y range	Z range	X slew	Y slew	Z slew	X feedback	Y feedback	Z feedback
M11_ARM_03_04_2023_SMALLSRM_EB	41125	NA	03/04/20 1417	03/04/20 1223	1.00	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M11_ARM_03_04_2023_SMALLSRM_EB	41127	8.0	03/04/20 1420	03/04/20 1223	1.00	8.00	-88.72	-88.72	-88.72	192.79	192.79	192.79	1.3444E-3	0.00	90.00	0.00	0.00	0.00	-2.9253E-5	-1.2022E+0	-2.9262E-5	-2.9253E-5	0.0000E+0	-6.6397E-6	-2.7347E-1	-6.6175E-6	-6.6397E-6	0.0000E+0	-1.3440E-3	-7.8457E+1	-1.3439E-3	-1.3440E-3	0.0000E+0	1	-1.4865E-9	7.8284E-9	7.0573E-8	82566	1.2165E-8	1.0462E-8	-1.1393E-8	-2.4240E-9	-5.5330E-8	2.5524E-8	0	94594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
M11_ARM_03_04_2023_SMALLSRM_EB	41128	8.0	03/04/20 1420	03/04/20 1223	1.00	8.00	-88.73	-88.73	-88.73	192.69	192.69	192.69	1.3335E-3	0.00	90.00	0.00	0.00	0.00	-2.8895E-5	-1.1832E+0	-2.8905E-5	-2.8895E-5	0.0000E+0	-6.5070E-6	-2.6804E-1	-6.4840E-6	-6.5070E-6	0.0000E+0	-1.3332E-3	-7.7823E+1	-1.3331E-3	-1.3332E-3	0.0000E+0	1	-2.1236E-9	8.6747E-9	7.2217E-8	82564	1.1630E-7	1.1386E-7	-1.3332E-8	-3.3936E-9	-4.4024E-8	3.8714E-8	0	94592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	25	25	25	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
M11_ARM_03_04_2023_SMALLSRM_EB	41129	8.0	03/04/20 1420	03/04/20 1223	1.00	8.00	-88.74	-88.74	-88.74	194.49	194.49	194.49	1.3129E-3	0.00	90.00	0.00	0.00	0.00	-2.8042E-5	-1.1896E+0	-2.8325E-5	-2.8042E-5	0.0000E+0	-7.2492E-6	-2.9862E-1	-7.2179E-6	-7.2492E-6	0.0000E+0	-1.3126E-3	-7.6620E+1	-1.3125E-3	-1.3126E-3	0.0000E+0	1	-2.7478E-7	1.6925E-8	6.3243E-8	82562	-6.1701E-7	-9.3184E-7	-2.0604E-8	-1.2120E-9	-2.9977E-8	4.2482E-8	0	94594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	50	50	50	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
M11_ARM_03_04_2023_SMALLSRM_EB	41130	8.0	03/04/20 1420	03/04/20 1223	1.00	8.00	-88.87	-88.87	-88.87	199.56	199.56	199.56	1.2238E-3	0.00	90.00	0.00	0.00	0.00	-2.2811E-5	-7.5259E-1	-2.2776E-5	-2.2811E-5	0.0000E+0	-8.1051E-6	-3.3318E-1	-8.0792E-6	-8.1051E-6	0.0000E+0	-1.2236E-3	-7.1425E+1	-1.2235E-3	-1.2236E-3	0.0000E+0	1	4.2684E-8	1.1636E-8	4.8891E-8	82559	4.4650E-6	4.5139E-6	2.9088E-9	1.6241E-8	-1.2162E-8	4.3853E-8	0	94589	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	100	100	100	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
M11_ARM_03_04_2023_SMALLSRM_EB	41131	8.0	03/04/20 1420	03/04/20 1223	1.00	8.00	-88.81	-88.81	-88.81	203.67	203.67	203.67	1.1052E-3	0.00	90.00	0.00	0.00	0.00	-2.0936E-5	-6.7551E-1	-2.0902E-5	-2.0936E-5	0.0000E+0	-9.1753E-6	-3.7745E-1	-9.1504E-6	-9.1753E-6	0.0000E+0	-1.1050E-3	-6.4501E+1	-1.1049E-3	-1.1050E-3	0.0000E+0	1	4.1410E-8	1.0579E-8	4.3060E-8	82561	4.4670E-6	4.5144E-6	9.6960E-10	1.3090E-8	3.5973E-9	5.2932E-8	0	94591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	150	150	150	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
M11_ARM_03_04_2023_SMALLSRM_EB	41132	8.0	03/04/20 1420	03/04/20 1223	1.00	8.00	-88.78	-88.78	-88.78	206.25	206.25	206.25	9.6990E-4	0.00	90.00	0.00	0.00	0.00	-1.8585E-5	-5.7897E-1	-1.8554E-5	-1.8585E-5	0.0000E+0	-9.1633E-6	-3.7705E-1	-9.1397E-6	-9.1633E-6	0.0000E+0	-9.6968E-4	-5.6601E+1	-9.6959E-4	-9.6968E-4	0.0000E+0	1	3.8225E-8	9.3092E-9	3.3491E-8	82559	4.4680E-6	4.5118E-6	0.0000E+0	1.0666E-8	2.0727E-8	5.9098E-8	0	94588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	200	200	200	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
M11_ARM_03_04_2023_SMALLSRM_EB	41133	8.0	03/04/20 1420	03/04/20 1223	1.00	8.00	-88.65	-88.65	-88.65	208.13	208.13	208.13	8.1761E-4	0.00	90.00	0.00	0.00	0.00	-1.6939E-5	-5.1142E-1	-1.6902E-5	-1.6939E-5	0.0000E+0	-9.0557E-6	-3.7242E-1	-9.0338E-6	-9.0557E-6	0.0000E+0	-8.1738E-4	-4.7710E+1	-8.1729E-4	-8.1738E-4	0.0000E+0	1	4.4383E-8	7.6167E-9	3.5136E-8	82560	4.4592E-6	4.5101E-6	6.3024E-9	1.5029E-8	2.6551E-8	6.6807E-8	0	94589	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	250	250	250	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
M11_ARM_03_04_2023_SMALLSRM_EB	41134	8.0	03/04/20 1420	03/04/20 1223	1.00	8.00	-88.61	-88.61	-88.61	208.22	208.22	208.22	6.4757E-4	0.00	90.00	0.00	0.00	0.00	-1.3858E-5	-3.9298E-1	-1.3860E-5	-1.3858E-5	0.0000E+0	-7.4375E-6	-3.0567E-1	-7.4114E-6	-7.4375E-6	0.0000E+0	-6.4738E-4	-3.7786E+1	-6.4731E-4	-6.4738E-4	0.0000E+0	1	5.9470E-9	1.1850E-8	2.2282E-8	82688	4.2986E-6	4.3054E-6	1.9392E-9	1.5514E-8	3.4089E-8	5.9612E-8	0	94720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	300	300	300	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
M11_ARM_03_04_2023_SMALLSRM_EB	41135	8.0	03/04/20 1420	03/04/20 1223	1.00	8.00	-88.21	-88.21	-88.21	216.02	216.02	216.02	3.8573E-4	0.00	90.00	0.00	0.00	0.00	-9.7424E-6	-2.2389E-1	-9.7493E-6	-9.7424E-6	0.0000E+0	-7.0836E-6	-2.9109E-1	-7.0621E-6	-7.0836E-6	0.0000E+0	-3.8554E-4	-2.2500E+1	-3.8547E-4	-3.8554E-4	0.0000E+0	1	8.4978E-10	7.1964E-9	1.5705E-8	82820	4.3020E-6	4.3030E-6	6.0600E-9	1.4302E-8	5.2932E-8	7.0918E-8	0	94849	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	400	400	400	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
