Sample ID	Run #	Position	Sample Timestamp	Tray Timestamp	Volume	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift	MM drift time	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Bkg #1 time	Bkg #2 time	MS mean	MS corr	MS std dev	# MS averaged	MS drift	MS drift time	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	IRM Gauss	Temp C	Offline Comment	Meas. type	Data type	Orientation	Leader length	Trailer length	Settling time	Drift corrected	Tray corrected	X calib	Y calib	Z calib	X responce	Y responce	Z responce	X filter	Y filter	Z filter	X range	Y range	Z range	X slew	Y slew	Z slew	X feedback	Y feedback	Z feedback
M9_NRM_03_04_2023_SMALLSRM_EB	41109	6.0	03/04/20 1236	03/04/20 1223	1.00	6.00	-37.88	-37.88	-37.88	6.56	6.56	6.56	2.1642E-4	0.00	90.00	0.00	0.00	0.00	1.6970E-4	6.9631E+0	1.6942E-4	1.6970E-4	0.0000E+0	1.9517E-5	8.0443E-1	1.9493E-5	1.9517E-5	0.0000E+0	-1.3288E-4	-7.7557E+0	-1.3286E-4	-1.3288E-4	0.0000E+0	1	-2.7902E-7	-4.2218E-9	-7.3439E-9	62595	-6.0825E-9	-4.2261E-7	6.0600E-9	-2.4240E-10	9.2502E-9	-1.7130E-9	0	93444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
M9_NRM_03_04_2023_SMALLSRM_EB	41110	6.0	03/04/20 1236	03/04/20 1223	1.00	6.00	-37.87	-37.87	-37.87	6.58	6.58	6.58	2.1616E-4	0.00	90.00	0.00	0.00	0.00	1.6953E-4	6.9847E+0	1.6952E-4	1.6953E-4	0.0000E+0	1.9563E-5	8.0646E-1	1.9538E-5	1.9563E-5	0.0000E+0	-1.3268E-4	-7.7440E+0	-1.3267E-4	-1.3268E-4	0.0000E+0	1	-6.5150E-10	-5.1928E-9	-3.8990E-9	62725	4.1531E-7	4.1434E-7	1.0423E-8	2.6664E-9	1.0792E-8	4.9677E-9	0	93697	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	25	25	25	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
M9_NRM_03_04_2023_SMALLSRM_EB	41111	6.0	03/04/20 1236	03/04/20 1223	1.00	6.00	-37.80	-37.80	-37.80	6.57	6.57	6.57	2.1347E-4	0.00	90.00	0.00	0.00	0.00	1.6756E-4	6.9212E+0	1.6756E-4	1.6756E-4	0.0000E+0	1.9286E-5	7.9501E-1	1.9261E-5	1.9286E-5	0.0000E+0	-1.3084E-4	-7.6370E+0	-1.3082E-4	-1.3084E-4	0.0000E+0	1	1.4667E-9	-5.6826E-9	-3.4421E-9	63359	8.3184E-7	8.3403E-7	1.0423E-8	1.9392E-9	2.5695E-9	-2.5695E-9	0	94594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	50	50	50	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
M9_NRM_03_04_2023_SMALLSRM_EB	41112	6.0	03/04/20 1236	03/04/20 1223	1.00	6.00	-39.13	-39.13	-39.13	6.12	6.12	6.12	1.9429E-4	0.00	90.00	0.00	0.00	0.00	1.4986E-4	6.2065E+0	1.4986E-4	1.4986E-4	0.0000E+0	1.6068E-5	6.6231E-1	1.6042E-5	1.6068E-5	0.0000E+0	-1.2261E-4	-7.1569E+0	-1.2259E-4	-1.2261E-4	0.0000E+0	1	1.1435E-9	-6.9983E-9	-3.2204E-9	63082	1.1469E-6	1.1486E-6	1.2605E-8	2.1816E-9	-3.4260E-9	-8.2224E-9	0	93954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	100	100	100	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
M9_NRM_03_04_2023_SMALLSRM_EB	41113	6.0	03/04/20 1236	03/04/20 1223	1.00	6.00	-40.82	-40.82	-40.82	5.49	5.49	5.49	1.6495E-4	0.00	90.00	0.00	0.00	0.00	1.2426E-4	5.2061E+0	1.2426E-4	1.2426E-4	0.0000E+0	1.1940E-5	4.9224E-1	1.1916E-5	1.1940E-5	0.0000E+0	-1.0782E-4	-6.2931E+0	-1.0780E-4	-1.0782E-4	0.0000E+0	1	3.2551E-10	-4.3781E-9	-8.0214E-10	62847	2.4082E-6	2.4087E-6	1.5998E-8	9.4536E-9	0.0000E+0	-1.1991E-9	0	93949	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	150	150	150	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
M9_NRM_03_04_2023_SMALLSRM_EB	41114	6.0	03/04/20 1236	03/04/20 1223	1.00	6.00	-42.43	-42.43	-42.43	5.09	5.09	5.09	1.3624E-4	0.00	90.00	0.00	0.00	0.00	1.0016E-4	4.2443E+0	1.0023E-4	1.0016E-4	0.0000E+0	8.9210E-6	3.6773E-1	8.8966E-6	8.9210E-6	0.0000E+0	-9.1926E-5	-5.3659E+0	-9.1908E-5	-9.1926E-5	0.0000E+0	1	7.6999E-8	-4.8759E-9	-1.1486E-9	62738	3.0342E-6	3.1490E-6	1.7210E-8	9.9384E-9	-1.0278E-8	-1.1991E-8	0	93568	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	200	200	200	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
M9_NRM_03_04_2023_SMALLSRM_EB	41115	6.0	03/04/20 1236	03/04/20 1223	1.00	6.00	-44.07	-44.07	-44.07	4.37	4.37	4.37	1.0879E-4	0.00	90.00	0.00	0.00	0.00	7.7932E-5	3.3406E+0	7.8136E-5	7.7932E-5	0.0000E+0	5.9536E-6	2.4533E-1	5.9293E-6	5.9536E-6	0.0000E+0	-7.5676E-5	-4.4171E+0	-7.5650E-5	-7.5676E-5	0.0000E+0	1	2.0791E-7	-4.7115E-9	6.4295E-9	63230	3.1400E-6	3.4502E-6	1.7453E-8	1.0423E-8	-1.5931E-8	-6.3381E-9	0	94339	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	250	250	250	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
M9_NRM_03_04_2023_SMALLSRM_EB	41116	6.0	03/04/20 1236	03/04/20 1223	1.00	6.00	-45.45	-45.45	-45.45	2.58	2.58	2.58	8.2316E-5	0.00	90.00	0.00	0.00	0.00	5.7690E-5	2.4527E+0	5.7695E-5	5.7690E-5	0.0000E+0	2.6037E-6	1.0708E-1	2.5811E-6	2.6037E-6	0.0000E+0	-5.8660E-5	-3.4242E+0	-5.8640E-5	-5.8660E-5	0.0000E+0	1	9.3020E-9	-3.0892E-9	1.1490E-10	63359	1.9785E-6	1.9924E-6	1.4544E-8	9.9384E-9	-1.7130E-8	-1.6959E-8	0	94460	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	300	300	300	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
M9_NRM_03_04_2023_SMALLSRM_EB	41117	6.0	03/04/20 1236	03/04/20 1223	1.00	6.00	-48.86	-48.86	-48.86	354.71	354.71	354.71	4.7763E-5	0.00	90.00	0.00	0.00	0.00	3.1287E-5	1.4233E+0	3.1494E-5	3.1287E-5	0.0000E+0	-2.8977E-6	-1.1991E-1	-2.9221E-6	-2.8977E-6	0.0000E+0	-3.5972E-5	-2.0997E+0	-3.5959E-5	-3.5972E-5	0.0000E+0	1	2.1235E-7	-4.8709E-9	-6.1959E-9	63360	3.1337E-6	3.4507E-6	1.5514E-8	8.2416E-9	-8.7363E-9	-1.7987E-8	0	94593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	400	400	400	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
M9_NRM_03_04_2023_SMALLSRM_EB	41118	6.0	03/04/20 1236	03/04/20 1223	1.00	6.00	-48.26	-48.26	-48.26	326.09	326.09	326.09	2.5032E-5	0.00	90.00	0.00	0.00	0.00	1.3830E-5	7.0582E-1	1.4034E-5	1.3830E-5	0.0000E+0	-9.2957E-6	-3.8404E-1	-9.3217E-6	-9.2957E-6	0.0000E+0	-1.8679E-5	-1.0905E+0	-1.8663E-5	-1.8679E-5	0.0000E+0	1	2.0810E-7	-6.4944E-9	-3.6716E-9	63357	3.1391E-6	3.4498E-6	1.2605E-8	2.9088E-9	-1.7130E-8	-2.2612E-8	0	94590	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	500	500	500	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
