0,  264.5,  82.0, 2047.0003,  -27.2783, -284.4356, 2026.9589, 
2,  269.2,  82.9, 1859.9535,   -3.0880, -229.7822, 1845.7025, 
5,  267.7,  82.1, 1633.1186,   -8.9514, -223.8742, 1617.6763, 
10,  277.1,  83.7, 1277.1399,   17.4935, -139.4870, 1269.3792, 
15,  271.8,  82.7, 971.7808,    3.8321, -122.7450, 963.9901, 
20,  269.4,  82.3, 757.4419,   -1.0864, -101.1292, 750.6597, 
25,  263.9,  82.2, 597.7008,   -8.5942, -80.8676, 592.1426, 
30,  265.4,  83.7, 488.3215,   -4.2711, -53.2396, 485.3918, 
35,  267.2,  84.2, 407.7671,   -2.0239, -41.2151, 405.6738, 
40,  265.8,  83.7, 348.8700,   -2.7978, -38.3057, 346.7494, 
50,  265.3,  84.3, 277.3870,   -2.2695, -27.5239, 276.0088, 
60,  254.2,  83.6, 232.4802,   -7.0763, -25.0237, 231.0211, 
70,  266.7,  84.3, 205.1237,   -1.1980, -20.5071, 204.0925, 
85,  241.1,  82.7, 184.6694,  -11.3771, -20.5890, 183.1650, 
100,  261.1,  84.4, 171.3927,   -2.6043, -16.5560, 170.5713, 
