0,  176.0,  -13.0,   3.8149,   -3.7081,   0.2623,  -0.8572, 
2,  179.4,  -11.2,   3.0508,   -2.9931,   0.0298,  -0.5900, 
5,  180.7,  -9.0,   2.8692,   -2.8340,  -0.0329,  -0.4466, 
10,  180.9,  -14.4,   2.5379,   -2.4578,  -0.0375,  -0.6313, 
15,  179.4,  -13.6,   1.9877,   -1.9317,   0.0191,  -0.4684, 
20,  179.0,  -6.1,   1.8338,   -1.8231,   0.0329,  -0.1954, 
25,  189.5,  -3.0,   1.2734,   -1.2541,  -0.2103,  -0.0677, 
30,  208.6,  -14.3,   1.0699,   -0.9100,  -0.4963,  -0.2650, 
35,  175.0,  -12.0,   0.8948,   -0.8718,   0.0765,  -0.1866, 
40,  207.7,  -11.0,   0.7268,   -0.6315,  -0.3322,  -0.1381, 
50,  235.7,  42.1,   0.6692,   -0.2799,  -0.4105,   0.4482, 
60,  202.1,  -53.5,   0.9324,   -0.5143,  -0.2090,  -0.7491, 
70,  268.7,  31.1,   0.5155,   -0.0097,  -0.4412,   0.2665, 
85,  134.1,  -4.8,   0.6982,   -0.4844,   0.4994,  -0.0586, 
100,  291.5,  -4.6,   0.9048,    0.3307,  -0.8390,  -0.0728, 
