0,  266.7,  -11.7,   2.7964,   -0.1587,  -2.7335,  -0.5677, 
2,  272.0,  -10.9,   2.1120,    0.0738,  -2.0727,  -0.3986, 
5,  264.4,  -8.4,   2.0729,   -0.2012,  -2.0407,  -0.3036, 
7,  270.9,  -14.4,   1.6783,    0.0246,  -1.6257,  -0.4165, 
7,  82.2,  -11.0,   2.0918,    0.2772,   2.0347,  -0.3986, 
10,  266.8,  -14.9,   1.5269,   -0.0834,  -1.4729,  -0.3938, 
12,  262.9,  -8.1,   1.2323,   -0.1512,  -1.2107,  -0.1732, 
15,  267.3,  -7.6,   1.3281,   -0.0611,  -1.3150,  -0.1762, 
18,  265.3,  -10.1,   0.9812,   -0.0797,  -0.9626,  -0.1728, 
20,  266.6,  -17.0,   0.7928,   -0.0447,  -0.7570,  -0.2313, 
22,  268.3,  -26.9,   0.7730,   -0.0209,  -0.6892,  -0.3494, 
22,  257.7,  -18.9,   0.6050,   -0.1221,  -0.5593,  -0.1957, 
25C,  275.0,  -25.0,   0.7128,    0.0562,  -0.6436,  -0.3011, 
28,  275.6,  -32.6,   0.3847,    0.0318,  -0.3226,  -0.2071, 
30,  177.0,   8.4,   0.0711,   -0.0703,   0.0037,   0.0104, 
35,  237.3,  -12.7,   0.7570,   -0.3988,  -0.6214,  -0.1668, 
40,  288.0,  -30.3,   0.4738,    0.1265,  -0.3891,  -0.2390, 
45,  247.3,  -2.2,   0.6647,   -0.2567,  -0.6126,  -0.0255, 
50,  263.7,  -11.9,   1.1625,   -0.1250,  -1.1304,  -0.2404, 
60,  302.8,  -54.5,   0.4002,    0.1258,  -0.1953,  -0.3259, 
70,  271.0,   7.6,   0.6009,    0.0104,  -0.5955,   0.0795, 
80,  157.3,  -17.4,   0.8393,   -0.7391,   0.3085,  -0.2512, 
90,  267.4,  37.6,   0.3653,   -0.0133,  -0.2893,   0.2227, 
100,  256.0,  13.0,   1.1556,   -0.2722,  -1.0927,   0.2597, 
