Spectrum Label	C	O	Na	Mg	Al	Si	S	Cl	K	Ca	Cr	Fe	Ba	Ce	Total	Project Path
Spectrum 1	26.88	72.31			0.08	0.09	0.26		0.02		0.12	0.24			100.00	k7/Specimen 1/Site 2
Spectrum 2	21.65	67.99			0.07	0.12	5.92				0.11	4.14			100.00	k7/Specimen 1/Site 2
Spectrum 3	26.62	72.10		0.02	0.12	0.15	0.49		0.03		0.09	0.37			100.00	k7/Specimen 1/Site 2
Spectrum 4	23.89	69.77			0.12	0.20	3.35		0.03		0.13	2.51			100.00	k7/Specimen 1/Site 3
Spectrum 5	23.78	69.75			0.06	0.21	3.57				0.08	2.55			100.00	k7/Specimen 1/Site 3
Spectrum 6	27.11	72.54			0.09	0.16					0.10				100.00	k7/Specimen 1/Site 5
Spectrum 7	18.60	64.72	0.17	0.23	1.11	1.87	6.63		0.28	0.11		6.27			100.00	k7/Specimen 1/Site 6
Spectrum 8	21.79	67.47	0.54	0.25	1.85	3.72	1.60		0.73	0.46		1.59			100.00	k7/Specimen 1/Site 6
Spectrum 9	19.58	65.57		0.24	1.09	1.83	5.68		0.32			5.69			100.00	k7/Specimen 1/Site 6
Spectrum 10	21.72	68.00			0.09	0.20	5.76		0.03	0.03	0.06	4.12			100.00	k7/Specimen 1/Site 7
Spectrum 11	23.71	69.73	0.09	0.09	0.64	4.54	0.30	0.07	0.14	0.07	0.21	0.40			100.00	k7/Specimen 1/Site 7
Spectrum 12	26.22	71.59		0.04	0.36	0.53	0.30		0.10	0.09	0.39	0.37			100.00	k7/Specimen 1/Site 7
Spectrum 13	25.48	70.08			0.16	0.30	0.12			3.47	0.22	0.17			100.00	k7/Specimen 1/Site 7
Spectrum 14	27.19	72.60			0.04	0.07					0.10				100.00	k7/Specimen 1/Site 7
Spectrum 15	26.61	72.10			0.18	0.51	0.19				0.42				100.00	k7/Specimen 1/Site 7
Spectrum 16	22.53	69.03				7.55					0.88				100.00	k7/Specimen 1/Site 7
Spectrum 17	21.02	67.27			0.16	0.34	6.23					4.99			100.00	k7/Specimen 1/Site 7
Spectrum 18	22.05	67.85		0.33	3.60	4.09	0.34		0.52		0.41	0.82			100.00	k7/Specimen 1/Site 7
Spectrum 19	23.30	68.92	0.17	0.31	2.81	3.18	0.08	0.06	0.42		0.27	0.50			100.00	k7/Specimen 1/Site 7
Spectrum 20	26.94	72.23			0.06	0.10				0.48	0.18				100.00	k7/Specimen 1/Site 7
Spectrum 21	22.41	68.02	0.30	0.20	0.80	1.65	3.03	0.29	0.16	0.13	0.07	2.93			100.00	k7/Specimen 1/Site 8
Spectrum 22	23.59	68.95	0.50	0.31	1.16	2.59	0.86	0.47	0.27	0.20		1.11			100.00	k7/Specimen 1/Site 8
Spectrum 23	22.32	68.10		0.28	1.28	1.96	2.80	0.11	0.31	0.15		2.70			100.00	k7/Specimen 1/Site 9
Spectrum 24	22.94	69.07			0.08	0.11	4.53				0.25	3.02			100.00	k7/Specimen 1/Site 10
Spectrum 25	22.23	68.48			0.06	0.08	5.33				0.15	3.67			100.00	k7/Specimen 1/Site 10
Spectrum 26	22.66	68.82			0.08	0.11	4.82			0.04	0.18	3.30			100.00	k7/Specimen 1/Site 11
Spectrum 27	22.17	68.44			0.12	0.17	5.31				0.19	3.59			100.00	k7/Specimen 1/Site 11
Spectrum 28	21.94	68.19			0.11	0.13	5.52				0.28	3.83			100.00	k7/Specimen 1/Site 11
Spectrum 29	24.24	66.62			0.35	0.43							3.09	5.28	100.00	k7/Specimen 1/Site 12
Spectrum 30	23.65	65.33			0.27	0.43							3.34	6.97	100.00	k7/Specimen 1/Site 12
Spectrum 31	21.95	61.55			0.34									16.15	100.00	k7/Specimen 1/Site 13
Spectrum 32	23.86	65.15			0.17	0.18							10.64		100.00	k7/Specimen 1/Site 13
Spectrum 33	25.70	69.57			0.31	0.30			0.07				4.05		100.00	k7/Specimen 1/Site 13
weight%
