[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3869715539.62458,08/15/2022,11:10 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1047,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM278,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB323,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC258,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI127,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,greigite,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.36,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3869720023.76945,11.1413135528564,0,,,6,,,,31.3127648668671,,,1,,,,,,,,,,,,,,,,,,,,,,10.0286951065063,11.9827718734741,0,0,,,4.80931997299194,,1,0,0,0,0.0138092041015625,29.8142719268799,6,1,1,12.2539319992065,0,1816670208,10.9132895903154,,,0.000710436139000252,2.47632530872133E-5,0.000717337426965194,2.47732339758657E-5,0.858016073703766,0.957161724567413,30.7917289733887,0,30,2,200,-0.0065010441467166,-2.86716651916504,0.211591780185699,2,,,,,,,,,,,,,,,,
,3869720035.90387,12.4117012023926,0,,,6,,,,31.3127648668671,,,1,,,,,,,,,,,,,,,,,,,,,,12.3199625015259,12.5481853485107,0,0,,,4.84936904907227,,1,0,0,0,0.0153350830078125,29.8142719268799,6,1,1,12.5339784622192,0,1816670208,12.5039750879461,,,0.000699835983660193,2.4390209744676E-5,0.000706559636208022,2.44010315818436E-5,0.859025776386261,0.957149624824524,30.7956390380859,7.57799911499023,30,2,200,-0.00600245920941234,-2.8412606716156,0.199579760432243,2,,,,,,,,,,,,,,,,
,3869720048.05715,12.5197138786316,0,,,6,,,,31.3127648668671,,,1,,,,,,,,,,,,,,,,,,,,,,12.5059041976929,12.5327854156494,0,0,,,4.8791561126709,,1,0,0,0,0.0153350830078125,30.3030319213867,5,1,1,12.5066423416138,0,1816670208,12.5162771542867,,,0.000694466843958007,2.42023842259106E-5,0.000701105013853988,2.4212462304737E-5,0.859227657318115,0.95733505487442,30.7964324951172,0,30,2,200,-0.00566710997372866,-2.81877374649048,0.189448192715645,2,,,,,,,,,,,,,,,,
,3869720060.17046,12.5040998458862,0,,,6,,,,31.3127648668671,,,1,,,,,,,,,,,,,,,,,,,,,,12.4993839263916,12.5068597793579,0,0,,,4.89875030517578,,1,0,0,0,0.0138092041015625,30.7917900085449,5,1,1,12.5013399124146,0,1816670208,12.5027155081431,,,0.000691755334687936,2.41080590101868E-5,0.000698378188480506,2.411819556171E-5,0.859179973602295,0.957435309886932,30.7961311340332,7.5810341835022,30,2,200,-0.00525732664391398,-2.81061315536499,0.184009090065956,2,,,,,,,,,,,,,,,,
,3869720072.2299,12.5013995170593,0,,,6,,,,31.3127648668671,,,1,,,,,,,,,,,,,,,,,,,,,,12.4987602233887,12.5032529830933,0,0,,,4.91303634643555,,1,0,0,0,0,30.7917900085449,5,1,1,12.5010547637939,0,1816670208,12.500649134318,,,0.000689824850604032,2.40406082628593E-5,0.000696422654185064,2.40506574498959E-5,0.859229445457459,0.957438349723816,30.7962455749512,5.54943656921387,30,2,200,-0.00591038493439555,-2.80554389953613,0.179979920387268,2,,,,,,,,,,,,,,,,
,3869720084.26865,12.5009799003601,0,,,6,,,,31.3127648668671,,,1,,,,,,,,,,,,,,,,,,,,,,12.4983110427856,12.502628326416,0,0,,,4.92839193344116,,1,0,0,0,0.0138092041015625,30.3030319213867,5,1,1,12.5009050369263,0,1816670208,12.5003008842468,,,0.000688300564728076,2.39873438919522E-5,0.000694883728196636,2.39974963181308E-5,0.859270811080933,0.957452952861786,30.7963981628418,0,30,2,200,-0.00555097544565797,-2.8018741607666,0.17639322578907,2,,,,,,,,,,,,,,,,
,3869720102.03241,13.6132717132568,0,,,6,,,,31.3127648668671,,,1,,,,,,,,,,,,,,,,,,,,,,12.5402364730835,14.5624084472656,0,0,,,5.38513040542603,,1,0,0,0,0,30.7917900085449,6,1,1,14.733006477356,0,1816670208,13.4231866200765,,,0.000681997849734316,2.37665637482109E-5,0.000688472347287545,2.3776528834944E-5,0.859603345394135,0.957017719745636,30.7982978820801,0,30,2,200,-0.00654867524281144,-2.79698395729065,0.171554312109947,2,,,,,,,,,,,,,,,,
,3869720114.23862,14.9024977684021,0,,,6,,,,31.3127648668671,,,1,,,,,,,,,,,,,,,,,,,,,,14.7524814605713,15.0584831237793,0,0,,,5.41611289978027,,1,0,0,0,0,30.3030319213867,6,1,1,15.0525140762329,0,1816670208,14.9961045583089,,,0.000662496378902763,2.3083560961862E-5,0.000668688399560214,2.30928045601235E-5,0.860639572143555,0.957511126995087,30.8020038604736,2.75403399427887E-5,30,2,200,-0.0061168703250587,-2.73888063430786,0.145742237567902,2,,,,,,,,,,,,,,,,
,3869720126.67636,15.0327167510986,0,,,6,,,,31.3127648668671,,,1,,,,,,,,,,,,,,,,,,,,,,15.0152969360352,15.0503978729248,0,0,,,5.43567085266113,,1,0,0,0,0,28.8367557525635,5,1,1,15.0150356292725,0,1816670208,15.0301945209503,,,0.00065532988547159,2.28328478447702E-5,0.000661437072000914,2.28421544450735E-5,0.8609499335289,0.957744657993317,30.80299949646,,30,2,200,-0.00550886616110802,-2.70057010650635,0.139387682080269,2,,,,,,,,,,,,,,,,
,3869720138.82818,15.0095438957214,0,,,6,,,,31.3127648668671,,,1,,,,,,,,,,,,,,,,,,,,,,15.0030517578125,15.0150032043457,0,0,,,5.4503002166748,,1,0,0,0,0,30.3030319213867,5,1,1,15.0040845870972,0,1816670208,15.0081001917521,,,0.000652151477587121,2.27218125691142E-5,0.000658215897691486,2.27308651746101E-5,0.861040353775024,0.957792520523071,30.803295135498,0,30,2,200,-0.00556693412363529,-2.68996405601501,0.133281350135803,2,,,,,,,,,,,,,,,,
