[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3869736802.91173,08/15/2022,5:04 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1047,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM278,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB323,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC258,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI127,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,greigite,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.36,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3869736811.33274,299.781173706055,0,,,6,,,,32.2510204688741,,,1,,,,,,,,,,,,,,,,,,,,,,299.701721191406,299.876068115234,0,0,,,11.5996150970459,,1,0,0,0,0,32.2580642700195,6,1,1,299.68994140625,0,2085105664,299.825736999512,,,0.000162790569747152,5.63760863283807E-6,0.000163319848216999,5.63849331652191E-6,0.914176344871521,0.965157151222229,32.5514984130859,0,30,2,200,-0.000468491925857961,-0.222683191299438,0.480081886053085,2,,,,,,,,,,,,,,,,
,3869736823.33091,299.352355957031,0,,,6,,,,32.2510204688741,,,1,,,,,,,,,,,,,,,,,,,,,,299.053588867188,299.684051513672,0,0,,,11.5732336044312,,1,0,0,0,0,31.2805480957031,2,1,1,299.020660400391,0,2085105664,299.396876017253,,,0.000162822712380859,5.63844004672168E-6,0.000163339408675914,5.6392926452654E-6,0.914758443832397,0.964537680149078,32.5480537414551,0,30,2,200,-0.00120227143634111,-0.222255229949951,0.480203807353973,2,,,,,,,,,,,,,,,,
,3869736841.82639,297.687606811523,0,,,6,,,,32.2410826509663,,,1,,,,,,,,,,,,,,,,,,,,,,297.004119873047,298.446075439453,0,0,,,11.5437288284302,,1,0,0,0,0.0138092041015625,31.7693061828613,2,1,1,296.929138183594,0,2085105664,297.784001668294,,,0.00016274165628469,5.63517170947569E-6,0.000163246302464381,5.63606525260809E-6,0.91571581363678,0.96459823846817,32.5341491699219,0,30,2,200,-0.00123975682072341,-0.22178915143013,0.480328321456909,2,,,,,,,,,,,,,,,,
,3869736860.35882,294.494689941406,0,,,6,,,,32.2249340039852,,,1,,,,,,,,,,,,,,,,,,,,,,293.317901611328,295.782440185547,0,0,,,11.5086116790771,,1,0,0,0,0.0138092041015625,31.2805480957031,2,1,1,293.206939697266,0,2085105664,294.60228729248,,,0.00016282718415696,5.63697214936293E-6,0.000163297339828888,5.63776600616666E-6,0.91817843914032,0.96490615606308,32.5081062316895,0,30,2,200,-0.00154481176286936,-0.225573107600212,0.479407370090485,2,,,,,,,,,,,,,,,,
,3869736878.79801,289.433258056641,0,,,6,,,,32.198622725822,,,1,,,,,,,,,,,,,,,,,,,,,,287.602478027344,291.370849609375,0,0,,,11.4651956558228,,1,0,0,0,0,30.7917900085449,2,1,1,287.424621582031,0,2085105664,289.546346028646,,,0.000163244017158293,5.65063956100872E-6,0.000163691925816597,5.65141344032442E-6,0.919838130474091,0.964790642261505,32.4745330810547,2.70347427431261E-5,30,2,200,-0.000998826115392148,-0.232447996735573,0.474268913269043,2,,,,,,,,,,,,,,,,
,3869736897.29927,283.047882080078,0,,,6,,,,32.167114995561,,,1,,,,,,,,,,,,,,,,,,,,,,281.070983886719,285.150238037109,0,0,,,11.4255418777466,,1,0,0,0,0,31.7693061828613,2,1,1,280.945526123047,0,2085105664,283.136352539062,,,0.000163886181888058,5.67231709378311E-6,0.000164320732069965,5.67313161677855E-6,0.921046435832977,0.964736461639404,32.4377517700195,0,30,2,200,-0.0011236269492656,-0.235610067844391,0.471570253372192,2,,,,,,,,,,,,,,,,
,3869736915.77405,275.944213867187,0,,,6,,,,32.1341218696016,,,1,,,,,,,,,,,,,,,,,,,,,,274.104827880859,278.389801025391,0,0,,,11.3895101547241,,1,0,0,0,0,31.2805480957031,2,1,1,273.498626708984,0,2085105664,276.272022594105,,,0.000164745704090473,5.70118271412451E-6,0.000165155120234283,5.70195629264812E-6,0.923022210597992,0.964649438858032,32.396068572998,0,30,2,200,-0.00113706453703344,-0.239596009254456,0.471326440572739,2,,,,,,,,,,,,,,,,
,3869736934.30536,268.007263183594,0,,,6,,,,32.0990199183458,,,1,,,,,,,,,,,,,,,,,,,,,,265.868774414062,270.536773681641,0,0,,,11.3517017364502,,1,0,0,0,0.0138092041015625,31.2805480957031,2,1,1,265.477752685547,0,2085105664,268.24067549272,,,0.000165732985420234,5.73423290755531E-6,0.000166111411501818,5.73497921998889E-6,0.925581455230713,0.964623153209686,32.3498573303223,0,30,2,200,-0.000452479813247919,-0.243734776973724,0.471122741699219,2,,,,,,,,,,,,,,,,
,3869736952.77511,260.018005371094,0,,,6,,,,32.0639366643489,,,1,,,,,,,,,,,,,,,,,,,,,,257.657836914062,262.589385986328,0,0,,,11.3167533874512,,1,0,0,0,0,31.2805480957031,2,1,1,257.446624755859,0,2085105664,260.141754150391,,,0.000165405757258955,5.72182013845947E-6,0.000165748883736848,5.72250160214021E-6,0.928177535533905,0.964438915252686,32.3029670715332,,30,2,200,-0.00128072511870414,-0.243187710642815,0.469958782196045,2,,,,,,,,,,,,,,,,
,3869736971.38135,252.142272949219,0,,,6,,,,32.031033348453,,,1,,,,,,,,,,,,,,,,,,,,,,249.935317993164,254.626342773438,0,0,,,11.2810087203979,,1,0,0,0,0.0138092041015625,31.2805480957031,2,1,1,249.658203125,0,2085105664,252.323464711507,,,0.000165474191306859,5.72331152632969E-6,0.000165791137644085,5.72394343325937E-6,0.930326044559479,0.964514911174774,32.2607040405273,5.67985057830811,30,2,200,-0.000618503079749644,-0.24476757645607,0.468663334846497,2,,,,,,,,,,,,,,,,
