[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3886831993.16468,03/01/2023,11:32 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1047,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM278,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB323,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC258,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI408,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,C3,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.62,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3886836443.74043,11.1246104240417,0.00121735187713057,,,6,,,,33.6606185752668,,,10,,,,,,,,,,,,,,,,,,,,,,10.0409126281738,12.0761966705322,0.00121735187713057,0.00121735187713057,,,4.99613475799561,,1,0,0,0,0,29.3255138397217,6,1,1,12.2083082199097,0,4232056832,10.9770883719126,,,0.00187168228116055,6.60837949389024E-5,0.00187537134608877,6.60901562789867E-5,0.915166139602661,0.941083252429962,33.4248313903809,0,30,2,200,-0.000219334178837016,-0.692190587520599,0.216908678412437,2,,,,,,,,,,,,,,,,
,3886836455.70284,12.3988938331604,0.00121735187713057,,,6,,,,33.6606185752668,,,10,,,,,,,,,,,,,,,,,,,,,,12.243067741394,12.5835428237915,0.00121735187713057,0.00121735187713057,,,5.04064321517944,,1,0,0,0,0,27.8592376708984,6,1,1,12.5547199249268,0,4232056832,12.5160323778788,,,0.00180539463240725,6.37459246376002E-5,0.0018089955638867,6.37519797829261E-5,0.914692163467407,0.940815985202789,33.4233322143555,0.000136880567879416,30,2,200,-0.000403309823013842,-0.677766740322113,0.108776576817036,2,,,,,,,,,,,,,,,,
,3886836467.5212,12.5314583778381,0.00121735187713057,,,6,,,,33.6606185752668,,,10,,,,,,,,,,,,,,,,,,,,,,12.5095376968384,12.553352355957,0.00121735187713057,0.00121735187713057,,,5.06691884994507,,1,0,0,0,0,29.3255138397217,6,1,1,12.5095643997192,0,4232056832,12.5263998508453,,,0.00177173786304019,6.25538882177288E-5,0.00177526369455378,6.25598450868194E-5,0.91537481546402,0.941727101802826,33.4236297607422,0,30,2,200,-0.000172428190126084,-0.661957085132599,0.101819440722466,2,,,,,,,,,,,,,,,,
,3886836479.35424,12.5054664611816,0.00121735187713057,,,6,,,,33.6606185752668,,,10,,,,,,,,,,,,,,,,,,,,,,12.5003786087036,12.5095987319946,0.00121735187713057,0.00121735187713057,,,5.08810710906982,,1,0,0,0,0,27.3704795837402,5,1,1,12.5013341903687,0,4232056832,12.504327138265,,,0.00175698745118928,6.20323686097775E-5,0.00176047745654753,6.20382287071879E-5,0.915518224239349,0.941886305809021,33.4238319396973,0,30,2,200,-7.9581091995351E-5,-0.656631767749786,0.0995756462216377,2,,,,,,,,,,,,,,,,
,3886836491.239,12.5013699531555,0.00121735187713057,,,6,,,,33.6606185752668,,,10,,,,,,,,,,,,,,,,,,,,,,12.4989643096924,12.5031480789185,0.00121735187713057,0.00121735187713057,,,5.10530614852905,,1,0,0,0,0,29.8142719268799,5,1,1,12.5006580352783,0,4232056832,12.500884402882,,,0.00174692413769749,6.16767955030257E-5,0.00175038658170676,6.16825204151711E-5,0.915569007396698,0.941914439201355,33.4240226745605,0,30,2,200,-5.04611671203747E-5,-0.653112828731537,0.0981844738125801,2,,,,,,,,,,,,,,,,
,3886836503.15529,12.5006890296936,0.00121735187713057,,,6,,,,33.6606185752668,,,10,,,,,,,,,,,,,,,,,,,,,,12.4986743927002,12.5024909973145,0.00121735187713057,0.00121735187713057,,,5.116539478302,,1,0,0,0,0.013885498046875,27.8592376708984,5,1,1,12.5002470016479,0,4232056832,12.5004694461823,,,0.00173917975090409,6.14031250367057E-5,0.00174262292395359,6.14087651013562E-5,0.915615499019623,0.941960334777832,33.4240875244141,0,30,2,200,-6.18350168224424E-5,-0.650636553764343,0.0970627516508102,2,,,,,,,,,,,,,,,,
,3886836530.13195,13.5572481155396,0.00121735187713057,,,6,,,,33.6606185752668,,,10,,,,,,,,,,,,,,,,,,,,,,12.5253391265869,14.4447402954102,0.00121735187713057,0.00121735187713057,,,5.26204299926758,,1,0,0,0,0,29.8142719268799,6,1,1,14.5891571044922,0,4232056832,13.353223323822,,,0.00171004479756396,6.03755750245148E-5,0.00171339667860655,6.03811550990741E-5,0.915404558181763,0.941309094429016,33.4253730773926,0,30,2,200,-0.000483480980619788,-0.646363794803619,0.0952677801251411,2,,,,,,,,,,,,,,,,
,3886836542.17772,14.854371547699,0.00121735187713057,,,6,,,,33.6606185752668,,,10,,,,,,,,,,,,,,,,,,,,,,14.6242065429687,15.0938911437988,0.00121735187713057,0.00121735187713057,,,5.2935094833374,,1,0,0,0,0,29.3255138397217,6,1,1,15.0845365524292,0,4232056832,14.9921716849009,,,0.00161705448439254,5.7089091254526E-5,0.00162016775609805,5.70943427779585E-5,0.916094601154327,0.941721737384796,33.4275779724121,0,30,2,200,-0.000505463685840368,-0.620521008968353,0.0857013911008835,2,,,,,,,,,,,,,,,,
,3886836554.1315,15.0539603233337,0.00121735187713057,,,6,,,,33.6606185752668,,,10,,,,,,,,,,,,,,,,,,,,,,15.0248241424561,15.0835390090942,0.00121735187713057,0.00121735187713057,,,5.30937814712524,,1,0,0,0,0,27.8592376708984,6,1,1,15.0243816375732,0,4232056832,15.0500076611837,,,0.00158359452666443,5.5901783323385E-5,0.00158657755485747,5.59069443282646E-5,0.91737425327301,0.942852437496185,33.4302673339844,0,30,2,200,-7.37260852474719E-5,-0.604327261447906,0.0785554349422455,2,,,,,,,,,,,,,,,,
,3886836566.03495,15.0145678520203,0.00121735187713057,,,6,,,,33.6606185752668,,,10,,,,,,,,,,,,,,,,,,,,,,15.0054159164429,15.0236511230469,0.00121735187713057,0.00121735187713057,,,5.32660341262817,,1,0,0,0,0,29.3255138397217,5,1,1,15.0054845809937,0,4232056832,15.0131812890371,,,0.00157073364504783,5.54466702657605E-5,0.00157366323787263,5.54516047684243E-5,0.917619407176971,0.942941963672638,33.4312629699707,0,30,2,200,-5.11370853928383E-5,-0.599471390247345,0.0765141323208809,2,,,,,,,,,,,,,,,,
