[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3886925430.35798,03/02/2023,1:30 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1047,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM278,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB323,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC258,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI408,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,C3,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.62,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3886925476.28755,300.002792358398,15000.322265625,,,6,,,,34.6006521713563,,,100,,,,,,,,,,,,,,,,,,,,,,300.001434326172,300.00537109375,15000.322265625,15000.322265625,,,8.38742065429688,,1,0,0,0,0,29.3255138397217,1,1,1,300.001281738281,0,4232056832,300.003687241498,,,0.00665927124751132,0.000234912427147048,0.00666794692924627,0.000234928095501166,0.926226317882538,0.945388078689575,34.7919044494629,0.000614243908785284,30,2,200,0.000760461669415235,-0.253170311450958,0.0386060103774071,2,,,,,,,,,,,,,,,,
,3886925502.77114,300.001892089844,14914.56640625,,,6,,,,34.6006521713563,,,100,,,,,,,,,,,,,,,,,,,,,,300.000579833984,300.004516601562,14914.56640625,14914.56640625,,,8.40073299407959,,1,0,0,0,0.013885498046875,29.3255138397217,1,1,1,300.000549316406,0,4232056832,300.002835591634,,,0.0066470610003999,0.000234486260983633,0.00665579722077551,0.000234501998568586,0.925963819026947,0.9452343583107,34.792781829834,7.49165105819702,30,2,200,-0.000184782416909002,-0.25126376748085,0.033438965678215,2,,,,,,,,,,,,,,,,
,3886925525.94177,300.002243041992,14828.4873046875,,,6,,,,34.6006521713563,,,100,,,,,,,,,,,,,,,,,,,,,,300.001403808594,300.004516601562,14828.4873046875,14828.4873046875,,,8.4177360534668,,1,0,0,0,0.013885498046875,29.8142719268799,1,1,1,300.001159667969,0,4232057600,300.002950032552,,,0.00663398489271892,0.00023402454386245,0.00664272325770372,0.000234040558473414,0.925994515419006,0.945304989814758,34.792896270752,0,30,2,200,3.04305413010297E-5,-0.254448056221008,0.0301796607673168,2,,,,,,,,,,,,,,,,
,3886925549.47063,300.00178527832,14742.49609375,,,6,,,,34.6006521713563,,,100,,,,,,,,,,,,,,,,,,,,,,300.001617431641,300.003234863281,14742.49609375,14742.49609375,,,8.43918800354004,,1,0,0,0,0.013885498046875,29.3255138397217,1,1,1,300.001586914063,0,4232058016,300.002398173014,,,0.00662132234759786,0.000233579472378196,0.00663005837171039,0.000233594925662823,0.9259033203125,0.94526207447052,34.7932243347168,,30,2,200,-2.3388973204419E-5,-0.255057781934738,0.0285768136382103,2,,,,,,,,,,,,,,,,
,3886925573.2328,300.001373291016,14656.5419921875,,,6,,,,34.6006521713563,,,100,,,,,,,,,,,,,,,,,,,,,,300,300.003448486328,14656.5419921875,14656.5419921875,,,8.46454334259033,,1,0,0,0,0.013885498046875,29.3255138397217,1,1,1,299.999969482422,0,4232057664,300.001909891764,,,0.00660808618055028,0.000233114097004889,0.00661685857306699,0.00023313005575427,0.925808191299438,0.945239126682281,34.7936820983887,0.0920828953385353,30,2,200,-1.69750310305972E-5,-0.254862368106842,0.0374439992010593,2,,,,,,,,,,,,,,,,
,3886925596.13101,300.000625610352,14570.5625,,,6,,,,34.6006521713563,,,100,,,,,,,,,,,,,,,,,,,,,,299.999420166016,300.003570556641,14570.5625,14570.5625,,,8.49154663085938,,1,0,0,0,0.013885498046875,29.8142719268799,1,1,1,299.999176025391,0,4232057952,300.0017674764,,,0.00659514886988999,0.000232658273946579,0.00660393051671795,0.000232674861094803,0.9257772564888,0.9452183842659,34.7937927246094,0,30,2,200,-2.38785960391397E-5,-0.253986865282059,0.0284977369010448,2,,,,,,,,,,,,,,,,
,3886925619.48513,300.001159667969,14484.5595703125,,,6,,,,34.6006521713563,,,100,,,,,,,,,,,,,,,,,,,,,,300.000549316406,300.003265380859,14484.5595703125,14484.5595703125,,,8.52216053009033,,1,0,0,0,0.013885498046875,29.3255138397217,1,1,1,300.000457763672,0,4232057760,300.001823425293,,,0.00658245494363445,0.000232211746932001,0.00659124813167385,0.000232228443913035,0.925705552101135,0.945188403129578,34.7940902709961,0.133494108915329,30,2,200,3.33824900735635E-5,-0.254853993654251,0.0362004078924656,2,,,,,,,,,,,,,,,,
,3886925642.90823,299.99836730957,14398.666015625,,,6,,,,34.6006521713563,,,100,,,,,,,,,,,,,,,,,,,,,,299.995941162109,300.001739501953,14398.666015625,14398.666015625,,,8.55481815338135,,1,0,0,0,0.013885498046875,29.3255138397217,1,1,1,300.000793457031,0,4232057920,299.999015114524,,,0.00656966556272396,0.000231762242292189,0.00657847151551328,0.000231778630352642,0.925606191158295,0.945157527923584,34.7945137023926,0.0919856280088425,30,2,200,2.80771164398175E-5,-0.252432942390442,0.0295702237635851,2,,,,,,,,,,,,,,,,
,3886925665.53491,300.000289916992,14312.5771484375,,,6,,,,34.6006521713563,,,100,,,,,,,,,,,,,,,,,,,,,,299.999084472656,300.002593994141,14312.5771484375,14312.5771484375,,,8.59011650085449,,1,0,0,0,0.013885498046875,28.3479976654053,1,1,1,299.998870849609,0,4232057728,300.00122833252,,,0.00655682048707739,0.000231309816733914,0.00656564036533243,0.000231326538829393,0.925564229488373,0.945157885551453,34.7947463989258,5.89870738983154,30,2,200,0.000130962827824987,-0.252225935459137,0.0300964936614037,2,,,,,,,,,,,,,,,,
,3886925689.06094,299.999740600586,14226.76953125,,,6,,,,34.6006521713563,,,100,,,,,,,,,,,,,,,,,,,,,,299.999755859375,300.001525878906,14226.76953125,14226.76953125,,,8.62872982025146,,1,0,0,0,0,28.3479976654053,1,1,1,299.99951171875,0,4232057760,300.000579833984,,,0.00654440527786326,0.000230872957962502,0.00655322473139571,0.000230889364914902,0.925502061843872,0.945140719413757,34.7950286865234,0.133495703339577,30,2,200,0.000197605288121849,-0.251348614692688,0.0311682634055614,2,,,,,,,,,,,,,,,,
