[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3886905226.6192,03/02/2023,7:53 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1047,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM278,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB323,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC258,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI408,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,C3,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.62,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3886905234.95183,299.778259277344,0.00121735187713057,,,6,,,,34.5993407385358,,,10,,,,,,,,,,,,,,,,,,,,,,299.685333251953,299.891296386719,0.00121735187713057,0.00121735187713057,,,9.83629322052002,,1,0,0,0,0.013885498046875,29.3255138397217,6,1,1,299.676483154297,0,4232056832,299.834392841046,,,0.000318510958074181,1.12314171097256E-5,0.000318627070113751,1.12316610903141E-5,0.931684255599976,0.936877191066742,34.7003479003906,8.67290291353129E-5,30,2,200,-2.36306004808284E-6,-0.148820206522942,-0.011359334923327,2,,,,,,,,,,,,,,,,
,3886905247.14193,299.351425170898,0.00121735187713057,,,6,,,,34.5993407385358,,,10,,,,,,,,,,,,,,,,,,,,,,299.066650390625,299.668060302734,0.00121735187713057,0.00121735187713057,,,9.8956708908081,,1,0,0,0,0.013885498046875,29.3255138397217,2,1,1,299.034790039063,0,4232056832,299.39016977946,,,0.000318321956029452,1.12245274958231E-5,0.000318430126882295,1.12247525833981E-5,0.931977570056915,0.936830401420593,34.6968879699707,0,30,2,200,-4.17170194850769E-5,-0.148005902767181,-0.011472106911242,2,,,,,,,,,,,,,,,,
,3886905266.81979,297.724426269531,0.00121735187713057,,,6,,,,34.5899431768297,,,10,,,,,,,,,,,,,,,,,,,,,,297.128936767578,298.423400878906,0.00121735187713057,0.00121735187713057,,,9.91854572296143,,1,0,0,0,0.013885498046875,29.3255138397217,2,1,1,297.025451660156,0,4232056832,297.829630533854,,,0.000318263915230188,1.12222891724335E-5,0.000318366284300457,1.12225106315664E-5,0.932223677635193,0.936813831329346,34.6847267150879,0,30,2,200,-3.26756562571973E-5,-0.147944942116737,-0.0113932695239782,2,,,,,,,,,,,,,,,,
,3886905286.47736,294.366439819336,0.00121735187713057,,,6,,,,34.5742614840507,,,10,,,,,,,,,,,,,,,,,,,,,,293.219635009766,295.687957763672,0.00121735187713057,0.00121735187713057,,,9.91942405700684,,1,0,0,0,0.014801025390625,28.3479976654053,2,1,1,293.044921875,0,4232056832,294.446843465169,,,0.000318842349103572,1.12423225949446E-5,0.000318929446219909,1.12425126489536E-5,0.932701408863068,0.936605632305145,34.6615943908691,0,30,2,200,-0.000315152923576534,-0.148408934473991,-0.0113342218101025,2,,,,,,,,,,,,,,,,
,3886905306.24948,288.857452392578,0.00121735187713057,,,6,,,,34.5464684811926,,,10,,,,,,,,,,,,,,,,,,,,,,287.015258789062,290.774780273438,0.00121735187713057,0.00121735187713057,,,9.90339851379395,,1,0,0,0,0.013885498046875,29.3255138397217,2,1,1,286.940124511719,0,4232056832,288.869155883789,,,0.000320272410056628,1.12924058439229E-5,0.000320348591637576,1.12925775474626E-5,0.933153033256531,0.936555981636047,34.627872467041,0,30,2,200,-0.00029011644073762,-0.149403467774391,-0.0117336520925164,2,,,,,,,,,,,,,,,,
,3886905325.94473,281.844833374023,0.00121735187713057,,,6,,,,34.5122485819674,,,10,,,,,,,,,,,,,,,,,,,,,,279.900207519531,284.223358154297,0.00121735187713057,0.00121735187713057,,,9.88222980499268,,1,0,0,0,0.013885498046875,29.3255138397217,2,1,1,279.46630859375,0,4232056832,282.15796661377,,,0.000322267322638382,1.13624758840501E-5,0.000322338323711624,1.13626424827801E-5,0.933503091335297,0.936657249927521,34.5904884338379,7.76102169766091E-5,30,2,200,-6.6240095293324E-6,-0.150039926171303,-0.0116503648459911,2,,,,,,,,,,,,,,,,
,3886905345.62265,273.914672851562,0.00121735187713057,,,6,,,,34.4752619586565,,,10,,,,,,,,,,,,,,,,,,,,,,271.503845214844,276.325500488281,0.00121735187713057,0.00121735187713057,,,9.85752010345459,,1,0,0,0,0.014801025390625,29.3255138397217,2,1,1,271.503845214844,0,4232056832,273.896375020345,,,0.000324517591285052,1.14414503765219E-5,0.000324575907932764,1.14415846547437E-5,0.933979094028473,0.936562895774841,34.545970916748,,30,2,200,-0.000257624720688909,-0.150673240423203,-0.0113745536655188,2,,,,,,,,,,,,,,,,
,3886905365.19526,265.167938232422,0.00121735187713057,,,6,,,,34.4366356935059,,,10,,,,,,,,,,,,,,,,,,,,,,262.807830810547,267.906860351562,0.00121735187713057,0.00121735187713057,,,9.83263778686523,,1,0,0,0,0.013885498046875,29.3255138397217,2,1,1,262.429016113281,0,4232056832,265.308725992839,,,0.000326637477689404,1.15157113762914E-5,0.000326683006026944,1.15158188684697E-5,0.93461674451828,0.936628341674805,34.4988479614258,0,30,2,200,-0.000298642960842699,-0.151407137513161,-0.0111905345693231,2,,,,,,,,,,,,,,,,
,3886905384.8455,256.58814239502,0.00121735187713057,,,6,,,,34.3979546084165,,,10,,,,,,,,,,,,,,,,,,,,,,254.178329467773,259.184509277344,0.00121735187713057,0.00121735187713057,,,9.80502986907959,,1,0,0,0,0.013885498046875,28.8367557525635,2,1,1,253.991775512695,0,4232056832,256.790194193522,,,0.000328678089238015,1.15871201254087E-5,0.000328710837035711,1.15871963849915E-5,0.935313522815704,0.936762273311615,34.4505882263184,6.41208316665143E-5,30,2,200,-1.00096867754473E-5,-0.152012601494789,-0.010949295014143,2,,,,,,,,,,,,,,,,
,3886905404.46438,248.376472473145,0.00121735187713057,,,6,,,,34.3632171254504,,,10,,,,,,,,,,,,,,,,,,,,,,246.045883178711,250.707061767578,0.00121735187713057,0.00121735187713057,,,9.77821636199951,,1,0,0,0,0.013885498046875,29.3255138397217,2,1,1,246.045883178711,0,4232056832,248.291180928548,,,0.000330206116424115,1.16405159516124E-5,0.00033022771793403,1.1640570199775E-5,0.935949325561523,0.936901092529297,34.4057426452637,7.49648427963257,30,2,200,-0.000262921646935865,-0.152473658323288,-0.0107560567557812,2,,,,,,,,,,,,,,,,
