[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3886853094.31266,03/01/2023,5:24 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1047,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM278,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB323,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC258,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI408,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,C3,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.62,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3886853102.77528,299.741470336914,0.00121735187713057,,,6,,,,34.59929676886,,,1,,,,,,,,,,,,,,,,,,,,,,299.629791259766,299.878356933594,0.00121735187713057,0.00121735187713057,,,9.8785457611084,,1,0,0,0,0.013885498046875,29.8142719268799,6,1,1,299.612609863281,0,4232056832,299.793713887533,,,0.00019884538876589,7.00866045632483E-6,0.000198887082265893,7.00874377057424E-6,0.938415586948395,0.941703140735626,34.6759147644043,0.158496305346489,30,2,200,0.000321415951475501,-0.90828412771225,-0.0538436993956566,2,,,,,,,,,,,,,,,,
,3886853114.58362,299.261917114258,0.00121735187713057,,,6,,,,34.59929676886,,,1,,,,,,,,,,,,,,,,,,,,,,298.989776611328,299.596160888672,0.00121735187713057,0.00121735187713057,,,9.9282169342041,,1,0,0,0,0.013885498046875,29.3255138397217,2,1,1,298.927673339844,0,4232056832,299.32524802468,,,0.00019885948894474,7.00936520736592E-6,0.000198898045901706,7.00944414464008E-6,0.93793648481369,0.940940678119659,34.6729316711426,0,30,2,200,-0.000362052727723494,-0.907306909561157,-0.0540117062628269,2,,,,,,,,,,,,,,,,
,3886853133.9845,297.553039550781,0.00121735187713057,,,6,,,,34.589253363439,,,1,,,,,,,,,,,,,,,,,,,,,,296.864929199219,298.241149902344,0.00121735187713057,0.00121735187713057,,,9.95187568664551,,1,0,0,0,0.013885498046875,29.3255138397217,2,1,1,296.864929199219,0,4232056832,297.592119852702,,,0.000198767034929217,7.00603508810948E-6,0.000198803052510658,7.00611216280474E-6,0.938100755214691,0.940903604030609,34.6603355407715,0,30,2,200,-0.000205164484214038,-0.90687769651413,-0.0537436455488205,2,,,,,,,,,,,,,,,,
,3886853153.38471,294.096160888672,0.00121735187713057,,,6,,,,34.5727848949512,,,1,,,,,,,,,,,,,,,,,,,,,,292.805908203125,295.447814941406,0.00121735187713057,0.00121735187713057,,,9.94976043701172,,1,0,0,0,0.013885498046875,29.8142719268799,2,1,1,292.744506835937,0,4232056832,294.177042643229,,,0.000199303409216917,7.02476599769354E-6,0.000199334099881352,7.02483010215661E-6,0.938501179218292,0.940894544124603,34.6383743286133,,30,2,200,-0.00243559223599732,-0.912111163139343,-0.0536436662077904,2,,,,,,,,,,,,,,,,
,3886853172.73758,288.526626586914,0.00121735187713057,,,6,,,,34.5444126458741,,,1,,,,,,,,,,,,,,,,,,,,,,286.695861816406,290.463745117188,0.00121735187713057,0.00121735187713057,,,9.93491268157959,,1,0,0,0,0,29.8142719268799,2,1,1,286.589508056641,0,4232056832,288.664291381836,,,0.000200492502828213,7.06661891342193E-6,0.000200522383677444,7.06669034350995E-6,0.938629269599914,0.940927684307098,34.6086311340332,,30,2,200,-0.00200797128491104,-0.920740365982056,-0.0582654923200607,2,,,,,,,,,,,,,,,,
,3886853192.22139,281.591705322266,0.00121735187713057,,,6,,,,34.510920134972,,,1,,,,,,,,,,,,,,,,,,,,,,279.537200927734,283.844116210938,0.00121735187713057,0.00121735187713057,,,9.91113090515137,,1,0,0,0,0.013885498046875,28.8367557525635,2,1,1,279.339294433594,0,4232056832,281.707453409831,,,0.00020226250720835,7.12912354662734E-6,0.000202295122709799,7.12920092948151E-6,0.9383664727211,0.940847516059875,34.5777397155762,4.42775297164917,30,2,200,-0.000134688671096228,-0.926993608474731,-0.0579911097884178,2,,,,,,,,,,,,,,,,
,3886853211.9029,273.62956237793,0.00121735187713057,,,6,,,,34.4745781088518,,,1,,,,,,,,,,,,,,,,,,,,,,271.347290039062,276.107543945313,0.00121735187713057,0.00121735187713057,,,9.88858032226563,,1,0,0,0,0,29.3255138397217,2,1,1,271.151580810547,0,4232056832,273.775426228841,,,0.000204427797097996,7.20537120536285E-6,0.000204457641362225,7.2054390524488E-6,0.93853223323822,0.940787196159363,34.538257598877,0,30,2,200,-0.0017198360292241,-0.933886110782623,-0.0550838336348534,2,,,,,,,,,,,,,,,,
,3886853231.49904,265.199554443359,0.00121735187713057,,,6,,,,34.4363012385263,,,1,,,,,,,,,,,,,,,,,,,,,,262.825378417969,267.767456054687,0.00121735187713057,0.00121735187713057,,,9.86073684692383,,1,0,0,0,0.013885498046875,29.3255138397217,2,1,1,262.631652832031,0,4232056832,265.242347717285,,,0.000205224032172096,7.23303834732948E-6,0.000205246410483053,7.23309669501599E-6,0.939422488212585,0.941106796264648,34.4910583496094,0,30,2,200,-0.00186818023212254,-0.935650765895843,-0.0549893826246262,2,,,,,,,,,,,,,,,,
,3886853250.89357,256.783836364746,0.00121735187713057,,,6,,,,34.3982956177607,,,1,,,,,,,,,,,,,,,,,,,,,,254.425140380859,259.335266113281,0.00121735187713057,0.00121735187713057,,,9.83414173126221,,1,0,0,0,0.013885498046875,29.8142719268799,2,1,1,254.232406616211,0,4232056832,256.856522878011,,,0.00020625160022505,7.26915827149433E-6,0.000206271773338222,7.26920597416775E-6,0.939643323421478,0.941168963909149,34.4503440856934,5.86944150924683,30,2,200,-9.71239569480531E-5,-0.940462827682495,-0.0539730042219162,2,,,,,,,,,,,,,,,,
,3886853270.29906,248.837760925293,0.00121735187713057,,,6,,,,34.3654102928051,,,1,,,,,,,,,,,,,,,,,,,,,,246.70719909668,251.143844604492,0.00121735187713057,0.00121735187713057,,,9.8077220916748,,1,0,0,0,0.013885498046875,29.3255138397217,2,1,1,246.531677246094,0,4232056832,248.943323771159,,,0.00020829546726401,7.34098593200292E-6,0.000208309468371927,7.34102311420798E-6,0.940108299255371,0.941151440143585,34.4083709716797,,30,2,200,-0.00166264898143709,-0.946812212467194,-0.0513090714812279,2,,,,,,,,,,,,,,,,
